dataset,score,type
question49,0.7837837837837838,Combination
question4,0.6486486486486487,Combination
question50,0.5675675675675675,Combination
question51,0.7837837837837838,Combination
question53,0.5405405405405406,Combination
question54,0.7222222222222222,Combination
question56,0.8055555555555556,Combination
question58,0.6756756756756757,Combination
question60,0.6216216216216216,Combination
question61,0.5277777777777778,Combination
question64,0.6486486486486487,Combination
question65,0.7297297297297297,Combination
question66,0.7222222222222222,Combination
question67,0.78125,Combination
question69,0.8055555555555556,Combination
question6,0.6756756756756757,Combination
question70,0.6486486486486487,Combination
question71,0.7297297297297297,Combination
question72,0.8108108108108109,Combination
question73,0.5945945945945946,Combination
question75,0.5945945945945946,Combination
question77,0.5833333333333334,Combination
question78,0.7297297297297297,Combination
question80,0.7297297297297297,Combination
question81,0.6756756756756757,Combination
question83,0.4864864864864865,Combination
question85,0.7837837837837838,Combination
question86,0.5135135135135135,Combination
question87,0.3783783783783784,Combination
question88,0.4722222222222222,Combination
question89,0.8108108108108109,Combination
question8,0.6486486486486487,Combination
question90,0.7222222222222222,Combination
question92,0.6666666666666666,Combination
question93,0.7567567567567568,Combination
question95,0.8378378378378378,Combination
question96,0.6486486486486487,Combination
question99,0.7027027027027027,Combination
