student_answer,teacher_answer,label,question_id,q_answer,q_stopwords,q_stemmed,q_stem_ordered
The car is made of iron or steel.,A car is made of a lot of iron or steel.,1,26,The car is made of iron or steel.,car iron steel,car iron steel,car iron steel
Cars have iron or steel in them so they might attract to the magnets.,A car is made of a lot of iron or steel.,1,26,The car is made of iron or steel.,cars iron steel attract magnets,car iron steel attract magnet,attract car iron magnet steel
If the car stops and waits a little while then the stoplight changes on the other side so the car can go.,A car is made of a lot of iron or steel.,0,26,The car is made of iron or steel.,car stops waits little stoplight changes car,car stop wait littl stoplight chang car,car car chang littl stop stoplight wait
It is iron or steel.,A car is made of a lot of iron or steel.,1,26,The car is made of iron or steel.,iron steel,iron steel,iron steel
It stop the magnet.,A car is made of a lot of iron or steel.,0,26,The car is made of iron or steel.,stop magnet,stop magnet,magnet stop
It might hit the electricity to make it work.,A car is made of a lot of iron or steel.,0,26,The car is made of iron or steel.,hit electricity work,hit electr work,electr hit work
The car is made of iron and steel and magnets only stick to iron or steel. So when the car stops it triggers the stoplight.,A car is made of a lot of iron or steel.,1,26,The car is made of iron or steel.,car iron steel magnets stick iron steel car stops triggers stoplight,car iron steel magnet stick iron steel car stop trigger stoplight,car car iron iron magnet steel steel stick stop stoplight trigger
Cars are made of steel and steel is attracted to magnetism.,A car is made of a lot of iron or steel.,1,26,The car is made of iron or steel.,cars steel steel attracted magnetism,car steel steel attract magnet,attract car magnet steel steel
The car has iron or steel on it so the magnet sends a signal.,A car is made of a lot of iron or steel.,1,26,The car is made of iron or steel.,car iron steel magnet sends signal,car iron steel magnet send signal,car iron magnet send signal steel
It triggers because the car is made of steel.,A car is made of a lot of iron or steel.,1,26,The car is made of iron or steel.,triggers car steel,trigger car steel,car steel trigger
If the car goes over the magnet faster than 5 miles per hour it should turn green.,A car is made of a lot of iron or steel.,0,26,The car is made of iron or steel.,car goes magnet faster 5 miles hour turn green,car goe magnet faster 5 mile hour turn green,5 car faster goe green hour magnet mile turn
The car could be made of iron.,A car is made of a lot of iron or steel.,1,26,The car is made of iron or steel.,car iron,car iron,car iron
The metal of the tire rim or under the car or the outside of the car except the windows. Only if the metal has iron.,A car is made of a lot of iron or steel.,1,26,The car is made of iron or steel.,metal tire rim car outside car windows metal iron,metal tire rim car outsid car window metal iron,car car iron metal metal outsid rim tire window
A car can signal the magnet to a light by a car stopping and the other moving.,A car is made of a lot of iron or steel.,0,26,The car is made of iron or steel.,car signal magnet light car stopping moving,car signal magnet light car stop move,car car light magnet move signal stop
So the cars can go.,A car is made of a lot of iron or steel.,0,26,The car is made of iron or steel.,cars,car,car
It does that because the magnet in the light attracts to the iron on the car.,A car is made of a lot of iron or steel.,1,26,The car is made of iron or steel.,magnet light attracts iron car,magnet light attract iron car,attract car iron light magnet
The car is made out of iron so they can attract.,A car is made of a lot of iron or steel.,1,26,The car is made of iron or steel.,car iron attract,car iron attract,attract car iron
It might be going too fast.,A car is made of a lot of iron or steel.,0,26,The car is made of iron or steel.,going fast,go fast,fast go
The pipes and poles under the car iron.,A car is made of a lot of iron or steel.,1,26,The car is made of iron or steel.,pipes poles car iron,pipe pole car iron,car iron pipe pole
There could be a magnet under the ground maybe.,A car is made of a lot of iron or steel.,0,26,The car is made of iron or steel.,magnet ground maybe,magnet ground mayb,ground magnet mayb
It does that because the magnet in the light attracts to the iron on the car.,A car is made of a lot of iron or steel.,1,26,The car is made of iron or steel.,magnet light attracts iron car,magnet light attract iron car,attract car iron light magnet
What triggers it could be when something that is not magnetic like the North and South thing it does not attract!,A car is made of a lot of iron or steel.,0,26,The car is made of iron or steel.,triggers magnetic like north south thing attract,trigger magnet like north south thing attract,attract like magnet north south thing trigger
Like a switch.,A car is made of a lot of iron or steel.,0,26,The car is made of iron or steel.,like switch,like switch,like switch
It is filled with magnet and iron and steel.,A car is made of a lot of iron or steel.,1,26,The car is made of iron or steel.,filled magnet iron steel,fill magnet iron steel,fill iron magnet steel
A box is on the side of the road and it sends a signal to the light.,A car is made of a lot of iron or steel.,0,26,The car is made of iron or steel.,box road sends signal light,box road send signal light,box light road send signal
It could send a trigger because the car is made of a type of metal and the magnet would attract.,A car is made of a lot of iron or steel.,0,26,The car is made of iron or steel.,send trigger car type metal magnet attract,send trigger car type metal magnet attract,attract car magnet metal send trigger type
The metal around a car.,A car is made of a lot of iron or steel.,0,26,The car is made of iron or steel.,metal car,metal car,car metal
