wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_string,q_stemmed_has_tighter,q_stemmed_has_pitch,q_stemmed_has_higher,q_stemmed_has_string_tighter,q_stemmed_has_tighter_pitch,q_stemmed_has_pitch_higher,q_stemmed_has_string_tighter_pitch,q_stemmed_has_tighter_pitch_higher,q_stem_ordered_has_higher,q_stem_ordered_has_pitch,q_stem_ordered_has_string,q_stem_ordered_has_tighter,q_stem_ordered_has_higher_pitch,q_stem_ordered_has_pitch_string,q_stem_ordered_has_string_tighter,q_stem_ordered_has_higher_pitch_string,q_stem_ordered_has_pitch_string_tighter
0.1111111111111111,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3333333333333333,0.5714285714285714,0.14285714285714285,0.25,0.5714285714285714,0.14285714285714285,0.25,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.2222222222222222,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2222222222222222,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1111111111111111,0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.2222222222222222,0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.7777777777777777,0.7777777777777778,0.2222222222222222,0.378,0.7777777777777778,0.2222222222222222,0.378,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.1111111111111111,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2222222222222222,0.75,0.75,0.866,0.75,0.75,0.866,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0
0.1111111111111111,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.25,0.25,0.5,0.25,0.25,0.5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.2222222222222222,0.6,0.4,0.5774,0.6,0.4,0.5774,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0
0.3333333333333333,0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0.5555555555555556,0.6,0.0,0.0,0.6,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5555555555555556,0.625,0.125,0.2236,0.625,0.125,0.2236,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.4444444444444445,0.625,0.125,0.2236,0.625,0.125,0.2236,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.2222222222222222,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1111111111111111,0.5,0.5,0.7071,0.5,0.5,0.7071,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
0.2222222222222222,0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.1111111111111111,0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0,0.2,0.0,0.0,0.2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
1.0,0.875,0.375,0.5669,0.875,0.375,0.5669,1,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0
0.3333333333333333,0.8,0.6,0.75,0.8,0.6,0.75,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0
0.4444444444444445,0.8333333333333334,0.5,0.6708,0.8333333333333334,0.5,0.6708,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0
0.7777777777777777,0.8571428571428571,0.42857142857142855,0.6124,0.8571428571428571,0.42857142857142855,0.6124,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
0.5555555555555556,0.5555555555555556,0.0,0.0,0.5555555555555556,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4444444444444445,0.5555555555555556,0.0,0.0,0.5555555555555556,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3333333333333333,0.8,0.6,0.75,0.8,0.6,0.75,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0
0.3333333333333333,0.8,0.6,0.75,0.8,0.6,0.75,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0
0.2222222222222222,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1111111111111111,0.5,0.5,0.7071,0.5,0.5,0.7071,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0
0.2222222222222222,0.6,0.4,0.5774,0.6,0.4,0.5774,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
