student_answer,teacher_answer,label,question_id,q_answer,q_stopwords,q_stemmed,q_stem_ordered
To protect the baby seed.,The seed coat protects the seed until the plant begins to grow.,1,44,To protect the baby seed.,protect baby seed,protect babi seed,babi protect seed
To protect the seed.,The seed coat protects the seed until the plant begins to grow.,0,44,To protect the baby seed.,protect seed,protect seed,protect seed
Protect the plant.,The seed coat protects the seed until the plant begins to grow.,0,44,To protect the baby seed.,protect plant,protect plant,plant protect
Protect skin.,The seed coat protects the seed until the plant begins to grow.,0,44,To protect the baby seed.,protect skin,protect skin,protect skin
To protect the seed.,The seed coat protects the seed until the plant begins to grow.,0,44,To protect the baby seed.,protect seed,protect seed,protect seed
To protect the cotyledon.,The seed coat protects the seed until the plant begins to grow.,0,44,To protect the baby seed.,protect cotyledon,protect cotyledon,cotyledon protect
To protect.,The seed coat protects the seed until the plant begins to grow.,0,44,To protect the baby seed.,protect,protect,protect
The seed coat hold the seed.,The seed coat protects the seed until the plant begins to grow.,0,44,To protect the baby seed.,seed coat hold seed,seed coat hold seed,coat hold seed seed
The seed coat is for protection.,The seed coat protects the seed until the plant begins to grow.,0,44,To protect the baby seed.,seed coat protection,seed coat protect,coat protect seed
Protects the seedlings.,The seed coat protects the seed until the plant begins to grow.,0,44,To protect the baby seed.,protects seedlings,protect seedl,protect seedl
It is what covers the seed.,The seed coat protects the seed until the plant begins to grow.,0,44,To protect the baby seed.,covers seed,cover seed,cover seed
To protect it.,The seed coat protects the seed until the plant begins to grow.,0,44,To protect the baby seed.,protect,protect,protect
The seed coat helps keep the seed safe like our skin.,The seed coat protects the seed until the plant begins to grow.,0,44,To protect the baby seed.,seed coat helps seed safe like skin,seed coat help seed safe like skin,coat help like safe seed seed skin
Outer layer protecting the seed.,The seed coat protects the seed until the plant begins to grow.,0,44,To protect the baby seed.,outer layer protecting seed,outer layer protect seed,layer outer protect seed
To protect the seed when it is growing.,The seed coat protects the seed until the plant begins to grow.,0,44,To protect the baby seed.,protect seed growing,protect seed grow,grow protect seed
Cover.,The seed coat protects the seed until the plant begins to grow.,0,44,To protect the baby seed.,cover,cover,cover
To protect the seed.,The seed coat protects the seed until the plant begins to grow.,0,44,To protect the baby seed.,protect seed,protect seed,protect seed
It protects cotyledon and embryo.,The seed coat protects the seed until the plant begins to grow.,0,44,To protect the baby seed.,protects cotyledon embryo,protect cotyledon embryo,cotyledon embryo protect
Protects the cotyledon and embryo.,The seed coat protects the seed until the plant begins to grow.,0,44,To protect the baby seed.,protects cotyledon embryo,protect cotyledon embryo,cotyledon embryo protect
Protect the baby plant.,The seed coat protects the seed until the plant begins to grow.,0,44,To protect the baby seed.,protect baby plant,protect babi plant,babi plant protect
Protects the embryo.,The seed coat protects the seed until the plant begins to grow.,0,44,To protect the baby seed.,protects embryo,protect embryo,embryo protect
Protects the seed.,The seed coat protects the seed until the plant begins to grow.,0,44,To protect the baby seed.,protects seed,protect seed,protect seed
Protect the seed.,The seed coat protects the seed until the plant begins to grow.,0,44,To protect the baby seed.,protect seed,protect seed,protect seed
It protects the seed from harm.,The seed coat protects the seed until the plant begins to grow.,0,44,To protect the baby seed.,protects seed harm,protect seed harm,harm protect seed
Shell.,The seed coat protects the seed until the plant begins to grow.,0,44,To protect the baby seed.,shell,shell,shell
The protection of the seed.,The seed coat protects the seed until the plant begins to grow.,0,44,To protect the baby seed.,protection seed,protect seed,protect seed
Protects the seed.,The seed coat protects the seed until the plant begins to grow.,0,44,To protect the baby seed.,protects seed,protect seed,protect seed
Protects the seed.,The seed coat protects the seed until the plant begins to grow.,0,44,To protect the baby seed.,protects seed,protect seed,protect seed
Protects the seed.,The seed coat protects the seed until the plant begins to grow.,0,44,To protect the baby seed.,protects seed,protect seed,protect seed
A hard outer covering to act protects the cotyledon.,The seed coat protects the seed until the plant begins to grow.,0,44,To protect the baby seed.,hard outer covering act protects cotyledon,hard outer cover act protect cotyledon,act cotyledon cover hard outer protect
Protects the seed.,The seed coat protects the seed until the plant begins to grow.,0,44,To protect the baby seed.,protects seed,protect seed,protect seed
Seed coat cracks.,The seed coat protects the seed until the plant begins to grow.,0,44,To protect the baby seed.,seed coat cracks,seed coat crack,coat crack seed
The seed coat protects the seed web germinating.,The seed coat protects the seed until the plant begins to grow.,1,44,To protect the baby seed.,seed coat protects seed web germinating,seed coat protect seed web germin,coat germin protect seed seed web
This is the outer layer that covers the seed.,The seed coat protects the seed until the plant begins to grow.,0,44,To protect the baby seed.,outer layer covers seed,outer layer cover seed,cover layer outer seed
Protects the seed so it can grow.,The seed coat protects the seed until the plant begins to grow.,1,44,To protect the baby seed.,protects seed grow,protect seed grow,grow protect seed
Protect the cotyledon.,The seed coat protects the seed until the plant begins to grow.,0,44,To protect the baby seed.,protect cotyledon,protect cotyledon,cotyledon protect
The seed coat protects the seed until the plant begins to grow.,The seed coat protects the seed until the plant begins to grow.,1,44,To protect the baby seed.,seed coat protects seed plant begins grow,seed coat protect seed plant begin grow,begin coat grow plant protect seed seed
