wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_contour,q_stemmed_has_line,q_stemmed_has_closest,q_stemmed_has_q,q_stemmed_has_contour_line,q_stemmed_has_line_closest,q_stemmed_has_closest_q,q_stemmed_has_contour_line_closest,q_stemmed_has_line_closest_q,q_stem_ordered_has_closest,q_stem_ordered_has_contour,q_stem_ordered_has_line,q_stem_ordered_has_q,q_stem_ordered_has_closest_contour,q_stem_ordered_has_contour_line,q_stem_ordered_has_line_q,q_stem_ordered_has_closest_contour_line,q_stem_ordered_has_contour_line_q
0.8333333333333334,0.75,0.25,0.4082,0.75,0.25,0.4082,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
0.16666666666666666,0.4,0.2,0.3536,0.4,0.2,0.3536,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.16666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.33333333333333337,0.6,0.4,0.5774,0.6,0.4,0.5774,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
0.5,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
0.16666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.33333333333333337,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.33333333333333337,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.5714285714285714,0.14285714285714285,0.25,0.5714285714285714,0.14285714285714285,0.25,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.33333333333333337,0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.16666666666666666,0.4,0.2,0.3536,0.4,0.2,0.3536,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.33333333333333337,0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.33333333333333337,0.6,0.4,0.5774,0.6,0.4,0.5774,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
0.16666666666666666,0.4,0.2,0.3536,0.4,0.2,0.3536,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.16666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6666666666666666,0.7142857142857143,0.2857142857142857,0.4472,0.7142857142857143,0.2857142857142857,0.4472,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0.9999999999999999,0.6666666666666666,0.1111111111111111,0.2041,0.6666666666666666,0.1111111111111111,0.2041,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.6666666666666666,0.8333333333333334,0.5,0.6708,0.8333333333333334,0.5,0.6708,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1
0.33333333333333337,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6666666666666666,0.7142857142857143,0.2857142857142857,0.4472,0.7142857142857143,0.2857142857142857,0.4472,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
0.33333333333333337,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
0.16666666666666666,0.4,0.2,0.3536,0.4,0.2,0.3536,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.33333333333333337,0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.16666666666666666,0.4,0.2,0.3536,0.4,0.2,0.3536,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.0,0.2,0.0,0.0,0.2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.33333333333333337,0.6,0.4,0.5774,0.6,0.4,0.5774,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
0.5,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
0.6666666666666666,0.7142857142857143,0.2857142857142857,0.4472,0.7142857142857143,0.2857142857142857,0.4472,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
0.33333333333333337,0.6,0.4,0.5774,0.6,0.4,0.5774,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
0.6666666666666666,0.7142857142857143,0.2857142857142857,0.4472,0.7142857142857143,0.2857142857142857,0.4472,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
0.33333333333333337,0.6,0.4,0.5774,0.6,0.4,0.5774,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
0.33333333333333337,0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.8333333333333334,0.75,0.25,0.4082,0.75,0.25,0.4082,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0.33333333333333337,0.6,0.4,0.5774,0.6,0.4,0.5774,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
0.6666666666666666,0.625,0.125,0.2236,0.625,0.125,0.2236,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
