wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_middl,q_stemmed_has_bulb,q_stemmed_has_burn,q_stemmed_has_2,q_stemmed_has_stay,q_stemmed_has_lit,q_stemmed_has_middl_bulb,q_stemmed_has_bulb_burn,q_stemmed_has_burn_2,q_stemmed_has_2_bulb,q_stemmed_has_bulb_stay,q_stemmed_has_stay_lit,q_stemmed_has_middl_bulb_burn,q_stemmed_has_bulb_burn_2,q_stemmed_has_burn_2_bulb,q_stemmed_has_2_bulb_stay,q_stemmed_has_bulb_stay_lit,q_stem_ordered_has_2,q_stem_ordered_has_bulb,q_stem_ordered_has_burn,q_stem_ordered_has_lit,q_stem_ordered_has_middl,q_stem_ordered_has_stay,q_stem_ordered_has_2_bulb,q_stem_ordered_has_bulb_bulb,q_stem_ordered_has_bulb_burn,q_stem_ordered_has_burn_lit,q_stem_ordered_has_lit_middl,q_stem_ordered_has_middl_stay,q_stem_ordered_has_2_bulb_bulb,q_stem_ordered_has_bulb_bulb_burn,q_stem_ordered_has_bulb_burn_lit,q_stem_ordered_has_burn_lit_middl,q_stem_ordered_has_lit_middl_stay
0.14285714285714285,0.2857142857142857,0.14285714285714285,0.2887,0.2857142857142857,0.14285714285714285,0.2887,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.14285714285714285,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0.14285714285714285,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.14285714285714285,0.2857142857142857,0.14285714285714285,0.2887,0.2857142857142857,0.14285714285714285,0.2887,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.2857142857142857,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2857142857142857,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.16666666666666666,0.16666666666666666,0.4082,0.16666666666666666,0.16666666666666666,0.4082,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.16666666666666666,0.16666666666666666,0.4082,0.16666666666666666,0.16666666666666666,0.4082,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.14285714285714285,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
