wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_solar,q_stemmed_has_water,q_stemmed_has_heater,q_stemmed_has_blue,q_stemmed_has_collector,q_stemmed_has_heat,q_stemmed_has_faster,q_stemmed_has_red,q_stemmed_has_solar_water,q_stemmed_has_water_heater,q_stemmed_has_heater_blue,q_stemmed_has_blue_collector,q_stemmed_has_collector_heat,q_stemmed_has_heat_faster,q_stemmed_has_faster_solar,q_stemmed_has_heater_red,q_stemmed_has_red_collector,q_stemmed_has_solar_water_heater,q_stemmed_has_water_heater_blue,q_stemmed_has_heater_blue_collector,q_stemmed_has_blue_collector_heat,q_stemmed_has_collector_heat_faster,q_stemmed_has_heat_faster_solar,q_stemmed_has_faster_solar_water,q_stemmed_has_water_heater_red,q_stemmed_has_heater_red_collector,q_stem_ordered_has_blue,q_stem_ordered_has_collector,q_stem_ordered_has_faster,q_stem_ordered_has_heat,q_stem_ordered_has_heater,q_stem_ordered_has_red,q_stem_ordered_has_solar,q_stem_ordered_has_water,q_stem_ordered_has_blue_collector,q_stem_ordered_has_collector_collector,q_stem_ordered_has_collector_faster,q_stem_ordered_has_faster_heat,q_stem_ordered_has_heat_heater,q_stem_ordered_has_heater_heater,q_stem_ordered_has_heater_red,q_stem_ordered_has_red_solar,q_stem_ordered_has_solar_solar,q_stem_ordered_has_solar_water,q_stem_ordered_has_water_water,q_stem_ordered_has_blue_collector_collector,q_stem_ordered_has_collector_collector_faster,q_stem_ordered_has_collector_faster_heat,q_stem_ordered_has_faster_heat_heater,q_stem_ordered_has_heat_heater_heater,q_stem_ordered_has_heater_heater_red,q_stem_ordered_has_heater_red_solar,q_stem_ordered_has_red_solar_solar,q_stem_ordered_has_solar_solar_water,q_stem_ordered_has_solar_water_water
0.4000000000000001,0.5,0.3,0.4743,0.5,0.3,0.4743,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3,0.45454545454545453,0.18181818181818182,0.3162,0.45454545454545453,0.18181818181818182,0.3162,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4000000000000001,0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.10000000000000003,0.3333333333333333,0.2222222222222222,0.4082,0.3333333333333333,0.2222222222222222,0.4082,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4000000000000001,0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3,0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3,0.45454545454545453,0.18181818181818182,0.3162,0.45454545454545453,0.18181818181818182,0.3162,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.2,0.0,0.0,0.2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4000000000000001,0.5555555555555556,0.4444444444444444,0.6325,0.5555555555555556,0.4444444444444444,0.6325,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6000000000000001,0.45454545454545453,0.18181818181818182,0.3162,0.45454545454545453,0.18181818181818182,0.3162,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
