wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_flood,q_stemmed_has_water,q_stemmed_has_creek,q_stemmed_has_flow,q_stemmed_has_faster,q_stemmed_has_flood_water,q_stemmed_has_water_creek,q_stemmed_has_creek_water,q_stemmed_has_water_flow,q_stemmed_has_flow_faster,q_stemmed_has_flood_water_creek,q_stemmed_has_water_creek_water,q_stemmed_has_creek_water_flow,q_stemmed_has_water_flow_faster,q_stem_ordered_has_creek,q_stem_ordered_has_faster,q_stem_ordered_has_flood,q_stem_ordered_has_flow,q_stem_ordered_has_water,q_stem_ordered_has_creek_faster,q_stem_ordered_has_faster_flood,q_stem_ordered_has_flood_flow,q_stem_ordered_has_flow_water,q_stem_ordered_has_water_water,q_stem_ordered_has_creek_faster_flood,q_stem_ordered_has_faster_flood_flow,q_stem_ordered_has_flood_flow_water,q_stem_ordered_has_flow_water_water
0.07142857142857142,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.21428571428571425,0.7142857142857143,0.42857142857142855,0.6,0.7142857142857143,0.42857142857142855,0.6,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
0.21428571428571425,0.625,0.25,0.4,0.625,0.25,0.4,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.21428571428571425,0.6666666666666666,0.5,0.6708,0.6666666666666666,0.5,0.6708,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0
0.42857142857142855,0.7272727272727273,0.18181818181818182,0.3162,0.7272727272727273,0.18181818181818182,0.3162,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0.49999999999999994,0.7,0.2,0.3381,0.7,0.2,0.3381,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,0.3333333333333333,0.5774,1.0,0.3333333333333333,0.5774,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0
0.35714285714285715,0.7,0.2,0.3381,0.7,0.2,0.3381,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
0.8571428571428572,0.875,0.5,0.6761,0.875,0.5,0.6761,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0
