wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_elytra,q_stemmed_has_sound,q_stemmed_has_elytra_sound,q_stem_ordered_has_elytra,q_stem_ordered_has_sound,q_stem_ordered_has_elytra_sound
0.0,0.5,0.5,0.7071,0.5,0.5,0.7071,0,1,0,0,1,0
0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0
0.14285714285714285,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0
0.0,0.5,0.5,0.7071,0.5,0.5,0.7071,0,1,0,0,1,0
0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0
0.14285714285714285,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0
0.14285714285714285,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0
0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0
0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0
0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0
0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0
0.2857142857142857,0.75,0.25,0.4082,0.75,0.25,0.4082,0,1,0,0,1,0
0.14285714285714285,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0
0.14285714285714285,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0
0.14285714285714285,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,0,1,0,0,1,0
0.2857142857142857,0.6,0.0,0.0,0.6,0.0,0.0,0,0,0,0,0,0
0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0
0.42857142857142855,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0,0,0,0,0,0
0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0
0.2857142857142857,0.75,0.25,0.4082,0.75,0.25,0.4082,1,0,0,1,0,0
0.14285714285714285,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0
0.2857142857142857,0.75,0.25,0.4082,0.75,0.25,0.4082,1,0,0,1,0,0
0.14285714285714285,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0
0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0
0.14285714285714285,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0
0.42857142857142855,1.0,0.5,0.7071,1.0,0.5,0.7071,1,1,0,1,1,0
0.8571428571428572,0.7777777777777778,0.0,0.0,0.7777777777777778,0.0,0.0,0,0,0,0,0,0
0.14285714285714285,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0
0.2857142857142857,0.6,0.0,0.0,0.6,0.0,0.0,0,0,0,0,0,0
0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0
0.7142857142857142,0.75,0.0,0.0,0.75,0.0,0.0,0,0,0,0,0,0
0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0
0.2857142857142857,0.6,0.0,0.0,0.6,0.0,0.0,0,0,0,0,0,0
0.5714285714285714,0.8333333333333334,0.16666666666666666,0.3162,0.8333333333333334,0.16666666666666666,0.3162,1,0,0,1,0,0
0.14285714285714285,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0
1.0,1.0,0.2857142857142857,0.5345,1.0,0.2857142857142857,0.5345,1,1,0,1,1,0
0.14285714285714285,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1
