student_answer,teacher_answer,label,question_id,q_answer,q_stopwords,q_stemmed,q_stem_ordered
It will not get light because the negative is getting to the motor.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,light negative getting motor,light neg get motor,get light motor neg
It will not light because one wire has to go in one side and one wire has to go in the other.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",1,72,It will not get light because the negative is getting to the motor.,light wire wire,light wire wire,light wire wire
There is not 2 wires for each little clip. There needs to be one coming from one clip and another coming from the other clip.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",1,72,It will not get light because the negative is getting to the motor.,2 wires little clip needs coming clip coming clip,2 wire littl clip need come clip come clip,2 clip clip clip come come littl need wire
The bulb will not light because one of the wires have to touch the other clip.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",1,72,It will not get light because the negative is getting to the motor.,bulb light wires touch clip,bulb light wire touch clip,bulb clip light touch wire
Because the electricity is going to the motor.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,electricity going motor,electr go motor,electr go motor
The bulb will not light because there is not enough electricity.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,bulb light electricity,bulb light electr,bulb electr light
It will not because there has to be a wire in each wire holder.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",1,72,It will not get light because the negative is getting to the motor.,wire wire holder,wire wire holder,holder wire wire
The cord from the battery is not on both sides.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,cord battery sides,cord batteri side,batteri cord side
Because the bulb will not have enough energy because of the light bulb.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,bulb energy light bulb,bulb energi light bulb,bulb bulb energi light
Because the positive wire is taking the energy right away.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,positive wire taking energy right away,posit wire take energi right away,away energi posit right take wire
"Because, the electricity goes through the wrong way the second time.","The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,electricity goes wrong way second time,electr goe wrong way second time,electr goe second time way wrong
There are 2 wires that should not be there the motor wires.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,2 wires motor wires,2 wire motor wire,2 motor wire wire
It going in a coil.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,going coil,go coil,coil go
The wires are not even.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,wires,wire,wire
It is not connected properly because the wires are not connected properly on the motor.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,connected properly wires connected properly motor,connect properli wire connect properli motor,connect connect motor properli properli wire
The bulb will no because the other wire is not connected.,"The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.",0,72,It will not get light because the negative is getting to the motor.,bulb wire connected,bulb wire connect,bulb connect wire
