student_answer,teacher_answer,label,question_id,q_answer,q_stopwords,q_stemmed,q_stem_ordered
Because it look a lot like alum.,Emily's crystals are the same shape as the alum crystals shown on the key.,0,85,Because it look a lot like alum.,look lot like alum,look lot like alum,alum like look lot
I chose it because I looked at the key below and I saw the same shape.,Emily's crystals are the same shape as the alum crystals shown on the key.,0,85,Because it look a lot like alum.,chose looked key saw shape,chose look key saw shape,chose key look saw shape
Because they are the same shape.,Emily's crystals are the same shape as the alum crystals shown on the key.,0,85,Because it look a lot like alum.,shape,shape,shape
"Because the particles in her dish, look like the ones in the box down below labeled alum.",Emily's crystals are the same shape as the alum crystals shown on the key.,1,85,Because it look a lot like alum.,particles dish look like ones box labeled alum,particl dish look like one box label alum,alum box dish label like look one particl
Because on the key alum is a hexagon and a hexagon in the middle with lines going from each point to the point on the hexagon inside.,Emily's crystals are the same shape as the alum crystals shown on the key.,1,85,Because it look a lot like alum.,key alum hexagon hexagon middle lines going point point hexagon inside,key alum hexagon hexagon middl line go point point hexagon insid,alum go hexagon hexagon hexagon insid key line middl point point
I chose alum because it looks like alum and the mystery solution have the same pattern.,Emily's crystals are the same shape as the alum crystals shown on the key.,0,85,Because it look a lot like alum.,chose alum looks like alum mystery solution pattern,chose alum look like alum mysteri solut pattern,alum alum chose like look mysteri pattern solut
Because you see the picture in the dish and it looks the same.,Emily's crystals are the same shape as the alum crystals shown on the key.,0,85,Because it look a lot like alum.,picture dish looks,pictur dish look,dish look pictur
I looked at the crystal shape key and it looks most like alum.,Emily's crystals are the same shape as the alum crystals shown on the key.,1,85,Because it look a lot like alum.,looked crystal shape key looks like alum,look crystal shape key look like alum,alum crystal key like look look shape
Because they look the same.,Emily's crystals are the same shape as the alum crystals shown on the key.,0,85,Because it look a lot like alum.,look,look,look
Well I look at the key below and I saw the same way it looked at the top.,Emily's crystals are the same shape as the alum crystals shown on the key.,0,85,Because it look a lot like alum.,look key saw way looked,look key saw way look,key look look saw way
Because that is what it is call and we talks about that is what it is call.,Emily's crystals are the same shape as the alum crystals shown on the key.,0,85,Because it look a lot like alum.,talks,talk,talk
Because I thought it was the best answer.,Emily's crystals are the same shape as the alum crystals shown on the key.,0,85,Because it look a lot like alum.,thought best answer,thought best answer,answer best thought
I looked at the pictures below and one of them looked like mystery solution looked at it said alum I picked alum.,Emily's crystals are the same shape as the alum crystals shown on the key.,1,85,Because it look a lot like alum.,looked pictures looked like mystery solution looked said alum picked alum,look pictur look like mysteri solut look said alum pick alum,alum alum like look look look mysteri pick pictur said solut
Because crystals look like a small amount and have lines on the side something each crystal has its own shape.,Emily's crystals are the same shape as the alum crystals shown on the key.,0,85,Because it look a lot like alum.,crystals look like small lines crystal shape,crystal look like small line crystal shape,crystal crystal like line look shape small
I looked at the pictures and words and I tried to see which one matched the crystals in the circle.,Emily's crystals are the same shape as the alum crystals shown on the key.,0,85,Because it look a lot like alum.,looked pictures words tried matched crystals circle,look pictur word tri match crystal circl,circl crystal look match pictur tri word
Because picture tips of crystal like the same.,Emily's crystals are the same shape as the alum crystals shown on the key.,0,85,Because it look a lot like alum.,picture tips crystal like,pictur tip crystal like,crystal like pictur tip
Because that is the picture Emily drew. Crystals have different shapes.,Emily's crystals are the same shape as the alum crystals shown on the key.,0,85,Because it look a lot like alum.,picture emily drew crystals different shapes,pictur emili drew crystal differ shape,crystal differ drew emili pictur shape
You can see it on the pictures.,Emily's crystals are the same shape as the alum crystals shown on the key.,0,85,Because it look a lot like alum.,pictures,pictur,pictur
Just a wild guess.,Emily's crystals are the same shape as the alum crystals shown on the key.,0,85,Because it look a lot like alum.,wild guess,wild guess,guess wild
Because it showed what alum looks like at the bottom.,Emily's crystals are the same shape as the alum crystals shown on the key.,0,85,Because it look a lot like alum.,showed alum looks like,show alum look like,alum like look show
Because they look the same.,Emily's crystals are the same shape as the alum crystals shown on the key.,0,85,Because it look a lot like alum.,look,look,look
Because they look like they have the same properties.,Emily's crystals are the same shape as the alum crystals shown on the key.,0,85,Because it look a lot like alum.,look like properties,look like properti,like look properti
"I chose that answer, because the picture look the same.",Emily's crystals are the same shape as the alum crystals shown on the key.,0,85,Because it look a lot like alum.,chose answer picture look,chose answer pictur look,answer chose look pictur
Because picture show the exact same thing as alum in the picture below.,Emily's crystals are the same shape as the alum crystals shown on the key.,1,85,Because it look a lot like alum.,picture exact thing alum picture,pictur exact thing alum pictur,alum exact pictur pictur thing
Because they look the same.,Emily's crystals are the same shape as the alum crystals shown on the key.,0,85,Because it look a lot like alum.,look,look,look
The alum has the same pattern and it looks the same.,Emily's crystals are the same shape as the alum crystals shown on the key.,0,85,Because it look a lot like alum.,alum pattern looks,alum pattern look,alum look pattern
I chose that answer because it looks the same like the drawing in the circle.,Emily's crystals are the same shape as the alum crystals shown on the key.,0,85,Because it look a lot like alum.,chose answer looks like drawing circle,chose answer look like draw circl,answer chose circl draw like look
Because it shows the pictures below.,Emily's crystals are the same shape as the alum crystals shown on the key.,0,85,Because it look a lot like alum.,shows pictures,show pictur,pictur show
I chose that answer because when I look down the picture it look the same as the picture up there.,Emily's crystals are the same shape as the alum crystals shown on the key.,0,85,Because it look a lot like alum.,chose answer look picture look picture,chose answer look pictur look pictur,answer chose look look pictur pictur
Because the picture down below of Epsom salt has no lines or anything.,Emily's crystals are the same shape as the alum crystals shown on the key.,0,85,Because it look a lot like alum.,picture epsom salt lines,pictur epsom salt line,epsom line pictur salt
Because her drawing looks the same as the one in the shape key.,Emily's crystals are the same shape as the alum crystals shown on the key.,0,85,Because it look a lot like alum.,drawing looks shape key,draw look shape key,draw key look shape
The alum in the picture below is a tall hexagon the crystal in the picture above is also a tall hexagon so it led me to the conclusion that they are the same.,Emily's crystals are the same shape as the alum crystals shown on the key.,1,85,Because it look a lot like alum.,alum picture tall hexagon crystal picture tall hexagon led conclusion,alum pictur tall hexagon crystal pictur tall hexagon led conclus,alum conclus crystal hexagon hexagon led pictur pictur tall tall
Because alum looks like the picture above.,Emily's crystals are the same shape as the alum crystals shown on the key.,1,85,Because it look a lot like alum.,alum looks like picture,alum look like pictur,alum like look pictur
Because it looks like alum but more crystals.,Emily's crystals are the same shape as the alum crystals shown on the key.,1,85,Because it look a lot like alum.,looks like alum crystals,look like alum crystal,alum crystal like look
I chose it because on the key it looks the same as the crystal evaporating dish.,Emily's crystals are the same shape as the alum crystals shown on the key.,0,85,Because it look a lot like alum.,chose key looks crystal evaporating dish,chose key look crystal evapor dish,chose crystal dish evapor key look
It looks closer than the other.,Emily's crystals are the same shape as the alum crystals shown on the key.,0,85,Because it look a lot like alum.,looks closer,look closer,closer look
Emily's crystals are the same shape as the alum crystals shown on the key.,Emily's crystals are the same shape as the alum crystals shown on the key.,1,85,Because it look a lot like alum.,emilys crystals shape alum crystals shown key,emili crystal shape alum crystal shown key,alum crystal crystal emili key shape shown
