wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_like,q_stemmed_has_pole,q_stemmed_has_repel,q_stemmed_has_opposit,q_stemmed_has_attract,q_stemmed_has_like_pole,q_stemmed_has_pole_repel,q_stemmed_has_repel_opposit,q_stemmed_has_opposit_pole,q_stemmed_has_pole_attract,q_stemmed_has_like_pole_repel,q_stemmed_has_pole_repel_opposit,q_stemmed_has_repel_opposit_pole,q_stemmed_has_opposit_pole_attract,q_stem_ordered_has_attract,q_stem_ordered_has_like,q_stem_ordered_has_opposit,q_stem_ordered_has_pole,q_stem_ordered_has_repel,q_stem_ordered_has_attract_like,q_stem_ordered_has_like_opposit,q_stem_ordered_has_opposit_pole,q_stem_ordered_has_pole_pole,q_stem_ordered_has_pole_repel,q_stem_ordered_has_attract_like_opposit,q_stem_ordered_has_like_opposit_pole,q_stem_ordered_has_opposit_pole_pole,q_stem_ordered_has_pole_pole_repel
0.0,0.2,0.2,0.4472,0.2,0.2,0.4472,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.5454545454545454,0.5555555555555556,0.1111111111111111,0.2,0.5555555555555556,0.1111111111111111,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9090909090909091,0.5833333333333334,0.0,0.0,0.5833333333333334,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.2,0.2,0.4472,0.2,0.2,0.4472,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.09090909090909091,0.3333333333333333,0.16666666666666666,0.3162,0.3333333333333333,0.16666666666666666,0.3162,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4545454545454545,0.5454545454545454,0.0,0.0,0.5454545454545454,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.36363636363636365,0.4444444444444444,0.0,0.0,0.4444444444444444,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8181818181818182,0.5454545454545454,0.0,0.0,0.5454545454545454,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7272727272727273,0.6666666666666666,0.08333333333333333,0.1581,0.6666666666666666,0.08333333333333333,0.1581,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
