wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_complet,q_stemmed_has_circuit,q_stemmed_has_connect,q_stemmed_has_bulb,q_stemmed_has_dcell,q_stemmed_has_batteri,q_stemmed_has_complet_circuit,q_stemmed_has_circuit_connect,q_stemmed_has_connect_bulb,q_stemmed_has_bulb_dcell,q_stemmed_has_dcell_batteri,q_stemmed_has_complet_circuit_connect,q_stemmed_has_circuit_connect_bulb,q_stemmed_has_connect_bulb_dcell,q_stemmed_has_bulb_dcell_batteri,q_stem_ordered_has_batteri,q_stem_ordered_has_bulb,q_stem_ordered_has_circuit,q_stem_ordered_has_complet,q_stem_ordered_has_connect,q_stem_ordered_has_dcell,q_stem_ordered_has_batteri_bulb,q_stem_ordered_has_bulb_circuit,q_stem_ordered_has_circuit_complet,q_stem_ordered_has_complet_connect,q_stem_ordered_has_connect_dcell,q_stem_ordered_has_batteri_bulb_circuit,q_stem_ordered_has_bulb_circuit_complet,q_stem_ordered_has_circuit_complet_connect,q_stem_ordered_has_complet_connect_dcell
0.5714285714285714,0.4,0.0,0.0,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.42857142857142855,0.4,0.0,0.0,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.42857142857142855,0.5714285714285714,0.42857142857142855,0.6124,0.5714285714285714,0.42857142857142855,0.6124,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0
0.2857142857142857,0.375,0.125,0.2357,0.375,0.125,0.2357,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8571428571428572,0.7142857142857143,0.5714285714285714,0.7303,0.7142857142857143,0.5714285714285714,0.7303,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0
0.0,0.16666666666666666,0.16666666666666666,0.4082,0.16666666666666666,0.16666666666666666,0.4082,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.8571428571428572,0.6363636363636364,0.18181818181818182,0.3086,0.6363636363636364,0.18181818181818182,0.3086,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
0.2857142857142857,0.42857142857142855,0.2857142857142857,0.4714,0.42857142857142855,0.2857142857142857,0.4714,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
0.42857142857142855,0.4,0.0,0.0,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7142857142857142,0.5454545454545454,0.09090909090909091,0.1667,0.5454545454545454,0.09090909090909091,0.1667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.14285714285714285,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5714285714285714,0.5,0.1,0.1826,0.5,0.1,0.1826,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8571428571428572,0.5384615384615384,0.0,0.0,0.5384615384615384,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5714285714285714,0.5555555555555556,0.2222222222222222,0.3651,0.5555555555555556,0.2222222222222222,0.3651,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.5833333333333334,0.08333333333333333,0.1543,0.5833333333333334,0.08333333333333333,0.1543,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.7142857142857142,0.5454545454545454,0.09090909090909091,0.1667,0.5454545454545454,0.09090909090909091,0.1667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
