wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_time,q_stemmed_has_taken,q_stemmed_has_earth,q_stemmed_has_materi,q_stemmed_has_time_taken,q_stemmed_has_taken_earth,q_stemmed_has_earth_materi,q_stemmed_has_time_taken_earth,q_stemmed_has_taken_earth_materi,q_stem_ordered_has_earth,q_stem_ordered_has_materi,q_stem_ordered_has_taken,q_stem_ordered_has_time,q_stem_ordered_has_earth_materi,q_stem_ordered_has_materi_taken,q_stem_ordered_has_taken_time,q_stem_ordered_has_earth_materi_taken,q_stem_ordered_has_materi_taken_time
0.23076923076923078,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07692307692307693,0.4,0.2,0.3536,0.4,0.2,0.3536,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,0.2,0.0,0.0,0.2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07692307692307693,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8461538461538463,0.8333333333333334,0.16666666666666666,0.3162,0.8333333333333334,0.16666666666666666,0.3162,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
0.0,0.2,0.0,0.0,0.2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07692307692307693,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15384615384615385,0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.6153846153846154,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15384615384615385,0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.15384615384615385,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07692307692307693,0.4,0.2,0.3536,0.4,0.2,0.3536,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.6923076923076923,0.75,0.08333333333333333,0.1667,0.75,0.08333333333333333,0.1667,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.3076923076923077,0.625,0.125,0.2236,0.625,0.125,0.2236,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.15384615384615385,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8461538461538463,0.75,0.08333333333333333,0.1667,0.75,0.08333333333333333,0.1667,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.15384615384615385,0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.23076923076923078,0.5714285714285714,0.14285714285714285,0.25,0.5714285714285714,0.14285714285714285,0.25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.07692307692307693,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3076923076923077,0.625,0.125,0.2236,0.625,0.125,0.2236,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.07692307692307693,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.23076923076923078,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.23076923076923078,0.5714285714285714,0.14285714285714285,0.25,0.5714285714285714,0.14285714285714285,0.25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.15384615384615385,0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.5384615384615385,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07692307692307693,0.4,0.2,0.3536,0.4,0.2,0.3536,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0000000000000002,0.7333333333333333,0.0,0.0,0.7333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07692307692307693,0.4,0.2,0.3536,0.4,0.2,0.3536,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.3076923076923077,0.625,0.125,0.2236,0.625,0.125,0.2236,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.23076923076923078,0.5714285714285714,0.14285714285714285,0.25,0.5714285714285714,0.14285714285714285,0.25,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.23076923076923078,0.5714285714285714,0.14285714285714285,0.25,0.5714285714285714,0.14285714285714285,0.25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.07692307692307693,0.4,0.2,0.3536,0.4,0.2,0.3536,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.15384615384615385,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6923076923076923,0.7272727272727273,0.09090909090909091,0.1768,0.7272727272727273,0.09090909090909091,0.1768,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.6153846153846154,0.6363636363636364,0.0,0.0,0.6363636363636364,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3076923076923077,0.5555555555555556,0.0,0.0,0.5555555555555556,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.23076923076923078,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
