wordcount,sentence_count,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_heat,q_stemmed_has_sink,q_stemmed_has_materi,q_stemmed_has_absorb,q_stemmed_has_lot,q_stem_ordered_has_absorb,q_stem_ordered_has_heat,q_stem_ordered_has_lot,q_stem_ordered_has_materi,q_stem_ordered_has_sink
0.4444444444444444,0.0,0.5714285714285714,0.2857142857142857,0.4472,0.5714285714285714,0.2857142857142857,0.4472,1,1,0,0,0,0,1,0,0,1
0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0,0,0,0,0,0,0,0,0,0
0.33333333333333337,0.0,0.5714285714285714,0.2857142857142857,0.4472,0.5714285714285714,0.2857142857142857,0.4472,1,1,0,0,0,0,1,0,0,1
0.33333333333333337,0.0,0.5714285714285714,0.2857142857142857,0.4472,0.5714285714285714,0.2857142857142857,0.4472,1,1,0,0,0,0,1,0,0,1
0.2222222222222222,0.0,0.5,0.125,0.2236,0.5,0.125,0.2236,0,0,0,1,0,1,0,0,0,0
0.9999999999999999,1.0,0.6666666666666666,0.2222222222222222,0.3651,0.6666666666666666,0.2222222222222222,0.3651,1,1,0,0,0,0,1,0,0,1
0.4444444444444444,0.0,0.625,0.25,0.4,0.625,0.25,0.4,1,1,0,0,0,0,1,0,0,1
0.4444444444444444,0.0,0.5714285714285714,0.2857142857142857,0.4472,0.5714285714285714,0.2857142857142857,0.4472,1,1,0,0,0,0,1,0,0,1
0.888888888888889,1.0,0.8333333333333334,0.6666666666666666,0.8,0.8333333333333334,0.6666666666666666,0.8,1,1,1,0,1,0,1,1,1,1
0.888888888888889,0.0,0.8,0.3,0.4743,0.8,0.3,0.4743,1,1,1,0,0,0,1,0,1,1
0.2222222222222222,0.0,0.4444444444444444,0.0,0.0,0.4444444444444444,0.0,0.0,0,0,0,0,0,0,0,0,0,0
0.5555555555555555,0.0,0.6666666666666666,0.2222222222222222,0.3651,0.6666666666666666,0.2222222222222222,0.3651,1,0,0,1,0,1,1,0,0,0
0.1111111111111111,0.0,0.375,0.0,0.0,0.375,0.0,0.0,0,0,0,0,0,0,0,0,0,0
0.4444444444444444,0.0,0.6,0.1,0.1826,0.6,0.1,0.1826,0,0,1,0,0,0,0,0,1,0
0.5555555555555555,0.0,0.6666666666666666,0.2222222222222222,0.3651,0.6666666666666666,0.2222222222222222,0.3651,0,0,1,1,0,1,0,0,1,0
0.7777777777777778,0.0,0.8888888888888888,0.4444444444444444,0.6325,0.8888888888888888,0.4444444444444444,0.6325,1,1,1,1,0,1,1,0,1,1
0.2222222222222222,0.0,0.5714285714285714,0.2857142857142857,0.4472,0.5714285714285714,0.2857142857142857,0.4472,1,0,1,0,0,0,1,0,1,0
0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.3333333333333333,0.16666666666666666,0.3162,0.3333333333333333,0.16666666666666666,0.3162,1,0,0,0,0,0,1,0,0,0
0.1111111111111111,0.0,0.5,0.3333333333333333,0.5164,0.5,0.3333333333333333,0.5164,1,0,1,0,0,0,1,0,1,0
0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0,0,0,0,0,0,0,0,0,0
0.7777777777777778,1.0,0.7777777777777778,0.3333333333333333,0.5071,0.7777777777777778,0.3333333333333333,0.5071,1,1,0,1,0,1,1,0,0,1
0.2222222222222222,0.0,0.5714285714285714,0.2857142857142857,0.4472,0.5714285714285714,0.2857142857142857,0.4472,1,1,0,0,0,0,1,0,0,1
0.4444444444444444,0.0,0.625,0.25,0.4,0.625,0.25,0.4,1,1,0,0,0,0,1,0,0,1
0.33333333333333337,0.0,0.6666666666666666,0.5,0.6708,0.6666666666666666,0.5,0.6708,1,1,1,0,0,0,1,0,1,1
0.0,0.0,0.4,0.4,0.6325,0.4,0.4,0.6325,1,0,0,1,0,1,1,0,0,0
0.0,0.0,0.3333333333333333,0.16666666666666666,0.3162,0.3333333333333333,0.16666666666666666,0.3162,1,0,0,0,0,0,1,0,0,0
0.4444444444444444,0.0,0.7142857142857143,0.42857142857142855,0.6,0.7142857142857143,0.42857142857142855,0.6,1,1,0,1,0,1,1,0,0,1
0.5555555555555555,0.0,0.7142857142857143,0.42857142857142855,0.6,0.7142857142857143,0.42857142857142855,0.6,1,1,1,0,0,0,1,0,1,1
0.7777777777777778,0.0,0.8,0.3,0.4743,0.8,0.3,0.4743,1,1,1,0,0,0,1,0,1,1
0.2222222222222222,0.0,0.5,0.3333333333333333,0.5164,0.5,0.3333333333333333,0.5164,1,1,0,0,0,0,1,0,0,1
0.0,0.0,0.3333333333333333,0.16666666666666666,0.3162,0.3333333333333333,0.16666666666666666,0.3162,0,0,1,0,0,0,0,0,1,0
0.4444444444444444,0.0,0.6666666666666666,0.2222222222222222,0.3651,0.6666666666666666,0.2222222222222222,0.3651,1,1,0,0,0,0,1,0,0,1
0.33333333333333337,0.0,0.7142857142857143,0.42857142857142855,0.6,0.7142857142857143,0.42857142857142855,0.6,1,1,0,1,0,1,1,0,0,1
0.33333333333333337,0.0,0.625,0.25,0.4,0.625,0.25,0.4,1,1,0,0,0,0,1,0,0,1
0.5555555555555555,0.0,0.75,0.375,0.5477,0.75,0.375,0.5477,1,1,0,1,0,1,1,0,0,1
0.4444444444444444,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1
