student_answer,teacher_answer,label,question_id,q_answer,q_stopwords,q_stemmed,q_stem_ordered
It depends on if it has a slope or no slope.,During a flood there is more water in the creek and the water flows faster.,0,32,It depends on if it has a slope or no slope.,depends slope slope,depend slope slope,depend slope slope
A flood will make the creek overflow faster and will make more damage.,During a flood there is more water in the creek and the water flows faster.,1,32,It depends on if it has a slope or no slope.,flood creek overflow faster damage,flood creek overflow faster damag,creek damag faster flood overflow
It flows faster and carries lots of birdie.,During a flood there is more water in the creek and the water flows faster.,0,32,It depends on if it has a slope or no slope.,flows faster carries lots birdie,flow faster carri lot birdi,birdi carri faster flow lot
With normal water flow there is not as much water than a flood.,During a flood there is more water in the creek and the water flows faster.,0,32,It depends on if it has a slope or no slope.,normal water flow water flood,normal water flow water flood,flood flow normal water water
The flood water rises and goes really fast picking up sand and dirt.,During a flood there is more water in the creek and the water flows faster.,1,32,It depends on if it has a slope or no slope.,flood water rises goes fast picking sand dirt,flood water rise goe fast pick sand dirt,dirt fast flood goe pick rise sand water
Water flows with a lot more force normal water goes a lot less fast.,During a flood there is more water in the creek and the water flows faster.,0,32,It depends on if it has a slope or no slope.,water flows lot force normal water goes lot fast,water flow lot forc normal water goe lot fast,fast flow forc goe lot lot normal water water
They both create erosion.,During a flood there is more water in the creek and the water flows faster.,0,32,It depends on if it has a slope or no slope.,create erosion,creat eros,creat eros
"During a flood the creek's volume will increase greatly, the water will run faster, and there will be mudslides, compared to normal water flow, which is constant and steady, and erodes less.",During a flood there is more water in the creek and the water flows faster.,1,32,It depends on if it has a slope or no slope.,flood creeks volume increase greatly water run faster mudslides compared normal water flow constant steady erodes,flood creek volum increas greatli water run faster mudslid compar normal water flow constant steadi erod,compar constant creek erod faster flood flow greatli increas mudslid normal run steadi volum water water
"It will flow fast and crazy, but with a normal one it floods slow and calm.",During a flood there is more water in the creek and the water flows faster.,0,32,It depends on if it has a slope or no slope.,flow fast crazy normal floods slow calm,flow fast crazi normal flood slow calm,calm crazi fast flood flow normal slow
The water flow in a creek during a flood is different from normal water flow because the water during a flood would flow more rapidly than the normal flow.,During a flood there is more water in the creek and the water flows faster.,0,32,It depends on if it has a slope or no slope.,water flow creek flood different normal water flow water flood flow rapidly normal flow,water flow creek flood differ normal water flow water flood flow rapidli normal flow,creek differ flood flood flow flow flow flow normal normal rapidli water water water
The difference between a flooded creek and a normal creek is water level and water pressure.,During a flood there is more water in the creek and the water flows faster.,1,32,It depends on if it has a slope or no slope.,difference flooded creek normal creek water level water pressure,differ flood creek normal creek water level water pressur,creek creek differ flood level normal pressur water water
"During a flood, the water flow is faster and heavier.",During a flood there is more water in the creek and the water flows faster.,0,32,It depends on if it has a slope or no slope.,flood water flow faster heavier,flood water flow faster heavier,faster flood flow heavier water
The water goes faster and the water gets higher and it start to overflow.,During a flood there is more water in the creek and the water flows faster.,1,32,It depends on if it has a slope or no slope.,water goes faster water gets higher start overflow,water goe faster water get higher start overflow,faster get goe higher overflow start water water
The water flows quickly during floods and also the water is high and normal water flows pretty calm and is not usually as high as water is during floods.,During a flood there is more water in the creek and the water flows faster.,1,32,It depends on if it has a slope or no slope.,water flows quickly floods water high normal water flows pretty calm usually high water floods,water flow quickli flood water high normal water flow pretti calm usual high water flood,calm flood flood flow flow high high normal pretti quickli usual water water water water
The water in a chart is much higher during a flood and it goes faster.,During a flood there is more water in the creek and the water flows faster.,1,32,It depends on if it has a slope or no slope.,water chart higher flood goes faster,water chart higher flood goe faster,chart faster flood goe higher water
The water rises and starts getting wavy and out of hand.,During a flood there is more water in the creek and the water flows faster.,1,32,It depends on if it has a slope or no slope.,water rises starts getting wavy hand,water rise start get wavi hand,get hand rise start water wavi
In a flood it would spread farther.,During a flood there is more water in the creek and the water flows faster.,0,32,It depends on if it has a slope or no slope.,flood spread farther,flood spread farther,farther flood spread
In a flood the water flows faster than in normal water level.,During a flood there is more water in the creek and the water flows faster.,1,32,It depends on if it has a slope or no slope.,flood water flows faster normal water level,flood water flow faster normal water level,faster flood flow level normal water water
A creek usually flows slowly and floods usually flow quickly.,During a flood there is more water in the creek and the water flows faster.,0,32,It depends on if it has a slope or no slope.,creek usually flows slowly floods usually flow quickly,creek usual flow slowli flood usual flow quickli,creek flood flow flow quickli slowli usual usual
It flows faster because of the water current pushing the other one.,During a flood there is more water in the creek and the water flows faster.,0,32,It depends on if it has a slope or no slope.,flows faster water current pushing,flow faster water current push,current faster flow push water
It will flow faster and might swerve off track.,During a flood there is more water in the creek and the water flows faster.,0,32,It depends on if it has a slope or no slope.,flow faster swerve track,flow faster swerv track,faster flow swerv track
The writer in the flood goes faster and more water comes out at once.,During a flood there is more water in the creek and the water flows faster.,1,32,It depends on if it has a slope or no slope.,writer flood goes faster water comes,writer flood goe faster water come,come faster flood goe water writer
The water would flow much faster and rise above the marshes. During a normal day the water would not be moving very fast and if would not be over the marshes.,During a flood there is more water in the creek and the water flows faster.,1,32,It depends on if it has a slope or no slope.,water flow faster rise marshes normal day water moving fast marshes,water flow faster rise marsh normal day water move fast marsh,day fast faster flow marsh marsh move normal rise water water
When there is a flood the water flow is much faster. It is also stronger.,During a flood there is more water in the creek and the water flows faster.,0,32,It depends on if it has a slope or no slope.,flood water flow faster stronger,flood water flow faster stronger,faster flood flow stronger water
It flows faster.,During a flood there is more water in the creek and the water flows faster.,0,32,It depends on if it has a slope or no slope.,flows faster,flow faster,faster flow
