wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_solut,q_stemmed_has_mixtur,q_stemmed_has_form,q_stemmed_has_solid,q_stemmed_has_dissolv,q_stemmed_has_liquid,q_stemmed_has_solut_mixtur,q_stemmed_has_mixtur_form,q_stemmed_has_form_solid,q_stemmed_has_solid_dissolv,q_stemmed_has_dissolv_liquid,q_stemmed_has_solut_mixtur_form,q_stemmed_has_mixtur_form_solid,q_stemmed_has_form_solid_dissolv,q_stemmed_has_solid_dissolv_liquid,q_stem_ordered_has_dissolv,q_stem_ordered_has_form,q_stem_ordered_has_liquid,q_stem_ordered_has_mixtur,q_stem_ordered_has_solid,q_stem_ordered_has_solut,q_stem_ordered_has_dissolv_form,q_stem_ordered_has_form_liquid,q_stem_ordered_has_liquid_mixtur,q_stem_ordered_has_mixtur_solid,q_stem_ordered_has_solid_solut,q_stem_ordered_has_dissolv_form_liquid,q_stem_ordered_has_form_liquid_mixtur,q_stem_ordered_has_liquid_mixtur_solid,q_stem_ordered_has_mixtur_solid_solut
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4545454545454545,0.6,0.2,0.3333,0.6,0.2,0.3333,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.09090909090909091,0.2857142857142857,0.14285714285714285,0.2887,0.2857142857142857,0.14285714285714285,0.2887,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.1818181818181818,0.5,0.5,0.7071,0.5,0.5,0.7071,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.09090909090909091,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2727272727272727,0.5714285714285714,0.42857142857142855,0.6124,0.5714285714285714,0.42857142857142855,0.6124,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
0.2727272727272727,0.5714285714285714,0.42857142857142855,0.6124,0.5714285714285714,0.42857142857142855,0.6124,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0.5454545454545454,0.75,0.5,0.6667,0.75,0.5,0.6667,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1
0.6363636363636364,0.5,0.25,0.4082,0.5,0.25,0.4082,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0.5454545454545454,0.5833333333333334,0.08333333333333333,0.1543,0.5833333333333334,0.08333333333333333,0.1543,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.6363636363636364,0.6363636363636364,0.18181818181818182,0.3086,0.6363636363636364,0.18181818181818182,0.3086,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0.5454545454545454,0.5,0.25,0.4082,0.5,0.25,0.4082,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
