wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_crystal,q_stemmed_has_differ,q_stemmed_has_materi,q_stemmed_has_shape,q_stemmed_has_help,q_stemmed_has_identifi,q_stemmed_has_crystal_differ,q_stemmed_has_differ_materi,q_stemmed_has_materi_differ,q_stemmed_has_differ_shape,q_stemmed_has_shape_shape,q_stemmed_has_shape_help,q_stemmed_has_help_identifi,q_stemmed_has_identifi_materi,q_stemmed_has_crystal_differ_materi,q_stemmed_has_differ_materi_differ,q_stemmed_has_materi_differ_shape,q_stemmed_has_differ_shape_shape,q_stemmed_has_shape_shape_help,q_stemmed_has_shape_help_identifi,q_stemmed_has_help_identifi_materi,q_stem_ordered_has_crystal,q_stem_ordered_has_differ,q_stem_ordered_has_help,q_stem_ordered_has_identifi,q_stem_ordered_has_materi,q_stem_ordered_has_shape,q_stem_ordered_has_crystal_differ,q_stem_ordered_has_differ_differ,q_stem_ordered_has_differ_help,q_stem_ordered_has_help_identifi,q_stem_ordered_has_identifi_materi,q_stem_ordered_has_materi_materi,q_stem_ordered_has_materi_shape,q_stem_ordered_has_shape_shape,q_stem_ordered_has_crystal_differ_differ,q_stem_ordered_has_differ_differ_help,q_stem_ordered_has_differ_help_identifi,q_stem_ordered_has_help_identifi_materi,q_stem_ordered_has_identifi_materi_materi,q_stem_ordered_has_materi_materi_shape,q_stem_ordered_has_materi_shape_shape
0.06666666666666667,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.26666666666666666,0.5,0.1,0.1826,0.5,0.1,0.1826,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0.5,0.25,0.4082,0.5,0.25,0.4082,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.33333333333333337,0.6,0.2,0.3333,0.6,0.2,0.3333,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.26666666666666666,0.625,0.375,0.5477,0.625,0.375,0.5477,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4666666666666667,0.5833333333333334,0.08333333333333333,0.1543,0.5833333333333334,0.08333333333333333,0.1543,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.26666666666666666,0.5,0.1,0.1826,0.5,0.1,0.1826,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.13333333333333336,0.42857142857142855,0.2857142857142857,0.4714,0.42857142857142855,0.2857142857142857,0.4714,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.26666666666666666,0.45454545454545453,0.0,0.0,0.45454545454545453,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.8571428571428571,0.2857142857142857,0.4714,0.8571428571428571,0.2857142857142857,0.4714,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
0.2,0.5,0.25,0.4082,0.5,0.25,0.4082,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06666666666666667,0.2857142857142857,0.14285714285714285,0.2887,0.2857142857142857,0.14285714285714285,0.2887,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.13333333333333336,0.42857142857142855,0.2857142857142857,0.4714,0.42857142857142855,0.2857142857142857,0.4714,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
