wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_root,q_stemmed_has_grow,q_stemmed_has_water,q_stemmed_has_plant,q_stemmed_has_root_grow,q_stemmed_has_grow_root,q_stemmed_has_root_water,q_stemmed_has_water_plant,q_stemmed_has_root_grow_root,q_stemmed_has_grow_root_water,q_stemmed_has_root_water_plant,q_stem_ordered_has_grow,q_stem_ordered_has_plant,q_stem_ordered_has_root,q_stem_ordered_has_water,q_stem_ordered_has_grow_plant,q_stem_ordered_has_plant_root,q_stem_ordered_has_root_root,q_stem_ordered_has_root_water,q_stem_ordered_has_grow_plant_root,q_stem_ordered_has_plant_root_root,q_stem_ordered_has_root_root_water
0.4444444444444445,0.7142857142857143,0.2857142857142857,0.4472,0.7142857142857143,0.2857142857142857,0.4472,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0.3333333333333333,0.5714285714285714,0.14285714285714285,0.25,0.5714285714285714,0.14285714285714285,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.2222222222222222,0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5555555555555556,0.8333333333333334,0.5,0.6708,0.8333333333333334,0.5,0.6708,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
0.1111111111111111,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2222222222222222,0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.2222222222222222,0.6,0.4,0.5774,0.6,0.4,0.5774,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0.2222222222222222,0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
