wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_earth,q_stemmed_has_materi,q_stemmed_has_settl,q_stemmed_has_deposit,q_stemmed_has_earth_materi,q_stemmed_has_materi_settl,q_stemmed_has_settl_deposit,q_stemmed_has_earth_materi_settl,q_stemmed_has_materi_settl_deposit,q_stem_ordered_has_deposit,q_stem_ordered_has_earth,q_stem_ordered_has_materi,q_stem_ordered_has_settl,q_stem_ordered_has_deposit_earth,q_stem_ordered_has_earth_materi,q_stem_ordered_has_materi_settl,q_stem_ordered_has_deposit_earth_materi,q_stem_ordered_has_earth_materi_settl
0.4285714285714285,0.8333333333333334,0.5,0.6708,0.8333333333333334,0.5,0.6708,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0
0.14285714285714285,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4285714285714285,0.8333333333333334,0.5,0.6708,0.8333333333333334,0.5,0.6708,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0
0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2857142857142857,0.5714285714285714,0.14285714285714285,0.25,0.5714285714285714,0.14285714285714285,0.25,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.9999999999999999,0.8,0.2,0.3536,0.8,0.2,0.3536,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
0.5714285714285714,0.8571428571428571,0.42857142857142855,0.6124,0.8571428571428571,0.42857142857142855,0.6124,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0
0.7142857142857143,0.8571428571428571,0.42857142857142855,0.6124,0.8571428571428571,0.42857142857142855,0.6124,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0
0.4285714285714285,0.7142857142857143,0.2857142857142857,0.4472,0.7142857142857143,0.2857142857142857,0.4472,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
0.14285714285714285,0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.7142857142857143,0.7,0.1,0.189,0.7,0.1,0.189,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.4285714285714285,0.7142857142857143,0.2857142857142857,0.4472,0.7142857142857143,0.2857142857142857,0.4472,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
0.9999999999999999,0.8181818181818182,0.18181818181818182,0.3333,0.8181818181818182,0.18181818181818182,0.3333,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0.14285714285714285,0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.5714285714285714,0.6,0.0,0.0,0.6,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5714285714285714,0.75,0.25,0.4082,0.75,0.25,0.4082,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
0.4285714285714285,0.8333333333333334,0.5,0.6708,0.8333333333333334,0.5,0.6708,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0
0.2857142857142857,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
0.7142857142857143,0.875,0.375,0.5669,0.875,0.375,0.5669,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0
0.4285714285714285,0.8333333333333334,0.5,0.6708,0.8333333333333334,0.5,0.6708,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1
0.7142857142857143,0.7777777777777778,0.2222222222222222,0.378,0.7777777777777778,0.2222222222222222,0.378,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
0.14285714285714285,0.75,0.75,0.866,0.75,0.75,0.866,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0
0.14285714285714285,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9999999999999999,0.9,0.3,0.5,0.9,0.3,0.5,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0
0.2857142857142857,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9999999999999999,0.9,0.3,0.5,0.9,0.3,0.5,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0
0.2857142857142857,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
0.9999999999999999,0.8,0.2,0.3536,0.8,0.2,0.3536,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0.4285714285714285,0.8,0.6,0.75,0.8,0.6,0.75,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0
0.2857142857142857,0.8,0.6,0.75,0.8,0.6,0.75,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0
0.4285714285714285,1.0,0.8,0.8944,1.0,0.8,0.8944,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0
0.14285714285714285,0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.4285714285714285,0.7142857142857143,0.2857142857142857,0.4472,0.7142857142857143,0.2857142857142857,0.4472,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
0.5714285714285714,0.8571428571428571,0.42857142857142855,0.6124,0.8571428571428571,0.42857142857142855,0.6124,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0
0.8571428571428571,0.8571428571428571,0.42857142857142855,0.6124,0.8571428571428571,0.42857142857142855,0.6124,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0
0.8571428571428571,0.875,0.375,0.5669,0.875,0.375,0.5669,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0
0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
