student_answer,teacher_answer,label,question_id,q_answer,q_stopwords,q_stemmed,q_stem_ordered
The motors will not run because it goes from the positive side to the positive side it has to go from positive to negative to work.,"The negative terminals of the D-cell batteries are facing each other, so there is no flow of electricity.",1,92,The motors will not run because it goes from the positive side to the positive side it has to go from positive to negative to work.,motors run goes positive positive positive negative work,motor run goe posit posit posit neg work,goe motor neg posit posit posit run work
"It will not work because the positive is going to the positive end, the positive need to run into the negative side for it to run.","The negative terminals of the D-cell batteries are facing each other, so there is no flow of electricity.",1,92,The motors will not run because it goes from the positive side to the positive side it has to go from positive to negative to work.,work positive going positive end positive need run negative run,work posit go posit end posit need run neg run,end go need neg posit posit posit run run work
It is not put to series.,"The negative terminals of the D-cell batteries are facing each other, so there is no flow of electricity.",0,92,The motors will not run because it goes from the positive side to the positive side it has to go from positive to negative to work.,series,seri,seri
Because it is hooked up negative to negative and positive to positive.,"The negative terminals of the D-cell batteries are facing each other, so there is no flow of electricity.",0,92,The motors will not run because it goes from the positive side to the positive side it has to go from positive to negative to work.,hooked negative negative positive positive,hook neg neg posit posit,hook neg neg posit posit
It needs to be negative to positive.,"The negative terminals of the D-cell batteries are facing each other, so there is no flow of electricity.",1,92,The motors will not run because it goes from the positive side to the positive side it has to go from positive to negative to work.,needs negative positive,need neg posit,need neg posit
"It will not work because it is negative to negative, it has to positive to negative.","The negative terminals of the D-cell batteries are facing each other, so there is no flow of electricity.",1,92,The motors will not run because it goes from the positive side to the positive side it has to go from positive to negative to work.,work negative negative positive negative,work neg neg posit neg,neg neg neg posit work
The batteries are negative to negative.,"The negative terminals of the D-cell batteries are facing each other, so there is no flow of electricity.",0,92,The motors will not run because it goes from the positive side to the positive side it has to go from positive to negative to work.,batteries negative negative,batteri neg neg,batteri neg neg
It will not run because negative and negative and positive and positive are facing the same way.,"The negative terminals of the D-cell batteries are facing each other, so there is no flow of electricity.",1,92,The motors will not run because it goes from the positive side to the positive side it has to go from positive to negative to work.,run negative negative positive positive facing way,run neg neg posit posit face way,face neg neg posit posit run way
Because the wires in between the D-cells are connected to the same end.,"The negative terminals of the D-cell batteries are facing each other, so there is no flow of electricity.",0,92,The motors will not run because it goes from the positive side to the positive side it has to go from positive to negative to work.,wires dcells connected end,wire dcell connect end,connect dcell end wire
It is go out the wrong way.,"The negative terminals of the D-cell batteries are facing each other, so there is no flow of electricity.",0,92,The motors will not run because it goes from the positive side to the positive side it has to go from positive to negative to work.,wrong way,wrong way,way wrong
