wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_differ,q_stemmed_has_girl,q_stemmed_has_throw,q_stemmed_has_ball,q_stemmed_has_use,q_stemmed_has_launch,q_stemmed_has_techniqu,q_stemmed_has_type,q_stemmed_has_differ_girl,q_stemmed_has_girl_throw,q_stemmed_has_throw_ball,q_stemmed_has_ball_girl,q_stemmed_has_girl_use,q_stemmed_has_use_differ,q_stemmed_has_differ_launch,q_stemmed_has_launch_techniqu,q_stemmed_has_techniqu_girl,q_stemmed_has_differ_type,q_stemmed_has_type_ball,q_stemmed_has_differ_girl_throw,q_stemmed_has_girl_throw_ball,q_stemmed_has_throw_ball_girl,q_stemmed_has_ball_girl_use,q_stemmed_has_girl_use_differ,q_stemmed_has_use_differ_launch,q_stemmed_has_differ_launch_techniqu,q_stemmed_has_launch_techniqu_girl,q_stemmed_has_techniqu_girl_use,q_stemmed_has_use_differ_type,q_stemmed_has_differ_type_ball,q_stem_ordered_has_ball,q_stem_ordered_has_differ,q_stem_ordered_has_girl,q_stem_ordered_has_launch,q_stem_ordered_has_techniqu,q_stem_ordered_has_throw,q_stem_ordered_has_type,q_stem_ordered_has_use,q_stem_ordered_has_ball_ball,q_stem_ordered_has_ball_differ,q_stem_ordered_has_differ_differ,q_stem_ordered_has_differ_girl,q_stem_ordered_has_girl_girl,q_stem_ordered_has_girl_launch,q_stem_ordered_has_launch_techniqu,q_stem_ordered_has_techniqu_throw,q_stem_ordered_has_throw_type,q_stem_ordered_has_type_use,q_stem_ordered_has_use_use,q_stem_ordered_has_ball_ball_differ,q_stem_ordered_has_ball_differ_differ,q_stem_ordered_has_differ_differ_differ,q_stem_ordered_has_differ_differ_girl,q_stem_ordered_has_differ_girl_girl,q_stem_ordered_has_girl_girl_girl,q_stem_ordered_has_girl_girl_launch,q_stem_ordered_has_girl_launch_techniqu,q_stem_ordered_has_launch_techniqu_throw,q_stem_ordered_has_techniqu_throw_type,q_stem_ordered_has_throw_type_use,q_stem_ordered_has_type_use_use
0.16666666666666666,0.3333333333333333,0.2222222222222222,0.4082,0.3333333333333333,0.2222222222222222,0.4082,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.41666666666666663,0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.6363636363636364,0.36363636363636365,0.5345,0.6363636363636364,0.36363636363636365,0.5345,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.33333333333333337,0.4166666666666667,0.08333333333333333,0.1581,0.4166666666666667,0.08333333333333333,0.1581,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08333333333333334,0.3,0.1,0.2041,0.3,0.1,0.2041,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.24999999999999997,0.5,0.3,0.4743,0.5,0.3,0.4743,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.24999999999999997,0.4166666666666667,0.08333333333333333,0.1581,0.4166666666666667,0.08333333333333333,0.1581,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6666666666666666,0.625,0.125,0.2236,0.625,0.125,0.2236,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.24999999999999997,0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5833333333333334,0.6,0.13333333333333333,0.2357,0.6,0.13333333333333333,0.2357,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
