student_answer,teacher_answer,label,question_id,q_answer,q_stopwords,q_stemmed,q_stem_ordered
This graph tells me that the speed never changes.,"As time increases, the speed of light stays the same (remains constant).",1,70,This graph tells me that the speed never changes.,graph tells speed changes,graph tell speed chang,chang graph speed tell
How long it takes to get to the speed of light.,"As time increases, the speed of light stays the same (remains constant).",0,70,This graph tells me that the speed never changes.,long takes speed light,long take speed light,light long speed take
The speed of light is fast.,"As time increases, the speed of light stays the same (remains constant).",0,70,This graph tells me that the speed never changes.,speed light fast,speed light fast,fast light speed
How fast the speed of light is.,"As time increases, the speed of light stays the same (remains constant).",0,70,This graph tells me that the speed never changes.,fast speed light,fast speed light,fast light speed
It shows how fast the speed of light is.,"As time increases, the speed of light stays the same (remains constant).",0,70,This graph tells me that the speed never changes.,shows fast speed light,show fast speed light,fast light show speed
This graph shows me the speed of the light and how long the speed was.,"As time increases, the speed of light stays the same (remains constant).",0,70,This graph tells me that the speed never changes.,graph shows speed light long speed,graph show speed light long speed,graph light long show speed speed
That there is average time and a lot of speed of light.,"As time increases, the speed of light stays the same (remains constant).",0,70,This graph tells me that the speed never changes.,average time lot speed light,averag time lot speed light,averag light lot speed time
It tells me that the speed of light goes straight.,"As time increases, the speed of light stays the same (remains constant).",1,70,This graph tells me that the speed never changes.,tells speed light goes straight,tell speed light goe straight,goe light speed straight tell
I think this graph tells me that the time is about 40 seconds and speed of light is about 25.,"As time increases, the speed of light stays the same (remains constant).",0,70,This graph tells me that the speed never changes.,think graph tells time 40 seconds speed light 25,think graph tell time 40 second speed light 25,25 40 graph light second speed tell think time
It tells you half of the speed of light.,"As time increases, the speed of light stays the same (remains constant).",0,70,This graph tells me that the speed never changes.,tells half speed light,tell half speed light,half light speed tell
This graph tells you how fast the speed of light is.,"As time increases, the speed of light stays the same (remains constant).",0,70,This graph tells me that the speed never changes.,graph tells fast speed light,graph tell fast speed light,fast graph light speed tell
This graph tells you how fast the speed of light travels in a certain amount of time.,"As time increases, the speed of light stays the same (remains constant).",0,70,This graph tells me that the speed never changes.,graph tells fast speed light travels certain time,graph tell fast speed light travel certain time,certain fast graph light speed tell time travel
It does not matter how much you give it the speed of light goes just as fast.,"As time increases, the speed of light stays the same (remains constant).",1,70,This graph tells me that the speed never changes.,matter speed light goes fast,matter speed light goe fast,fast goe light matter speed
It tells you the time and the speed of light.,"As time increases, the speed of light stays the same (remains constant).",0,70,This graph tells me that the speed never changes.,tells time speed light,tell time speed light,light speed tell time
As time goes on the speed of light stays the same.,"As time increases, the speed of light stays the same (remains constant).",1,70,This graph tells me that the speed never changes.,time goes speed light stays,time goe speed light stay,goe light speed stay time
As time goes on it is increasing.,"As time increases, the speed of light stays the same (remains constant).",0,70,This graph tells me that the speed never changes.,time goes increasing,time goe increas,goe increas time
As the time go on the speed of light get fast.,"As time increases, the speed of light stays the same (remains constant).",0,70,This graph tells me that the speed never changes.,time speed light fast,time speed light fast,fast light speed time
As time goes on the speed of light stays the same.,"As time increases, the speed of light stays the same (remains constant).",1,70,This graph tells me that the speed never changes.,time goes speed light stays,time goe speed light stay,goe light speed stay time
It is going on in seconds.,"As time increases, the speed of light stays the same (remains constant).",0,70,This graph tells me that the speed never changes.,going seconds,go second,go second
As time goes on the speed of light stay same.,"As time increases, the speed of light stays the same (remains constant).",1,70,This graph tells me that the speed never changes.,time goes speed light stay,time goe speed light stay,goe light speed stay time
As time goes on the speed of light goes faster.,"As time increases, the speed of light stays the same (remains constant).",0,70,This graph tells me that the speed never changes.,time goes speed light goes faster,time goe speed light goe faster,faster goe goe light speed time
