wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_ye,q_stemmed_has_correct,q_stemmed_has_solubl,q_stemmed_has_materi,q_stemmed_has_ye_correct,q_stemmed_has_correct_solubl,q_stemmed_has_solubl_materi,q_stemmed_has_ye_correct_solubl,q_stemmed_has_correct_solubl_materi,q_stem_ordered_has_correct,q_stem_ordered_has_materi,q_stem_ordered_has_solubl,q_stem_ordered_has_ye,q_stem_ordered_has_correct_materi,q_stem_ordered_has_materi_solubl,q_stem_ordered_has_solubl_ye,q_stem_ordered_has_correct_materi_solubl,q_stem_ordered_has_materi_solubl_ye
0.08333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7499999999999999,0.7272727272727273,0.09090909090909091,0.1768,0.7272727272727273,0.09090909090909091,0.1768,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.3333333333333333,0.8,0.6,0.75,0.8,0.6,0.75,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1
0.7499999999999999,0.7777777777777778,0.2222222222222222,0.378,0.7777777777777778,0.2222222222222222,0.378,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0.8333333333333333,0.9,0.3,0.5,0.9,0.3,0.5,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
0.9999999999999999,0.9090909090909091,0.2727272727272727,0.4743,0.9090909090909091,0.2727272727272727,0.4743,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0
0.25,0.5714285714285714,0.14285714285714285,0.25,0.5714285714285714,0.14285714285714285,0.25,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.16666666666666669,0.6,0.4,0.5774,0.6,0.4,0.5774,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.08333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.5714285714285714,0.14285714285714285,0.25,0.5714285714285714,0.14285714285714285,0.25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.16666666666666669,0.6,0.4,0.5774,0.6,0.4,0.5774,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0.16666666666666669,0.6,0.4,0.5774,0.6,0.4,0.5774,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.08333333333333333,0.4,0.2,0.3536,0.4,0.2,0.3536,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0,0.25,0.25,0.5,0.25,0.25,0.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.08333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.25,0.5714285714285714,0.14285714285714285,0.25,0.5714285714285714,0.14285714285714285,0.25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.3333333333333333,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3333333333333333,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0.25,0.5714285714285714,0.14285714285714285,0.25,0.5714285714285714,0.14285714285714285,0.25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.9166666666666666,0.7692307692307693,0.07692307692307693,0.1581,0.7692307692307693,0.07692307692307693,0.1581,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.25,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16666666666666669,0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.08333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9166666666666666,0.7857142857142857,0.07142857142857142,0.1508,0.7857142857142857,0.07142857142857142,0.1508,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.4166666666666667,0.625,0.125,0.2236,0.625,0.125,0.2236,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.25,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9999999999999999,0.75,0.08333333333333333,0.1667,0.75,0.08333333333333333,0.1667,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.25,0.5714285714285714,0.14285714285714285,0.25,0.5714285714285714,0.14285714285714285,0.25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.25,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
