wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_x,q_stemmed_has_equal,q_stemmed_has_amount,q_stemmed_has_2,q_stemmed_has_solut,q_stemmed_has_compar,q_stemmed_has_concentr,q_stemmed_has_greater,q_stemmed_has_mass,q_stemmed_has_weigh,q_stemmed_has_50,q_stemmed_has_millilit,q_stemmed_has_y,q_stemmed_has_x_equal,q_stemmed_has_equal_amount,q_stemmed_has_amount_2,q_stemmed_has_2_solut,q_stemmed_has_solut_compar,q_stemmed_has_compar_solut,q_stemmed_has_solut_concentr,q_stemmed_has_concentr_greater,q_stemmed_has_greater_mass,q_stemmed_has_mass_weigh,q_stemmed_has_weigh_50,q_stemmed_has_50_millilit,q_stemmed_has_millilit_x,q_stemmed_has_x_greater,q_stemmed_has_mass_50,q_stemmed_has_millilit_y,q_stemmed_has_y_x,q_stemmed_has_x_concentr,q_stemmed_has_x_equal_amount,q_stemmed_has_equal_amount_2,q_stemmed_has_amount_2_solut,q_stemmed_has_2_solut_compar,q_stemmed_has_solut_compar_solut,q_stemmed_has_compar_solut_concentr,q_stemmed_has_solut_concentr_greater,q_stemmed_has_concentr_greater_mass,q_stemmed_has_greater_mass_weigh,q_stemmed_has_mass_weigh_50,q_stemmed_has_weigh_50_millilit,q_stemmed_has_50_millilit_x,q_stemmed_has_millilit_x_greater,q_stemmed_has_x_greater_mass,q_stemmed_has_greater_mass_50,q_stemmed_has_mass_50_millilit,q_stemmed_has_50_millilit_y,q_stemmed_has_millilit_y_x,q_stemmed_has_y_x_concentr,q_stem_ordered_has_2,q_stem_ordered_has_50,q_stem_ordered_has_amount,q_stem_ordered_has_compar,q_stem_ordered_has_concentr,q_stem_ordered_has_equal,q_stem_ordered_has_greater,q_stem_ordered_has_mass,q_stem_ordered_has_millilit,q_stem_ordered_has_solut,q_stem_ordered_has_weigh,q_stem_ordered_has_x,q_stem_ordered_has_y,q_stem_ordered_has_2_50,q_stem_ordered_has_50_50,q_stem_ordered_has_50_amount,q_stem_ordered_has_amount_compar,q_stem_ordered_has_compar_concentr,q_stem_ordered_has_concentr_concentr,q_stem_ordered_has_concentr_equal,q_stem_ordered_has_equal_greater,q_stem_ordered_has_greater_greater,q_stem_ordered_has_greater_mass,q_stem_ordered_has_mass_mass,q_stem_ordered_has_mass_millilit,q_stem_ordered_has_millilit_millilit,q_stem_ordered_has_millilit_solut,q_stem_ordered_has_solut_solut,q_stem_ordered_has_solut_weigh,q_stem_ordered_has_weigh_x,q_stem_ordered_has_x_x,q_stem_ordered_has_x_y,q_stem_ordered_has_2_50_50,q_stem_ordered_has_50_50_amount,q_stem_ordered_has_50_amount_compar,q_stem_ordered_has_amount_compar_concentr,q_stem_ordered_has_compar_concentr_concentr,q_stem_ordered_has_concentr_concentr_equal,q_stem_ordered_has_concentr_equal_greater,q_stem_ordered_has_equal_greater_greater,q_stem_ordered_has_greater_greater_mass,q_stem_ordered_has_greater_mass_mass,q_stem_ordered_has_mass_mass_millilit,q_stem_ordered_has_mass_millilit_millilit,q_stem_ordered_has_millilit_millilit_solut,q_stem_ordered_has_millilit_solut_solut,q_stem_ordered_has_solut_solut_weigh,q_stem_ordered_has_solut_weigh_x,q_stem_ordered_has_weigh_x_x,q_stem_ordered_has_x_x_x,q_stem_ordered_has_x_x_y
0.0,0.07692307692307693,0.07692307692307693,0.2774,0.07692307692307693,0.07692307692307693,0.2774,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15789473684210525,0.21428571428571427,0.14285714285714285,0.3203,0.21428571428571427,0.14285714285714285,0.3203,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.42105263157894735,0.5625,0.375,0.5547,0.5625,0.375,0.5547,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05263157894736842,0.14285714285714285,0.07142857142857142,0.1961,0.14285714285714285,0.07142857142857142,0.1961,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.21052631578947367,0.29411764705882354,0.058823529411764705,0.124,0.29411764705882354,0.058823529411764705,0.124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.10526315789473684,0.26666666666666666,0.13333333333333333,0.2774,0.26666666666666666,0.13333333333333333,0.2774,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.10526315789473684,0.2,0.06666666666666667,0.1601,0.2,0.06666666666666667,0.1601,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15789473684210525,0.26666666666666666,0.13333333333333333,0.2774,0.26666666666666666,0.13333333333333333,0.2774,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.05263157894736842,0.21428571428571427,0.14285714285714285,0.3203,0.21428571428571427,0.14285714285714285,0.3203,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.10526315789473684,0.2,0.06666666666666667,0.1601,0.2,0.06666666666666667,0.1601,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
