student_answer,teacher_answer,label,question_id,q_answer,q_stopwords,q_stemmed,q_stem_ordered
Jorge knew a chemical reaction was occurred because it started bubble.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,0,116,Jorge knew a chemical reaction was occurred because it started bubble.,jorge knew chemical reaction occurred started bubble,jorg knew chemic reaction occur start bubbl,bubbl chemic jorg knew occur reaction start
Because the mixture bubbled.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,0,116,Jorge knew a chemical reaction was occurred because it started bubble.,mixture bubbled,mixtur bubbl,bubbl mixtur
Because gas being formed can be a sign of a chemical reaction.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,1,116,Jorge knew a chemical reaction was occurred because it started bubble.,gas formed sign chemical reaction,ga form sign chemic reaction,chemic form ga reaction sign
Because he knew the bubbles meant carbon dioxide was being formed.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,1,116,Jorge knew a chemical reaction was occurred because it started bubble.,knew bubbles meant carbon dioxide formed,knew bubbl meant carbon dioxid form,bubbl carbon dioxid form knew meant
Because the balloon expanded and filled with gas and it bubbled up.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,1,116,Jorge knew a chemical reaction was occurred because it started bubble.,balloon expanded filled gas bubbled,balloon expand fill ga bubbl,balloon bubbl expand fill ga
Because it started to bubble or to fizz and it is the proof of gas.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,1,116,Jorge knew a chemical reaction was occurred because it started bubble.,started bubble fizz proof gas,start bubbl fizz proof ga,bubbl fizz ga proof start
Because when it bubbles that means a reaction is taking place.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,0,116,Jorge knew a chemical reaction was occurred because it started bubble.,bubbles means reaction taking place,bubbl mean reaction take place,bubbl mean place reaction take
Because bubbling is a sign of a chemical reaction.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,0,116,Jorge knew a chemical reaction was occurred because it started bubble.,bubbling sign chemical reaction,bubbl sign chemic reaction,bubbl chemic reaction sign
Because it bubbled.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,0,116,Jorge knew a chemical reaction was occurred because it started bubble.,bubbled,bubbl,bubbl
Because the solution began to bubble.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,0,116,Jorge knew a chemical reaction was occurred because it started bubble.,solution began bubble,solut began bubbl,began bubbl solut
Because whenever it fizzes or bubbles that means it is a reaction.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,0,116,Jorge knew a chemical reaction was occurred because it started bubble.,fizzes bubbles means reaction,fizz bubbl mean reaction,bubbl fizz mean reaction
Because the bubbles appear it makes a gas.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,1,116,Jorge knew a chemical reaction was occurred because it started bubble.,bubbles appear makes gas,bubbl appear make ga,appear bubbl ga make
He knew because there are bubbles in the container.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,0,116,Jorge knew a chemical reaction was occurred because it started bubble.,knew bubbles container,knew bubbl contain,bubbl contain knew
Bubble.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,0,116,Jorge knew a chemical reaction was occurred because it started bubble.,bubble,bubbl,bubbl
Because gas bubbles appeared.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,1,116,Jorge knew a chemical reaction was occurred because it started bubble.,gas bubbles appeared,ga bubbl appear,appear bubbl ga
He knew because first he put a material in the water and started to bubble and that made gas so that is a clue of a chemical reaction.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,1,116,Jorge knew a chemical reaction was occurred because it started bubble.,knew material water started bubble gas clue chemical reaction,knew materi water start bubbl ga clue chemic reaction,bubbl chemic clue ga knew materi reaction start water
Because there were gas bubbles.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,1,116,Jorge knew a chemical reaction was occurred because it started bubble.,gas bubbles,ga bubbl,bubbl ga
Because he saw it bubble up that is why he knew it was a chemical reaction.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,0,116,Jorge knew a chemical reaction was occurred because it started bubble.,saw bubble knew chemical reaction,saw bubbl knew chemic reaction,bubbl chemic knew reaction saw
When he put the solid in the liquid it start to bubbles.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,0,116,Jorge knew a chemical reaction was occurred because it started bubble.,solid liquid start bubbles,solid liquid start bubbl,bubbl liquid solid start
Because it bubbled and fizz.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,0,116,Jorge knew a chemical reaction was occurred because it started bubble.,bubbled fizz,bubbl fizz,bubbl fizz
Because it bubbled and when something bubbled it means a reaction occurred.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,0,116,Jorge knew a chemical reaction was occurred because it started bubble.,bubbled bubbled means reaction occurred,bubbl bubbl mean reaction occur,bubbl bubbl mean occur reaction
Because the solution bubbled.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,0,116,Jorge knew a chemical reaction was occurred because it started bubble.,solution bubbled,solut bubbl,bubbl solut
I think it is because it started to bubble and because it would not do that if it was not a reaction.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,0,116,Jorge knew a chemical reaction was occurred because it started bubble.,think started bubble reaction,think start bubbl reaction,bubbl reaction start think
He knew because it bubbled.,Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,0,116,Jorge knew a chemical reaction was occurred because it started bubble.,knew bubbled,knew bubbl,bubbl knew
"Jorge knew a chemical reaction occurred, because the mixture began to bubble.",Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.,0,116,Jorge knew a chemical reaction was occurred because it started bubble.,jorge knew chemical reaction occurred mixture began bubble,jorg knew chemic reaction occur mixtur began bubbl,began bubbl chemic jorg knew mixtur occur reaction
