wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_chemic,q_stemmed_has_reaction,q_stemmed_has_occur,q_stemmed_has_white,q_stemmed_has_solid,q_stemmed_has_precipit,q_stemmed_has_new,q_stemmed_has_materi,q_stemmed_has_indic,q_stemmed_has_chemic_reaction,q_stemmed_has_reaction_occur,q_stemmed_has_occur_white,q_stemmed_has_white_solid,q_stemmed_has_solid_precipit,q_stemmed_has_precipit_new,q_stemmed_has_new_materi,q_stemmed_has_materi_indic,q_stemmed_has_indic_reaction,q_stemmed_has_chemic_reaction_occur,q_stemmed_has_reaction_occur_white,q_stemmed_has_occur_white_solid,q_stemmed_has_white_solid_precipit,q_stemmed_has_solid_precipit_new,q_stemmed_has_precipit_new_materi,q_stemmed_has_new_materi_indic,q_stemmed_has_materi_indic_reaction,q_stem_ordered_has_chemic,q_stem_ordered_has_indic,q_stem_ordered_has_materi,q_stem_ordered_has_new,q_stem_ordered_has_occur,q_stem_ordered_has_precipit,q_stem_ordered_has_reaction,q_stem_ordered_has_solid,q_stem_ordered_has_white,q_stem_ordered_has_chemic_indic,q_stem_ordered_has_indic_materi,q_stem_ordered_has_materi_new,q_stem_ordered_has_new_occur,q_stem_ordered_has_occur_precipit,q_stem_ordered_has_precipit_reaction,q_stem_ordered_has_reaction_reaction,q_stem_ordered_has_reaction_solid,q_stem_ordered_has_solid_white,q_stem_ordered_has_chemic_indic_materi,q_stem_ordered_has_indic_materi_new,q_stem_ordered_has_materi_new_occur,q_stem_ordered_has_new_occur_precipit,q_stem_ordered_has_occur_precipit_reaction,q_stem_ordered_has_precipit_reaction_reaction,q_stem_ordered_has_reaction_reaction_solid,q_stem_ordered_has_reaction_solid_white
0.1111111111111111,0.18181818181818182,0.0,0.0,0.18181818181818182,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1111111111111111,0.2,0.1,0.2357,0.2,0.1,0.2357,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1111111111111111,0.2,0.1,0.2357,0.2,0.1,0.2357,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1111111111111111,0.18181818181818182,0.0,0.0,0.18181818181818182,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.5384615384615384,0.23076923076923078,0.378,0.5384615384615384,0.23076923076923078,0.378,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3333333333333333,0.4,0.3,0.5,0.4,0.3,0.5,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.5555555555555556,0.4,0.3,0.5,0.4,0.3,0.5,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.1,0.0,0.0,0.1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.1,0.0,0.0,0.1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3333333333333333,0.3333333333333333,0.08333333333333333,0.1667,0.3333333333333333,0.08333333333333333,0.1667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
