wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_see,q_stemmed_has_multipl,q_stemmed_has_color,q_stemmed_has_vinegar,q_stemmed_has_separ,q_stemmed_has_perman,q_stemmed_has_ink,q_stemmed_has_see_multipl,q_stemmed_has_multipl_color,q_stemmed_has_color_vinegar,q_stemmed_has_vinegar_separ,q_stemmed_has_separ_perman,q_stemmed_has_perman_ink,q_stemmed_has_see_multipl_color,q_stemmed_has_multipl_color_vinegar,q_stemmed_has_color_vinegar_separ,q_stemmed_has_vinegar_separ_perman,q_stemmed_has_separ_perman_ink,q_stem_ordered_has_color,q_stem_ordered_has_ink,q_stem_ordered_has_multipl,q_stem_ordered_has_perman,q_stem_ordered_has_see,q_stem_ordered_has_separ,q_stem_ordered_has_vinegar,q_stem_ordered_has_color_ink,q_stem_ordered_has_ink_multipl,q_stem_ordered_has_multipl_perman,q_stem_ordered_has_perman_see,q_stem_ordered_has_see_separ,q_stem_ordered_has_separ_vinegar,q_stem_ordered_has_color_ink_multipl,q_stem_ordered_has_ink_multipl_perman,q_stem_ordered_has_multipl_perman_see,q_stem_ordered_has_perman_see_separ,q_stem_ordered_has_see_separ_vinegar
0.16666666666666666,0.2222222222222222,0.0,0.0,0.2222222222222222,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.33333333333333337,0.25,0.125,0.2673,0.25,0.125,0.2673,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16666666666666666,0.25,0.125,0.2673,0.25,0.125,0.2673,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.16666666666666666,0.25,0.125,0.2673,0.25,0.125,0.2673,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.33333333333333337,0.3,0.0,0.0,0.3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16666666666666666,0.2222222222222222,0.0,0.0,0.2222222222222222,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6666666666666666,0.625,0.5,0.6761,0.625,0.5,0.6761,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16666666666666666,0.25,0.125,0.2673,0.25,0.125,0.2673,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.33333333333333337,0.3,0.0,0.0,0.3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
