wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_sand,q_stemmed_has_particl,q_stemmed_has_larger,q_stemmed_has_settl,q_stemmed_has_flour,q_stemmed_has_smaller,q_stemmed_has_slowli,q_stemmed_has_sand_particl,q_stemmed_has_particl_larger,q_stemmed_has_larger_settl,q_stemmed_has_settl_flour,q_stemmed_has_flour_particl,q_stemmed_has_particl_smaller,q_stemmed_has_smaller_settl,q_stemmed_has_settl_slowli,q_stemmed_has_sand_particl_larger,q_stemmed_has_particl_larger_settl,q_stemmed_has_larger_settl_flour,q_stemmed_has_settl_flour_particl,q_stemmed_has_flour_particl_smaller,q_stemmed_has_particl_smaller_settl,q_stemmed_has_smaller_settl_slowli,q_stem_ordered_has_flour,q_stem_ordered_has_larger,q_stem_ordered_has_particl,q_stem_ordered_has_sand,q_stem_ordered_has_settl,q_stem_ordered_has_slowli,q_stem_ordered_has_smaller,q_stem_ordered_has_flour_larger,q_stem_ordered_has_larger_particl,q_stem_ordered_has_particl_particl,q_stem_ordered_has_particl_sand,q_stem_ordered_has_sand_settl,q_stem_ordered_has_settl_settl,q_stem_ordered_has_settl_slowli,q_stem_ordered_has_slowli_smaller,q_stem_ordered_has_flour_larger_particl,q_stem_ordered_has_larger_particl_particl,q_stem_ordered_has_particl_particl_sand,q_stem_ordered_has_particl_sand_settl,q_stem_ordered_has_sand_settl_settl,q_stem_ordered_has_settl_settl_slowli,q_stem_ordered_has_settl_slowli_smaller
0.18181818181818182,0.4,0.1,0.189,0.4,0.1,0.189,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.25,0.125,0.2673,0.25,0.125,0.2673,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09090909090909088,0.25,0.125,0.2673,0.25,0.125,0.2673,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.27272727272727276,0.45454545454545453,0.09090909090909091,0.169,0.45454545454545453,0.09090909090909091,0.169,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3636363636363636,0.4444444444444444,0.2222222222222222,0.378,0.4444444444444444,0.2222222222222222,0.378,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09090909090909088,0.3,0.0,0.0,0.3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3636363636363636,0.5454545454545454,0.18181818181818182,0.3086,0.5454545454545454,0.18181818181818182,0.3086,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.3636363636363636,0.5,0.08333333333333333,0.1543,0.5,0.08333333333333333,0.1543,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6363636363636365,0.6428571428571429,0.14285714285714285,0.252,0.6428571428571429,0.14285714285714285,0.252,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09090909090909088,0.375,0.25,0.4364,0.375,0.25,0.4364,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
