wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_2,q_stemmed_has_trace,q_stemmed_has_featur,q_stemmed_has_photograph,q_stemmed_has_overlay,q_stemmed_has_grid,q_stemmed_has_4,q_stemmed_has_transfer,q_stemmed_has_match,q_stemmed_has_squar,q_stemmed_has_smaller,q_stemmed_has_notebook,q_stemmed_has_2_trace,q_stemmed_has_trace_featur,q_stemmed_has_featur_photograph,q_stemmed_has_photograph_overlay,q_stemmed_has_overlay_grid,q_stemmed_has_grid_4,q_stemmed_has_4_transfer,q_stemmed_has_transfer_featur,q_stemmed_has_featur_match,q_stemmed_has_match_squar,q_stemmed_has_squar_smaller,q_stemmed_has_smaller_grid,q_stemmed_has_grid_notebook,q_stemmed_has_2_trace_featur,q_stemmed_has_trace_featur_photograph,q_stemmed_has_featur_photograph_overlay,q_stemmed_has_photograph_overlay_grid,q_stemmed_has_overlay_grid_4,q_stemmed_has_grid_4_transfer,q_stemmed_has_4_transfer_featur,q_stemmed_has_transfer_featur_match,q_stemmed_has_featur_match_squar,q_stemmed_has_match_squar_smaller,q_stemmed_has_squar_smaller_grid,q_stemmed_has_smaller_grid_notebook,q_stem_ordered_has_2,q_stem_ordered_has_4,q_stem_ordered_has_featur,q_stem_ordered_has_grid,q_stem_ordered_has_match,q_stem_ordered_has_notebook,q_stem_ordered_has_overlay,q_stem_ordered_has_photograph,q_stem_ordered_has_smaller,q_stem_ordered_has_squar,q_stem_ordered_has_trace,q_stem_ordered_has_transfer,q_stem_ordered_has_2_4,q_stem_ordered_has_4_featur,q_stem_ordered_has_featur_featur,q_stem_ordered_has_featur_grid,q_stem_ordered_has_grid_grid,q_stem_ordered_has_grid_match,q_stem_ordered_has_match_notebook,q_stem_ordered_has_notebook_overlay,q_stem_ordered_has_overlay_photograph,q_stem_ordered_has_photograph_smaller,q_stem_ordered_has_smaller_squar,q_stem_ordered_has_squar_trace,q_stem_ordered_has_trace_transfer,q_stem_ordered_has_2_4_featur,q_stem_ordered_has_4_featur_featur,q_stem_ordered_has_featur_featur_grid,q_stem_ordered_has_featur_grid_grid,q_stem_ordered_has_grid_grid_match,q_stem_ordered_has_grid_match_notebook,q_stem_ordered_has_match_notebook_overlay,q_stem_ordered_has_notebook_overlay_photograph,q_stem_ordered_has_overlay_photograph_smaller,q_stem_ordered_has_photograph_smaller_squar,q_stem_ordered_has_smaller_squar_trace,q_stem_ordered_has_squar_trace_transfer
0.8181818181818181,0.6428571428571429,0.5,0.6736,0.6428571428571429,0.5,0.6736,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.23076923076923078,0.15384615384615385,0.3333,0.23076923076923078,0.15384615384615385,0.3333,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.36363636363636365,0.4117647058823529,0.11764705882352941,0.2182,0.4117647058823529,0.11764705882352941,0.2182,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6363636363636365,0.5714285714285714,0.42857142857142855,0.6124,0.5714285714285714,0.42857142857142855,0.6124,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.36363636363636365,0.42857142857142855,0.2857142857142857,0.4714,0.42857142857142855,0.2857142857142857,0.4714,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8181818181818181,0.6,0.4,0.5774,0.6,0.4,0.5774,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.18181818181818188,0.35714285714285715,0.21428571428571427,0.3873,0.35714285714285715,0.21428571428571427,0.3873,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.18181818181818188,0.35714285714285715,0.21428571428571427,0.3873,0.35714285714285715,0.21428571428571427,0.3873,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.36363636363636365,0.2857142857142857,0.14285714285714285,0.2887,0.2857142857142857,0.14285714285714285,0.2887,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2727272727272727,0.38461538461538464,0.3076923076923077,0.5164,0.38461538461538464,0.3076923076923077,0.5164,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
