wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_particl,q_stemmed_has_solid,q_stemmed_has_big,q_stemmed_has_hole,q_stemmed_has_paper,q_stemmed_has_filter,q_stemmed_has_particl_solid,q_stemmed_has_solid_big,q_stemmed_has_big_hole,q_stemmed_has_hole_paper,q_stemmed_has_paper_filter,q_stemmed_has_particl_solid_big,q_stemmed_has_solid_big_hole,q_stemmed_has_big_hole_paper,q_stemmed_has_hole_paper_filter,q_stem_ordered_has_big,q_stem_ordered_has_filter,q_stem_ordered_has_hole,q_stem_ordered_has_paper,q_stem_ordered_has_particl,q_stem_ordered_has_solid,q_stem_ordered_has_big_filter,q_stem_ordered_has_filter_hole,q_stem_ordered_has_hole_paper,q_stem_ordered_has_paper_particl,q_stem_ordered_has_particl_solid,q_stem_ordered_has_big_filter_hole,q_stem_ordered_has_filter_hole_paper,q_stem_ordered_has_hole_paper_particl,q_stem_ordered_has_paper_particl_solid
0.25,0.6666666666666666,0.6666666666666666,0.8165,0.6666666666666666,0.6666666666666666,0.8165,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
0.3333333333333333,0.45454545454545453,0.0,0.0,0.45454545454545453,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.5,0.25,0.4082,0.5,0.25,0.4082,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0.16666666666666669,0.42857142857142855,0.2857142857142857,0.4714,0.42857142857142855,0.2857142857142857,0.4714,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0.4166666666666667,0.75,0.5,0.6667,0.75,0.5,0.6667,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0
0.3333333333333333,0.375,0.125,0.2357,0.375,0.125,0.2357,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9999999999999999,0.7777777777777778,0.4444444444444444,0.6172,0.7777777777777778,0.4444444444444444,0.6172,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
0.49999999999999994,0.7,0.3,0.4629,0.7,0.3,0.4629,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
0.16666666666666669,0.375,0.125,0.2357,0.375,0.125,0.2357,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.3333333333333333,0.5,0.1,0.1826,0.5,0.1,0.1826,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.3333333333333333,0.4444444444444444,0.1111111111111111,0.2041,0.4444444444444444,0.1111111111111111,0.2041,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.49999999999999994,0.625,0.375,0.5477,0.625,0.375,0.5477,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0
0.4166666666666667,0.6,0.2,0.3333,0.6,0.2,0.3333,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0.6666666666666666,0.6,0.2,0.3333,0.6,0.2,0.3333,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.5714285714285714,0.42857142857142855,0.6124,0.5714285714285714,0.42857142857142855,0.6124,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
0.49999999999999994,0.875,0.625,0.7715,0.875,0.625,0.7715,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0
0.5833333333333333,0.7777777777777778,0.4444444444444444,0.6172,0.7777777777777778,0.4444444444444444,0.6172,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
0.3333333333333333,0.5555555555555556,0.2222222222222222,0.3651,0.5555555555555556,0.2222222222222222,0.3651,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
