wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_overli,q_stemmed_has_orang,q_stemmed_has_take,q_stemmed_has_fewer,q_stemmed_has_drop,q_stemmed_has_chang,q_stemmed_has_color,q_stemmed_has_indophenol,q_stemmed_has_higher,q_stemmed_has_concentr,q_stemmed_has_vitamin,q_stemmed_has_c,q_stemmed_has_overli_orang,q_stemmed_has_orang_take,q_stemmed_has_take_fewer,q_stemmed_has_fewer_drop,q_stemmed_has_drop_chang,q_stemmed_has_chang_color,q_stemmed_has_color_indophenol,q_stemmed_has_indophenol_overli,q_stemmed_has_orang_higher,q_stemmed_has_higher_concentr,q_stemmed_has_concentr_vitamin,q_stemmed_has_vitamin_c,q_stemmed_has_overli_orang_take,q_stemmed_has_orang_take_fewer,q_stemmed_has_take_fewer_drop,q_stemmed_has_fewer_drop_chang,q_stemmed_has_drop_chang_color,q_stemmed_has_chang_color_indophenol,q_stemmed_has_color_indophenol_overli,q_stemmed_has_indophenol_overli_orang,q_stemmed_has_overli_orang_higher,q_stemmed_has_orang_higher_concentr,q_stemmed_has_higher_concentr_vitamin,q_stemmed_has_concentr_vitamin_c,q_stem_ordered_has_c,q_stem_ordered_has_chang,q_stem_ordered_has_color,q_stem_ordered_has_concentr,q_stem_ordered_has_drop,q_stem_ordered_has_fewer,q_stem_ordered_has_higher,q_stem_ordered_has_indophenol,q_stem_ordered_has_orang,q_stem_ordered_has_overli,q_stem_ordered_has_take,q_stem_ordered_has_vitamin,q_stem_ordered_has_c_chang,q_stem_ordered_has_chang_color,q_stem_ordered_has_color_concentr,q_stem_ordered_has_concentr_drop,q_stem_ordered_has_drop_fewer,q_stem_ordered_has_fewer_higher,q_stem_ordered_has_higher_indophenol,q_stem_ordered_has_indophenol_orang,q_stem_ordered_has_orang_orang,q_stem_ordered_has_orang_overli,q_stem_ordered_has_overli_overli,q_stem_ordered_has_overli_take,q_stem_ordered_has_take_vitamin,q_stem_ordered_has_c_chang_color,q_stem_ordered_has_chang_color_concentr,q_stem_ordered_has_color_concentr_drop,q_stem_ordered_has_concentr_drop_fewer,q_stem_ordered_has_drop_fewer_higher,q_stem_ordered_has_fewer_higher_indophenol,q_stem_ordered_has_higher_indophenol_orang,q_stem_ordered_has_indophenol_orang_orang,q_stem_ordered_has_orang_orang_overli,q_stem_ordered_has_orang_overli_overli,q_stem_ordered_has_overli_overli_take,q_stem_ordered_has_overli_take_vitamin
0.2352941176470588,0.4,0.2,0.3536,0.4,0.2,0.3536,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3529411764705882,0.4,0.2,0.3536,0.4,0.2,0.3536,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6470588235294117,0.6875,0.4375,0.6093,0.6875,0.4375,0.6093,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9411764705882353,0.7222222222222222,0.3888888888888889,0.5604,0.7222222222222222,0.3888888888888889,0.5604,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.17647058823529413,0.3076923076923077,0.23076923076923078,0.433,0.3076923076923077,0.23076923076923078,0.433,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.2941176470588235,0.4666666666666667,0.26666666666666666,0.4364,0.4666666666666667,0.26666666666666666,0.4364,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3529411764705882,0.46153846153846156,0.38461538461538464,0.5893,0.46153846153846156,0.38461538461538464,0.5893,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.05882352941176469,0.23076923076923078,0.15384615384615385,0.3333,0.23076923076923078,0.15384615384615385,0.3333,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5294117647058824,0.7857142857142857,0.6428571428571429,0.7833,0.7857142857142857,0.6428571428571429,0.7833,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0.5294117647058824,0.6470588235294118,0.35294117647058826,0.5222,0.6470588235294118,0.35294117647058826,0.5222,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
