wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_c,q_stemmed_has_black,q_stemmed_has_absorb,q_stemmed_has_heat,q_stemmed_has_energi,q_stemmed_has_white,q_stemmed_has_pan,q_stemmed_has_dark,q_stemmed_has_surfac,q_stemmed_has_area,q_stemmed_has_fastest,q_stemmed_has_highest,q_stemmed_has_temperatur,q_stemmed_has_c_black,q_stemmed_has_black_absorb,q_stemmed_has_absorb_heat,q_stemmed_has_heat_energi,q_stemmed_has_energi_white,q_stemmed_has_white_pan,q_stemmed_has_pan_c,q_stemmed_has_c_dark,q_stemmed_has_dark_surfac,q_stemmed_has_surfac_area,q_stemmed_has_area_c,q_stemmed_has_c_heat,q_stemmed_has_heat_fastest,q_stemmed_has_fastest_highest,q_stemmed_has_highest_temperatur,q_stemmed_has_c_black_absorb,q_stemmed_has_black_absorb_heat,q_stemmed_has_absorb_heat_energi,q_stemmed_has_heat_energi_white,q_stemmed_has_energi_white_pan,q_stemmed_has_white_pan_c,q_stemmed_has_pan_c_dark,q_stemmed_has_c_dark_surfac,q_stemmed_has_dark_surfac_area,q_stemmed_has_surfac_area_c,q_stemmed_has_area_c_heat,q_stemmed_has_c_heat_fastest,q_stemmed_has_heat_fastest_highest,q_stemmed_has_fastest_highest_temperatur,q_stem_ordered_has_absorb,q_stem_ordered_has_area,q_stem_ordered_has_black,q_stem_ordered_has_c,q_stem_ordered_has_dark,q_stem_ordered_has_energi,q_stem_ordered_has_fastest,q_stem_ordered_has_heat,q_stem_ordered_has_highest,q_stem_ordered_has_pan,q_stem_ordered_has_surfac,q_stem_ordered_has_temperatur,q_stem_ordered_has_white,q_stem_ordered_has_absorb_area,q_stem_ordered_has_area_black,q_stem_ordered_has_black_c,q_stem_ordered_has_c_c,q_stem_ordered_has_c_dark,q_stem_ordered_has_dark_energi,q_stem_ordered_has_energi_fastest,q_stem_ordered_has_fastest_heat,q_stem_ordered_has_heat_heat,q_stem_ordered_has_heat_highest,q_stem_ordered_has_highest_pan,q_stem_ordered_has_pan_surfac,q_stem_ordered_has_surfac_temperatur,q_stem_ordered_has_temperatur_white,q_stem_ordered_has_absorb_area_black,q_stem_ordered_has_area_black_c,q_stem_ordered_has_black_c_c,q_stem_ordered_has_c_c_c,q_stem_ordered_has_c_c_dark,q_stem_ordered_has_c_dark_energi,q_stem_ordered_has_dark_energi_fastest,q_stem_ordered_has_energi_fastest_heat,q_stem_ordered_has_fastest_heat_heat,q_stem_ordered_has_heat_heat_highest,q_stem_ordered_has_heat_highest_pan,q_stem_ordered_has_highest_pan_surfac,q_stem_ordered_has_pan_surfac_temperatur,q_stem_ordered_has_surfac_temperatur_white
0.2857142857142857,0.29411764705882354,0.058823529411764705,0.124,0.29411764705882354,0.058823529411764705,0.124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.15384615384615385,0.15384615384615385,0.3922,0.15384615384615385,0.15384615384615385,0.3922,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07142857142857142,0.21428571428571427,0.14285714285714285,0.3203,0.21428571428571427,0.14285714285714285,0.3203,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2857142857142857,0.3125,0.125,0.2481,0.3125,0.125,0.2481,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.7857142857142856,0.5789473684210527,0.2631578947368421,0.4181,0.5789473684210527,0.2631578947368421,0.4181,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.49999999999999994,0.5625,0.375,0.5547,0.5625,0.375,0.5547,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0.7857142857142856,0.5,0.3125,0.4903,0.5,0.3125,0.4903,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0.14285714285714285,0.26666666666666666,0.13333333333333333,0.2774,0.26666666666666666,0.13333333333333333,0.2774,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.42857142857142855,0.375,0.1875,0.3397,0.375,0.1875,0.3397,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2857142857142857,0.3333333333333333,0.2,0.3721,0.3333333333333333,0.2,0.3721,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
