wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_fizz,q_stemmed_has_indic,q_stemmed_has_ga,q_stemmed_has_new,q_stemmed_has_materi,q_stemmed_has_produc,q_stemmed_has_chemic,q_stemmed_has_reaction,q_stemmed_has_occur,q_stemmed_has_fizz_indic,q_stemmed_has_indic_ga,q_stemmed_has_ga_new,q_stemmed_has_new_materi,q_stemmed_has_materi_produc,q_stemmed_has_produc_new,q_stemmed_has_produc_chemic,q_stemmed_has_chemic_reaction,q_stemmed_has_reaction_occur,q_stemmed_has_fizz_indic_ga,q_stemmed_has_indic_ga_new,q_stemmed_has_ga_new_materi,q_stemmed_has_new_materi_produc,q_stemmed_has_materi_produc_new,q_stemmed_has_produc_new_materi,q_stemmed_has_materi_produc_chemic,q_stemmed_has_produc_chemic_reaction,q_stemmed_has_chemic_reaction_occur,q_stem_ordered_has_chemic,q_stem_ordered_has_fizz,q_stem_ordered_has_ga,q_stem_ordered_has_indic,q_stem_ordered_has_materi,q_stem_ordered_has_new,q_stem_ordered_has_occur,q_stem_ordered_has_produc,q_stem_ordered_has_reaction,q_stem_ordered_has_chemic_fizz,q_stem_ordered_has_fizz_ga,q_stem_ordered_has_ga_indic,q_stem_ordered_has_indic_materi,q_stem_ordered_has_materi_materi,q_stem_ordered_has_materi_new,q_stem_ordered_has_new_new,q_stem_ordered_has_new_occur,q_stem_ordered_has_occur_produc,q_stem_ordered_has_produc_produc,q_stem_ordered_has_produc_reaction,q_stem_ordered_has_chemic_fizz_ga,q_stem_ordered_has_fizz_ga_indic,q_stem_ordered_has_ga_indic_materi,q_stem_ordered_has_indic_materi_materi,q_stem_ordered_has_materi_materi_new,q_stem_ordered_has_materi_new_new,q_stem_ordered_has_new_new_occur,q_stem_ordered_has_new_occur_produc,q_stem_ordered_has_occur_produc_produc,q_stem_ordered_has_produc_produc_reaction
0.6363636363636364,0.5,0.25,0.4082,0.5,0.25,0.4082,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7272727272727273,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9090909090909091,0.5625,0.125,0.2222,0.5625,0.125,0.2222,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09090909090909091,0.2222222222222222,0.2222222222222222,0.4714,0.2222222222222222,0.2222222222222222,0.4714,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1818181818181818,0.3,0.2,0.3849,0.3,0.2,0.3849,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2727272727272727,0.4,0.3,0.5,0.4,0.3,0.5,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2727272727272727,0.4,0.3,0.5,0.4,0.3,0.5,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2727272727272727,0.3333333333333333,0.08333333333333333,0.1667,0.3333333333333333,0.08333333333333333,0.1667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09090909090909091,0.2222222222222222,0.2222222222222222,0.4714,0.2222222222222222,0.2222222222222222,0.4714,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.36363636363636365,0.35714285714285715,0.0,0.0,0.35714285714285715,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09090909090909091,0.2,0.1,0.2357,0.2,0.1,0.2357,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1818181818181818,0.3,0.2,0.3849,0.3,0.2,0.3849,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6363636363636364,0.5384615384615384,0.23076923076923078,0.378,0.5384615384615384,0.23076923076923078,0.378,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.1111111111111111,0.1111111111111111,0.3333,0.1111111111111111,0.1111111111111111,0.3333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4545454545454545,0.5,0.25,0.4082,0.5,0.25,0.4082,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8181818181818182,0.5294117647058824,0.058823529411764705,0.1111,0.5294117647058824,0.058823529411764705,0.1111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.1,0.0,0.0,0.1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
