wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_acid,q_stemmed_has_rock,q_stemmed_has_fizz,q_stemmed_has_phil,q_stemmed_has_know,q_stemmed_has_calcit,q_stemmed_has_acid_rock,q_stemmed_has_rock_acid,q_stemmed_has_acid_fizz,q_stemmed_has_fizz_phil,q_stemmed_has_phil_know,q_stemmed_has_know_rock,q_stemmed_has_rock_calcit,q_stemmed_has_acid_rock_acid,q_stemmed_has_rock_acid_fizz,q_stemmed_has_acid_fizz_phil,q_stemmed_has_fizz_phil_know,q_stemmed_has_phil_know_rock,q_stemmed_has_know_rock_calcit,q_stem_ordered_has_acid,q_stem_ordered_has_calcit,q_stem_ordered_has_fizz,q_stem_ordered_has_know,q_stem_ordered_has_phil,q_stem_ordered_has_rock,q_stem_ordered_has_acid_acid,q_stem_ordered_has_acid_calcit,q_stem_ordered_has_calcit_fizz,q_stem_ordered_has_fizz_know,q_stem_ordered_has_know_phil,q_stem_ordered_has_phil_rock,q_stem_ordered_has_rock_rock,q_stem_ordered_has_acid_acid_calcit,q_stem_ordered_has_acid_calcit_fizz,q_stem_ordered_has_calcit_fizz_know,q_stem_ordered_has_fizz_know_phil,q_stem_ordered_has_know_phil_rock,q_stem_ordered_has_phil_rock_rock
0.6000000000000001,0.6363636363636364,0.18181818181818182,0.3086,0.6363636363636364,0.18181818181818182,0.3086,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.10000000000000003,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7,0.6923076923076923,0.15384615384615385,0.2722,0.6923076923076923,0.15384615384615385,0.2722,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4000000000000001,0.6,0.2,0.3333,0.6,0.2,0.3333,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8,0.6153846153846154,0.07692307692307693,0.1443,0.6153846153846154,0.07692307692307693,0.1443,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7,0.6153846153846154,0.07692307692307693,0.1443,0.6153846153846154,0.07692307692307693,0.1443,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.6363636363636364,0.18181818181818182,0.3086,0.6363636363636364,0.18181818181818182,0.3086,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.10000000000000003,0.375,0.125,0.2357,0.375,0.125,0.2357,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9000000000000001,0.7857142857142857,0.21428571428571427,0.3693,0.7857142857142857,0.21428571428571427,0.3693,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.5,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6000000000000001,0.6363636363636364,0.18181818181818182,0.3086,0.6363636363636364,0.18181818181818182,0.3086,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3,0.5555555555555556,0.2222222222222222,0.3651,0.5555555555555556,0.2222222222222222,0.3651,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.10000000000000003,0.375,0.125,0.2357,0.375,0.125,0.2357,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4000000000000001,0.5454545454545454,0.09090909090909091,0.1667,0.5454545454545454,0.09090909090909091,0.1667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6000000000000001,0.6,0.2,0.3333,0.6,0.2,0.3333,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1
0.6000000000000001,0.5,0.1,0.1826,0.5,0.1,0.1826,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8,0.6666666666666666,0.06666666666666667,0.1291,0.6666666666666666,0.06666666666666667,0.1291,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0.5,0.25,0.4082,0.5,0.25,0.4082,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0.4444444444444444,0.1111111111111111,0.2041,0.4444444444444444,0.1111111111111111,0.2041,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9000000000000001,0.7142857142857143,0.14285714285714285,0.2582,0.7142857142857143,0.14285714285714285,0.2582,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.875,0.625,0.7715,0.875,0.625,0.7715,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0.6000000000000001,0.5714285714285714,0.0,0.0,0.5714285714285714,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.10000000000000003,0.375,0.125,0.2357,0.375,0.125,0.2357,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0.4444444444444444,0.1111111111111111,0.2041,0.4444444444444444,0.1111111111111111,0.2041,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3,0.7142857142857143,0.5714285714285714,0.7303,0.7142857142857143,0.5714285714285714,0.7303,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
