wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_set,q_stemmed_has_evapor,q_stemmed_has_dish,q_stemmed_has_water,q_stemmed_has_air,q_stemmed_has_solid,q_stemmed_has_left,q_stemmed_has_crystal,q_stemmed_has_set_evapor,q_stemmed_has_evapor_dish,q_stemmed_has_dish_water,q_stemmed_has_water_air,q_stemmed_has_air_evapor,q_stemmed_has_evapor_solid,q_stemmed_has_solid_left,q_stemmed_has_left_dish,q_stemmed_has_dish_crystal,q_stemmed_has_set_evapor_dish,q_stemmed_has_evapor_dish_water,q_stemmed_has_dish_water_air,q_stemmed_has_water_air_evapor,q_stemmed_has_air_evapor_solid,q_stemmed_has_evapor_solid_left,q_stemmed_has_solid_left_dish,q_stemmed_has_left_dish_crystal,q_stem_ordered_has_air,q_stem_ordered_has_crystal,q_stem_ordered_has_dish,q_stem_ordered_has_evapor,q_stem_ordered_has_left,q_stem_ordered_has_set,q_stem_ordered_has_solid,q_stem_ordered_has_water,q_stem_ordered_has_air_crystal,q_stem_ordered_has_crystal_dish,q_stem_ordered_has_dish_dish,q_stem_ordered_has_dish_evapor,q_stem_ordered_has_evapor_evapor,q_stem_ordered_has_evapor_left,q_stem_ordered_has_left_set,q_stem_ordered_has_set_solid,q_stem_ordered_has_solid_water,q_stem_ordered_has_air_crystal_dish,q_stem_ordered_has_crystal_dish_dish,q_stem_ordered_has_dish_dish_evapor,q_stem_ordered_has_dish_evapor_evapor,q_stem_ordered_has_evapor_evapor_left,q_stem_ordered_has_evapor_left_set,q_stem_ordered_has_left_set_solid,q_stem_ordered_has_set_solid_water
0.26666666666666666,0.38461538461538464,0.0,0.0,0.38461538461538464,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4666666666666667,0.5,0.07142857142857142,0.1336,0.5,0.07142857142857142,0.1336,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06666666666666667,0.2222222222222222,0.1111111111111111,0.25,0.2222222222222222,0.1111111111111111,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4666666666666667,0.5,0.07142857142857142,0.1336,0.5,0.07142857142857142,0.1336,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.26666666666666666,0.45454545454545453,0.18181818181818182,0.3162,0.45454545454545453,0.18181818181818182,0.3162,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5333333333333333,0.6428571428571429,0.21428571428571427,0.3536,0.6428571428571429,0.21428571428571427,0.3536,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4,0.6363636363636364,0.36363636363636365,0.5345,0.6363636363636364,0.36363636363636365,0.5345,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.26666666666666666,0.4,0.2,0.3536,0.4,0.2,0.3536,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.2,0.4,0.2,0.3536,0.4,0.2,0.3536,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.13333333333333336,0.375,0.375,0.6124,0.375,0.375,0.6124,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.33333333333333337,0.5555555555555556,0.4444444444444444,0.6325,0.5555555555555556,0.4444444444444444,0.6325,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
0.6666666666666666,0.6923076923076923,0.3076923076923077,0.4714,0.6923076923076923,0.3076923076923077,0.4714,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6,0.75,0.4166666666666667,0.5893,0.75,0.4166666666666667,0.5893,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
0.33333333333333337,0.6,0.4,0.5774,0.6,0.4,0.5774,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
