wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_crystal,q_stemmed_has_differ,q_stemmed_has_shape,q_stemmed_has_salt,q_stemmed_has_squar,q_stemmed_has_littl,q_stemmed_has_xs,q_stemmed_has_calcit,q_stemmed_has_like,q_stemmed_has_needl,q_stemmed_has_long,q_stemmed_has_skinni,q_stemmed_has_crystal_differ,q_stemmed_has_differ_shape,q_stemmed_has_shape_salt,q_stemmed_has_salt_crystal,q_stemmed_has_crystal_squar,q_stemmed_has_squar_littl,q_stemmed_has_littl_xs,q_stemmed_has_xs_calcit,q_stemmed_has_calcit_crystal,q_stemmed_has_crystal_shape,q_stemmed_has_shape_like,q_stemmed_has_like_needl,q_stemmed_has_needl_long,q_stemmed_has_long_skinni,q_stemmed_has_crystal_differ_shape,q_stemmed_has_differ_shape_salt,q_stemmed_has_shape_salt_crystal,q_stemmed_has_salt_crystal_squar,q_stemmed_has_crystal_squar_littl,q_stemmed_has_squar_littl_xs,q_stemmed_has_littl_xs_calcit,q_stemmed_has_xs_calcit_crystal,q_stemmed_has_calcit_crystal_shape,q_stemmed_has_crystal_shape_like,q_stemmed_has_shape_like_needl,q_stemmed_has_like_needl_long,q_stemmed_has_needl_long_skinni,q_stem_ordered_has_calcit,q_stem_ordered_has_crystal,q_stem_ordered_has_differ,q_stem_ordered_has_like,q_stem_ordered_has_littl,q_stem_ordered_has_long,q_stem_ordered_has_needl,q_stem_ordered_has_salt,q_stem_ordered_has_shape,q_stem_ordered_has_skinni,q_stem_ordered_has_squar,q_stem_ordered_has_xs,q_stem_ordered_has_calcit_crystal,q_stem_ordered_has_crystal_crystal,q_stem_ordered_has_crystal_differ,q_stem_ordered_has_differ_like,q_stem_ordered_has_like_littl,q_stem_ordered_has_littl_long,q_stem_ordered_has_long_needl,q_stem_ordered_has_needl_salt,q_stem_ordered_has_salt_shape,q_stem_ordered_has_shape_shape,q_stem_ordered_has_shape_skinni,q_stem_ordered_has_skinni_squar,q_stem_ordered_has_squar_xs,q_stem_ordered_has_calcit_crystal_crystal,q_stem_ordered_has_crystal_crystal_crystal,q_stem_ordered_has_crystal_crystal_differ,q_stem_ordered_has_crystal_differ_like,q_stem_ordered_has_differ_like_littl,q_stem_ordered_has_like_littl_long,q_stem_ordered_has_littl_long_needl,q_stem_ordered_has_long_needl_salt,q_stem_ordered_has_needl_salt_shape,q_stem_ordered_has_salt_shape_shape,q_stem_ordered_has_shape_shape_skinni,q_stem_ordered_has_shape_skinni_squar,q_stem_ordered_has_skinni_squar_xs
0.5384615384615384,0.42857142857142855,0.2857142857142857,0.4714,0.42857142857142855,0.2857142857142857,0.4714,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.07692307692307693,0.21428571428571427,0.07142857142857142,0.1667,0.21428571428571427,0.07142857142857142,0.1667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3076923076923077,0.38461538461538464,0.3076923076923077,0.5164,0.38461538461538464,0.3076923076923077,0.5164,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.3846153846153847,0.42857142857142855,0.2857142857142857,0.4714,0.42857142857142855,0.2857142857142857,0.4714,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.46153846153846156,0.5,0.25,0.4082,0.5,0.25,0.4082,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6923076923076924,0.4666666666666667,0.26666666666666666,0.4364,0.4666666666666667,0.26666666666666666,0.4364,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.23076923076923078,0.3076923076923077,0.23076923076923078,0.433,0.3076923076923077,0.23076923076923078,0.433,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.23076923076923078,0.38461538461538464,0.3076923076923077,0.5164,0.38461538461538464,0.3076923076923077,0.5164,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.23076923076923078,0.38461538461538464,0.3076923076923077,0.5164,0.38461538461538464,0.3076923076923077,0.5164,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3846153846153847,0.4117647058823529,0.11764705882352941,0.2182,0.4117647058823529,0.11764705882352941,0.2182,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
