wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_cotyledon,q_stemmed_has_provid,q_stemmed_has_food,q_stemmed_has_plant,q_stemmed_has_begin,q_stemmed_has_grow,q_stemmed_has_cotyledon_provid,q_stemmed_has_provid_food,q_stemmed_has_food_plant,q_stemmed_has_plant_begin,q_stemmed_has_begin_grow,q_stemmed_has_cotyledon_provid_food,q_stemmed_has_provid_food_plant,q_stemmed_has_food_plant_begin,q_stemmed_has_plant_begin_grow,q_stem_ordered_has_begin,q_stem_ordered_has_cotyledon,q_stem_ordered_has_food,q_stem_ordered_has_grow,q_stem_ordered_has_plant,q_stem_ordered_has_provid,q_stem_ordered_has_begin_cotyledon,q_stem_ordered_has_cotyledon_food,q_stem_ordered_has_food_grow,q_stem_ordered_has_grow_plant,q_stem_ordered_has_plant_provid,q_stem_ordered_has_begin_cotyledon_food,q_stem_ordered_has_cotyledon_food_grow,q_stem_ordered_has_food_grow_plant,q_stem_ordered_has_grow_plant_provid
0.6000000000000001,0.4444444444444444,0.1111111111111111,0.2041,0.4444444444444444,0.1111111111111111,0.2041,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.4000000000000001,0.42857142857142855,0.2857142857142857,0.4714,0.42857142857142855,0.2857142857142857,0.4714,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
0.2,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4000000000000001,0.375,0.125,0.2357,0.375,0.125,0.2357,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4000000000000001,0.375,0.125,0.2357,0.375,0.125,0.2357,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.4000000000000001,0.375,0.125,0.2357,0.375,0.125,0.2357,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0.2857142857142857,0.14285714285714285,0.2887,0.2857142857142857,0.14285714285714285,0.2887,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4000000000000001,0.375,0.125,0.2357,0.375,0.125,0.2357,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
