wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_food,q_stemmed_has_contain,q_stemmed_has_sugar,q_stemmed_has_food_contain,q_stemmed_has_contain_sugar,q_stemmed_has_food_contain_sugar,q_stem_ordered_has_contain,q_stem_ordered_has_food,q_stem_ordered_has_sugar,q_stem_ordered_has_contain_food,q_stem_ordered_has_food_sugar,q_stem_ordered_has_contain_food_sugar
0.5,0.4,0.0,0.0,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.16666666666666666,0.5,0.25,0.4082,0.5,0.25,0.4082,0,0,1,0,0,0,0,0,1,0,0,0
0.6666666666666666,0.7142857142857143,0.14285714285714285,0.2582,0.7142857142857143,0.14285714285714285,0.2582,0,0,1,0,0,0,0,0,1,0,0,0
0.16666666666666666,0.4,0.0,0.0,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.6666666666666666,0.16666666666666666,0.2887,0.6666666666666666,0.16666666666666666,0.2887,0,0,1,0,0,0,0,0,1,0,0,0
0.16666666666666666,0.6666666666666666,0.6666666666666666,0.8165,0.6666666666666666,0.6666666666666666,0.8165,1,0,1,0,0,0,0,1,1,0,1,0
0.9999999999999999,0.7777777777777778,0.1111111111111111,0.2182,0.7777777777777778,0.1111111111111111,0.2182,0,0,1,0,0,0,0,0,1,0,0,0
0.16666666666666666,0.6666666666666666,0.6666666666666666,0.8165,0.6666666666666666,0.6666666666666666,0.8165,0,1,1,0,1,0,1,0,1,0,0,0
0.5,1.0,0.75,0.866,1.0,0.75,0.866,1,1,1,0,1,0,1,1,1,1,1,1
0.33333333333333337,0.6,0.2,0.3333,0.6,0.2,0.3333,0,0,1,0,0,0,0,0,1,0,0,0
0.0,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.33333333333333337,0.75,0.5,0.6667,0.75,0.5,0.6667,1,0,1,0,0,0,0,1,1,0,0,0
0.33333333333333337,0.75,0.5,0.6667,0.75,0.5,0.6667,1,0,1,0,0,0,0,1,1,0,0,0
0.33333333333333337,0.75,0.5,0.6667,0.75,0.5,0.6667,1,0,1,0,0,0,0,1,1,0,0,0
0.5,0.6666666666666666,0.16666666666666666,0.2887,0.6666666666666666,0.16666666666666666,0.2887,0,0,1,0,0,0,0,0,1,0,0,0
0.16666666666666666,0.5,0.25,0.4082,0.5,0.25,0.4082,1,0,0,0,0,0,0,1,0,0,0,0
0.33333333333333337,0.75,0.5,0.6667,0.75,0.5,0.6667,1,0,1,0,0,0,0,1,1,0,0,0
0.33333333333333337,0.75,0.5,0.6667,0.75,0.5,0.6667,1,0,1,0,0,0,0,1,1,0,0,0
0.5,0.6,0.2,0.3333,0.6,0.2,0.3333,0,0,1,0,0,0,0,0,1,0,0,0
0.33333333333333337,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.33333333333333337,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.5714285714285714,0.0,0.0,0.5714285714285714,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.16666666666666666,0.6666666666666666,0.6666666666666666,0.8165,0.6666666666666666,0.6666666666666666,0.8165,1,0,1,0,0,0,0,1,1,0,1,0
0.33333333333333337,0.6,0.2,0.3333,0.6,0.2,0.3333,0,0,1,0,0,0,0,0,1,0,0,0
0.5,0.5714285714285714,0.0,0.0,0.5714285714285714,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.6666666666666666,0.16666666666666666,0.2887,0.6666666666666666,0.16666666666666666,0.2887,0,0,1,0,0,0,0,0,1,0,0,0
0.6666666666666666,0.7142857142857143,0.14285714285714285,0.2582,0.7142857142857143,0.14285714285714285,0.2582,0,0,1,0,0,0,0,0,1,0,0,0
0.5,0.8,0.4,0.5774,0.8,0.4,0.5774,1,0,1,0,0,0,0,1,1,0,1,0
0.16666666666666666,0.4,0.0,0.0,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.6666666666666666,0.7142857142857143,0.14285714285714285,0.2582,0.7142857142857143,0.14285714285714285,0.2582,0,1,0,0,0,0,1,0,0,0,0,0
0.6666666666666666,0.7142857142857143,0.14285714285714285,0.2582,0.7142857142857143,0.14285714285714285,0.2582,0,0,1,0,0,0,0,0,1,0,0,0
0.6666666666666666,0.7142857142857143,0.14285714285714285,0.2582,0.7142857142857143,0.14285714285714285,0.2582,0,0,1,0,0,0,0,0,1,0,0,0
0.16666666666666666,0.5,0.25,0.4082,0.5,0.25,0.4082,0,0,1,0,0,0,0,0,1,0,0,0
0.6666666666666666,0.8333333333333334,0.3333333333333333,0.5164,0.8333333333333334,0.3333333333333333,0.5164,1,0,1,0,0,0,0,1,1,0,0,0
0.8333333333333334,0.8333333333333334,0.3333333333333333,0.5164,0.8333333333333334,0.3333333333333333,0.5164,1,0,1,0,0,0,0,1,1,0,0,0
0.9999999999999999,0.875,0.25,0.4364,0.875,0.25,0.4364,1,0,1,0,0,0,0,1,1,0,0,0
0.33333333333333337,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1
