wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_recommend,q_stemmed_has_topograph,q_stemmed_has_map,q_stemmed_has_show,q_stemmed_has_elev,q_stemmed_has_trail,q_stemmed_has_pam,q_stemmed_has_know,q_stemmed_has_steepest,q_stemmed_has_recommend_topograph,q_stemmed_has_topograph_map,q_stemmed_has_map_map,q_stemmed_has_map_show,q_stemmed_has_show_elev,q_stemmed_has_elev_trail,q_stemmed_has_trail_pam,q_stemmed_has_pam_know,q_stemmed_has_know_trail,q_stemmed_has_trail_steepest,q_stemmed_has_recommend_topograph_map,q_stemmed_has_topograph_map_map,q_stemmed_has_map_map_show,q_stemmed_has_map_show_elev,q_stemmed_has_show_elev_trail,q_stemmed_has_elev_trail_pam,q_stemmed_has_trail_pam_know,q_stemmed_has_pam_know_trail,q_stemmed_has_know_trail_steepest,q_stem_ordered_has_elev,q_stem_ordered_has_know,q_stem_ordered_has_map,q_stem_ordered_has_pam,q_stem_ordered_has_recommend,q_stem_ordered_has_show,q_stem_ordered_has_steepest,q_stem_ordered_has_topograph,q_stem_ordered_has_trail,q_stem_ordered_has_elev_know,q_stem_ordered_has_know_map,q_stem_ordered_has_map_map,q_stem_ordered_has_map_pam,q_stem_ordered_has_pam_recommend,q_stem_ordered_has_recommend_show,q_stem_ordered_has_show_steepest,q_stem_ordered_has_steepest_topograph,q_stem_ordered_has_topograph_trail,q_stem_ordered_has_trail_trail,q_stem_ordered_has_elev_know_map,q_stem_ordered_has_know_map_map,q_stem_ordered_has_map_map_pam,q_stem_ordered_has_map_pam_recommend,q_stem_ordered_has_pam_recommend_show,q_stem_ordered_has_recommend_show_steepest,q_stem_ordered_has_show_steepest_topograph,q_stem_ordered_has_steepest_topograph_trail,q_stem_ordered_has_topograph_trail_trail
0.15384615384615385,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.1,0.0,0.0,0.1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3076923076923077,0.38461538461538464,0.07692307692307693,0.1491,0.38461538461538464,0.07692307692307693,0.1491,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.1,0.0,0.0,0.1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15384615384615385,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07692307692307693,0.18181818181818182,0.0,0.0,0.18181818181818182,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8461538461538463,0.6470588235294118,0.17647058823529413,0.3015,0.6470588235294118,0.17647058823529413,0.3015,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4615384615384616,0.4,0.0,0.0,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.1,0.0,0.0,0.1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3076923076923077,0.38461538461538464,0.07692307692307693,0.1491,0.38461538461538464,0.07692307692307693,0.1491,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15384615384615385,0.2727272727272727,0.09090909090909091,0.1925,0.2727272727272727,0.09090909090909091,0.1925,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07692307692307693,0.18181818181818182,0.0,0.0,0.18181818181818182,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07692307692307693,0.18181818181818182,0.0,0.0,0.18181818181818182,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.23076923076923078,0.36363636363636365,0.18181818181818182,0.3333,0.36363636363636365,0.18181818181818182,0.3333,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
