wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_ye,q_stemmed_has_aluminum,q_stemmed_has_foil,q_stemmed_has_metal,q_stemmed_has_conduct,q_stemmed_has_complet,q_stemmed_has_circuit,q_stemmed_has_ye_aluminum,q_stemmed_has_aluminum_foil,q_stemmed_has_foil_metal,q_stemmed_has_metal_metal,q_stemmed_has_metal_conduct,q_stemmed_has_conduct_aluminum,q_stemmed_has_foil_complet,q_stemmed_has_complet_circuit,q_stemmed_has_ye_aluminum_foil,q_stemmed_has_aluminum_foil_metal,q_stemmed_has_foil_metal_metal,q_stemmed_has_metal_metal_conduct,q_stemmed_has_metal_conduct_aluminum,q_stemmed_has_conduct_aluminum_foil,q_stemmed_has_aluminum_foil_complet,q_stemmed_has_foil_complet_circuit,q_stem_ordered_has_aluminum,q_stem_ordered_has_circuit,q_stem_ordered_has_complet,q_stem_ordered_has_conduct,q_stem_ordered_has_foil,q_stem_ordered_has_metal,q_stem_ordered_has_ye,q_stem_ordered_has_aluminum_aluminum,q_stem_ordered_has_aluminum_circuit,q_stem_ordered_has_circuit_complet,q_stem_ordered_has_complet_conduct,q_stem_ordered_has_conduct_foil,q_stem_ordered_has_foil_foil,q_stem_ordered_has_foil_metal,q_stem_ordered_has_metal_metal,q_stem_ordered_has_metal_ye,q_stem_ordered_has_aluminum_aluminum_circuit,q_stem_ordered_has_aluminum_circuit_complet,q_stem_ordered_has_circuit_complet_conduct,q_stem_ordered_has_complet_conduct_foil,q_stem_ordered_has_conduct_foil_foil,q_stem_ordered_has_foil_foil_metal,q_stem_ordered_has_foil_metal_metal,q_stem_ordered_has_metal_metal_ye
0.3333333333333333,0.4444444444444444,0.2222222222222222,0.378,0.4444444444444444,0.2222222222222222,0.378,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4444444444444445,0.5555555555555556,0.3333333333333333,0.5071,0.5555555555555556,0.3333333333333333,0.5071,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.4444444444444445,0.45454545454545453,0.09090909090909091,0.169,0.45454545454545453,0.09090909090909091,0.169,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3333333333333333,0.4,0.1,0.189,0.4,0.1,0.189,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1111111111111111,0.2857142857142857,0.2857142857142857,0.5345,0.2857142857142857,0.2857142857142857,0.5345,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.1111111111111111,0.25,0.125,0.2673,0.25,0.125,0.2673,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3333333333333333,0.4,0.1,0.189,0.4,0.1,0.189,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.14285714285714285,0.14285714285714285,0.378,0.14285714285714285,0.14285714285714285,0.378,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1111111111111111,0.25,0.125,0.2673,0.25,0.125,0.2673,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1111111111111111,0.25,0.125,0.2673,0.25,0.125,0.2673,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4444444444444445,0.4444444444444444,0.2222222222222222,0.378,0.4444444444444444,0.2222222222222222,0.378,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.3333333333333333,0.5,0.375,0.5669,0.5,0.375,0.5669,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1111111111111111,0.2857142857142857,0.2857142857142857,0.5345,0.2857142857142857,0.2857142857142857,0.5345,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.3333333333333333,0.4,0.1,0.189,0.4,0.1,0.189,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1111111111111111,0.25,0.125,0.2673,0.25,0.125,0.2673,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3333333333333333,0.4444444444444444,0.2222222222222222,0.378,0.4444444444444444,0.2222222222222222,0.378,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.3333333333333333,0.5,0.375,0.5669,0.5,0.375,0.5669,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3333333333333333,0.5714285714285714,0.5714285714285714,0.7559,0.5714285714285714,0.5714285714285714,0.7559,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3333333333333333,0.4444444444444444,0.2222222222222222,0.378,0.4444444444444444,0.2222222222222222,0.378,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.125,0.0,0.0,0.125,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2222222222222222,0.3333333333333333,0.1111111111111111,0.2182,0.3333333333333333,0.1111111111111111,0.2182,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2222222222222222,0.375,0.25,0.4364,0.375,0.25,0.4364,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3333333333333333,0.4444444444444444,0.2222222222222222,0.378,0.4444444444444444,0.2222222222222222,0.378,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2222222222222222,0.3,0.0,0.0,0.3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2222222222222222,0.3,0.0,0.0,0.3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
