wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_circuit,q_stemmed_has_complet,q_stemmed_has_time,q_stemmed_has_circuit_complet,q_stemmed_has_complet_time,q_stemmed_has_circuit_complet_time,q_stem_ordered_has_circuit,q_stem_ordered_has_complet,q_stem_ordered_has_time,q_stem_ordered_has_circuit_complet,q_stem_ordered_has_complet_time,q_stem_ordered_has_circuit_complet_time
0.5000000000000001,0.75,0.125,0.2357,0.75,0.125,0.2357,1,0,0,0,0,0,1,0,0,0,0,0
0.20000000000000004,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.20000000000000004,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.30000000000000004,1.0,0.75,0.866,1.0,0.75,0.866,1,1,1,0,0,0,1,1,1,1,0,0
0.30000000000000004,0.6666666666666666,0.16666666666666666,0.2887,0.6666666666666666,0.16666666666666666,0.2887,1,0,0,0,0,0,1,0,0,0,0,0
0.6000000000000001,0.75,0.125,0.2357,0.75,0.125,0.2357,0,0,1,0,0,0,0,0,1,0,0,0
0.1,0.6666666666666666,0.6666666666666666,0.8165,0.6666666666666666,0.6666666666666666,0.8165,1,1,0,0,0,0,1,1,0,1,0,0
0.20000000000000004,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.30000000000000004,0.8,0.4,0.5774,0.8,0.4,0.5774,1,1,0,0,0,0,1,1,0,1,0,0
0.30000000000000004,0.6666666666666666,0.16666666666666666,0.2887,0.6666666666666666,0.16666666666666666,0.2887,0,0,1,0,0,0,0,0,1,0,0,0
0.7000000000000001,0.7,0.0,0.0,0.7,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.5000000000000001,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.6000000000000001,0.7,0.0,0.0,0.7,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.30000000000000004,0.8,0.4,0.5774,0.8,0.4,0.5774,1,1,0,0,0,0,1,1,0,1,0,0
0.5000000000000001,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.4,0.5714285714285714,0.0,0.0,0.5714285714285714,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.4,0.625,0.0,0.0,0.625,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.20000000000000004,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.6000000000000001,0.7,0.0,0.0,0.7,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,0.5,0.25,0.4082,0.5,0.25,0.4082,1,0,0,0,0,0,1,0,0,0,0,0
0.30000000000000004,0.5714285714285714,0.0,0.0,0.5714285714285714,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.30000000000000004,0.5714285714285714,0.0,0.0,0.5714285714285714,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.30000000000000004,0.5714285714285714,0.0,0.0,0.5714285714285714,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.4,0.625,0.0,0.0,0.625,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.20000000000000004,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,0.4,0.0,0.0,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.4,0.625,0.0,0.0,0.625,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.4,0.625,0.0,0.0,0.625,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.30000000000000004,0.6666666666666666,0.16666666666666666,0.2887,0.6666666666666666,0.16666666666666666,0.2887,1,0,0,0,0,0,1,0,0,0,0,0
0.1,0.5,0.25,0.4082,0.5,0.25,0.4082,0,0,1,0,0,0,0,0,1,0,0,0
0.1,0.4,0.0,0.0,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.8461538461538461,0.07692307692307693,0.1741,0.8461538461538461,0.07692307692307693,0.1741,0,0,1,0,0,0,0,0,1,0,0,0
0.20000000000000004,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1
