wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_reaction,q_stemmed_has_indic,q_stemmed_has_bubbl,q_stemmed_has_ga,q_stemmed_has_new,q_stemmed_has_materi,q_stemmed_has_produc,q_stemmed_has_reaction_indic,q_stemmed_has_indic_bubbl,q_stemmed_has_bubbl_ga,q_stemmed_has_ga_new,q_stemmed_has_new_materi,q_stemmed_has_materi_produc,q_stemmed_has_reaction_indic_bubbl,q_stemmed_has_indic_bubbl_ga,q_stemmed_has_bubbl_ga_new,q_stemmed_has_ga_new_materi,q_stemmed_has_new_materi_produc,q_stem_ordered_has_bubbl,q_stem_ordered_has_ga,q_stem_ordered_has_indic,q_stem_ordered_has_materi,q_stem_ordered_has_new,q_stem_ordered_has_produc,q_stem_ordered_has_reaction,q_stem_ordered_has_bubbl_ga,q_stem_ordered_has_ga_indic,q_stem_ordered_has_indic_materi,q_stem_ordered_has_materi_new,q_stem_ordered_has_new_produc,q_stem_ordered_has_produc_reaction,q_stem_ordered_has_bubbl_ga_indic,q_stem_ordered_has_ga_indic_materi,q_stem_ordered_has_indic_materi_new,q_stem_ordered_has_materi_new_produc,q_stem_ordered_has_new_produc_reaction
0.7777777777777777,0.5384615384615384,0.07692307692307693,0.1429,0.5384615384615384,0.07692307692307693,0.1429,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2222222222222222,0.375,0.25,0.4364,0.375,0.25,0.4364,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.2222222222222222,0.375,0.25,0.4364,0.375,0.25,0.4364,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.3333333333333333,0.4444444444444444,0.2222222222222222,0.378,0.4444444444444444,0.2222222222222222,0.378,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.1111111111111111,0.2222222222222222,0.0,0.0,0.2222222222222222,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6666666666666665,0.5454545454545454,0.18181818181818182,0.3086,0.5454545454545454,0.18181818181818182,0.3086,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.2222222222222222,0.3333333333333333,0.1111111111111111,0.2182,0.3333333333333333,0.1111111111111111,0.2182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1111111111111111,0.2857142857142857,0.2857142857142857,0.5345,0.2857142857142857,0.2857142857142857,0.5345,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.1111111111111111,0.25,0.125,0.2673,0.25,0.125,0.2673,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1111111111111111,0.25,0.125,0.2673,0.25,0.125,0.2673,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
