wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_jim,q_stemmed_has_clear,q_stemmed_has_solut,q_stemmed_has_3,q_stemmed_has_spoon,q_stemmed_has_solid,q_stemmed_has_dissolv,q_stemmed_has_2,q_stemmed_has_jim_clear,q_stemmed_has_clear_solut,q_stemmed_has_solut_3,q_stemmed_has_3_spoon,q_stemmed_has_spoon_solid,q_stemmed_has_solid_dissolv,q_stemmed_has_dissolv_2,q_stemmed_has_2_spoon,q_stemmed_has_spoon_dissolv,q_stemmed_has_jim_clear_solut,q_stemmed_has_clear_solut_3,q_stemmed_has_solut_3_spoon,q_stemmed_has_3_spoon_solid,q_stemmed_has_spoon_solid_dissolv,q_stemmed_has_solid_dissolv_2,q_stemmed_has_dissolv_2_spoon,q_stemmed_has_2_spoon_dissolv,q_stem_ordered_has_2,q_stem_ordered_has_3,q_stem_ordered_has_clear,q_stem_ordered_has_dissolv,q_stem_ordered_has_jim,q_stem_ordered_has_solid,q_stem_ordered_has_solut,q_stem_ordered_has_spoon,q_stem_ordered_has_2_3,q_stem_ordered_has_3_clear,q_stem_ordered_has_clear_dissolv,q_stem_ordered_has_dissolv_dissolv,q_stem_ordered_has_dissolv_jim,q_stem_ordered_has_jim_solid,q_stem_ordered_has_solid_solut,q_stem_ordered_has_solut_spoon,q_stem_ordered_has_spoon_spoon,q_stem_ordered_has_2_3_clear,q_stem_ordered_has_3_clear_dissolv,q_stem_ordered_has_clear_dissolv_dissolv,q_stem_ordered_has_dissolv_dissolv_jim,q_stem_ordered_has_dissolv_jim_solid,q_stem_ordered_has_jim_solid_solut,q_stem_ordered_has_solid_solut_spoon,q_stem_ordered_has_solut_spoon_spoon
0.16666666666666669,0.3333333333333333,0.2222222222222222,0.4082,0.3333333333333333,0.2222222222222222,0.4082,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4166666666666667,0.45454545454545453,0.18181818181818182,0.3162,0.45454545454545453,0.18181818181818182,0.3162,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.08333333333333333,0.2,0.0,0.0,0.2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.3333333333333333,0.2222222222222222,0.4082,0.3333333333333333,0.2222222222222222,0.4082,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4166666666666667,0.38461538461538464,0.0,0.0,0.38461538461538464,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5833333333333333,0.6666666666666666,0.5555555555555556,0.7217,0.6666666666666666,0.5555555555555556,0.7217,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
0.6666666666666666,0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16666666666666669,0.2727272727272727,0.0,0.0,0.2727272727272727,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08333333333333333,0.2222222222222222,0.1111111111111111,0.25,0.2222222222222222,0.1111111111111111,0.25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9999999999999999,0.6428571428571429,0.21428571428571427,0.3536,0.6428571428571429,0.21428571428571427,0.3536,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
