wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_harder,q_stemmed_has_miner,q_stemmed_has_leav,q_stemmed_has_scratch,q_stemmed_has_hard,q_stemmed_has_black,q_stemmed_has_brown,q_stemmed_has_harder_miner,q_stemmed_has_miner_leav,q_stemmed_has_leav_scratch,q_stemmed_has_scratch_hard,q_stemmed_has_hard_miner,q_stemmed_has_miner_black,q_stemmed_has_black_miner,q_stemmed_has_miner_harder,q_stemmed_has_harder_brown,q_stemmed_has_brown_miner,q_stemmed_has_miner_scratch,q_stemmed_has_harder_miner_leav,q_stemmed_has_miner_leav_scratch,q_stemmed_has_leav_scratch_hard,q_stemmed_has_scratch_hard_miner,q_stemmed_has_hard_miner_black,q_stemmed_has_miner_black_miner,q_stemmed_has_black_miner_harder,q_stemmed_has_miner_harder_brown,q_stemmed_has_harder_brown_miner,q_stemmed_has_brown_miner_scratch,q_stem_ordered_has_black,q_stem_ordered_has_brown,q_stem_ordered_has_hard,q_stem_ordered_has_harder,q_stem_ordered_has_leav,q_stem_ordered_has_miner,q_stem_ordered_has_scratch,q_stem_ordered_has_black_brown,q_stem_ordered_has_brown_hard,q_stem_ordered_has_hard_harder,q_stem_ordered_has_harder_harder,q_stem_ordered_has_harder_leav,q_stem_ordered_has_leav_miner,q_stem_ordered_has_miner_miner,q_stem_ordered_has_miner_scratch,q_stem_ordered_has_scratch_scratch,q_stem_ordered_has_black_brown_hard,q_stem_ordered_has_brown_hard_harder,q_stem_ordered_has_hard_harder_harder,q_stem_ordered_has_harder_harder_leav,q_stem_ordered_has_harder_leav_miner,q_stem_ordered_has_leav_miner_miner,q_stem_ordered_has_miner_miner_miner,q_stem_ordered_has_miner_miner_scratch,q_stem_ordered_has_miner_scratch_scratch
0.1818181818181818,0.3333333333333333,0.1111111111111111,0.2182,0.3333333333333333,0.1111111111111111,0.2182,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1818181818181818,0.3333333333333333,0.1111111111111111,0.2182,0.3333333333333333,0.1111111111111111,0.2182,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09090909090909091,0.2222222222222222,0.0,0.0,0.2222222222222222,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.14285714285714285,0.14285714285714285,0.378,0.14285714285714285,0.14285714285714285,0.378,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6363636363636364,0.5454545454545454,0.18181818181818182,0.3086,0.5454545454545454,0.18181818181818182,0.3086,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.9090909090909091,0.7,0.4,0.5714,0.7,0.4,0.5714,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.7272727272727273,0.7272727272727273,0.36363636363636365,0.5345,0.7272727272727273,0.36363636363636365,0.5345,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4545454545454545,0.5,0.2,0.3381,0.5,0.2,0.3381,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.2727272727272727,0.3,0.0,0.0,0.3,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.125,0.0,0.0,0.125,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
