wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_solid,q_stemmed_has_dissolv,q_stemmed_has_disappear,q_stemmed_has_liquid,q_stemmed_has_remain,q_stemmed_has_clear,q_stemmed_has_solid_dissolv,q_stemmed_has_dissolv_disappear,q_stemmed_has_disappear_liquid,q_stemmed_has_liquid_remain,q_stemmed_has_remain_clear,q_stemmed_has_solid_dissolv_disappear,q_stemmed_has_dissolv_disappear_liquid,q_stemmed_has_disappear_liquid_remain,q_stemmed_has_liquid_remain_clear,q_stem_ordered_has_clear,q_stem_ordered_has_disappear,q_stem_ordered_has_dissolv,q_stem_ordered_has_liquid,q_stem_ordered_has_remain,q_stem_ordered_has_solid,q_stem_ordered_has_clear_disappear,q_stem_ordered_has_disappear_dissolv,q_stem_ordered_has_dissolv_liquid,q_stem_ordered_has_liquid_remain,q_stem_ordered_has_remain_solid,q_stem_ordered_has_clear_disappear_dissolv,q_stem_ordered_has_disappear_dissolv_liquid,q_stem_ordered_has_dissolv_liquid_remain,q_stem_ordered_has_liquid_remain_solid
0.2857142857142857,0.375,0.125,0.2357,0.375,0.125,0.2357,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5714285714285714,0.625,0.375,0.5477,0.625,0.375,0.5477,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
0.42857142857142855,0.5714285714285714,0.42857142857142855,0.6124,0.5714285714285714,0.42857142857142855,0.6124,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0.14285714285714285,0.2857142857142857,0.14285714285714285,0.2887,0.2857142857142857,0.14285714285714285,0.2887,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2857142857142857,0.375,0.125,0.2357,0.375,0.125,0.2357,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2857142857142857,0.375,0.125,0.2357,0.375,0.125,0.2357,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.14285714285714285,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
0.5714285714285714,0.45454545454545453,0.0,0.0,0.45454545454545453,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.14285714285714285,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0.2857142857142857,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
