student_answer,teacher_answer,label,question_id
It would be a high pitch.,"When the string is longer, the pitch will be lower.",0,107
It will change by the pitch will be soft.,"When the string is longer, the pitch will be lower.",0,107
It would be high pitch.,"When the string is longer, the pitch will be lower.",0,107
The pitch will change by getting lower.,"When the string is longer, the pitch will be lower.",1,107
It would have a lower pitch.,"When the string is longer, the pitch will be lower.",1,107
It would have a lower pitch.,"When the string is longer, the pitch will be lower.",1,107
It would be lower.,"When the string is longer, the pitch will be lower.",1,107
If she did the pitch would be lower.,"When the string is longer, the pitch will be lower.",1,107
Louder.,"When the string is longer, the pitch will be lower.",0,107
The pitch gets lower.,"When the string is longer, the pitch will be lower.",1,107
It will shake and make sound.,"When the string is longer, the pitch will be lower.",0,107
It would be lower.,"When the string is longer, the pitch will be lower.",1,107
It would get lower.,"When the string is longer, the pitch will be lower.",1,107
It would have a lower pitch because it has less room to vibrate.,"When the string is longer, the pitch will be lower.",0,107
Softer.,"When the string is longer, the pitch will be lower.",0,107
It would be wobbly so it would make a small sound.,"When the string is longer, the pitch will be lower.",0,107
It would make a higher sound.,"When the string is longer, the pitch will be lower.",0,107
It would be lower pitch.,"When the string is longer, the pitch will be lower.",1,107
It would not be as high as when you pull it tight.,"When the string is longer, the pitch will be lower.",1,107
It would change to a low pitch.,"When the string is longer, the pitch will be lower.",1,107
It would be a low pitch.,"When the string is longer, the pitch will be lower.",1,107
The pitch will be higher.,"When the string is longer, the pitch will be lower.",0,107
A low pitch.,"When the string is longer, the pitch will be lower.",1,107
It would be lower.,"When the string is longer, the pitch will be lower.",1,107
The pitch would get lower.,"When the string is longer, the pitch will be lower.",1,107
The pitch will be low.,"When the string is longer, the pitch will be lower.",1,107
It got high.,"When the string is longer, the pitch will be lower.",0,107
It will be low the pitch change.,"When the string is longer, the pitch will be lower.",1,107
The sound would be lower.,"When the string is longer, the pitch will be lower.",1,107
It would be lower pitch.,"When the string is longer, the pitch will be lower.",1,107
It would be a longer sound.,"When the string is longer, the pitch will be lower.",0,107
Still high.,"When the string is longer, the pitch will be lower.",0,107
It would sound lower.,"When the string is longer, the pitch will be lower.",1,107
The pitch will go high.,"When the string is longer, the pitch will be lower.",0,107
It will make a lower pitch and yes.,"When the string is longer, the pitch will be lower.",1,107
The pitch would be low.,"When the string is longer, the pitch will be lower.",1,107
"When the string is longer, the pitch will be lower.","When the string is longer, the pitch will be lower.",1,107
