student_answer,teacher_answer,label,question_id
The were like feathers they were tiny little overlapping squares.,The salt crystals are squares with Xs on top.,1,77
It look like feathers.,The salt crystals are squares with Xs on top.,0,77
Looks like salt that has fizz on in it.,The salt crystals are squares with Xs on top.,0,77
They were squares with Xs.,The salt crystals are squares with Xs on top.,1,77
The salt crystals shape is a square.,The salt crystals are squares with Xs on top.,1,77
Square with X in it.,The salt crystals are squares with Xs on top.,1,77
"They are white, sparkly, if you put 5 or 10 together you can make a pile.",The salt crystals are squares with Xs on top.,0,77
It is a square with little Xs on it.,The salt crystals are squares with Xs on top.,1,77
Squares with Xs in the middle.,The salt crystals are squares with Xs on top.,1,77
They would be a square with a X on it.,The salt crystals are squares with Xs on top.,1,77
A box and in X in the box.,The salt crystals are squares with Xs on top.,1,77
4 squares one X.,The salt crystals are squares with Xs on top.,1,77
If I put saltwater in a dish it evaporate over heat and turns to salt crystals.,The salt crystals are squares with Xs on top.,0,77
Organized cubes with X.,The salt crystals are squares with Xs on top.,1,77
With Xs.,The salt crystals are squares with Xs on top.,0,77
The salt crystals leaves a Xs.,The salt crystals are squares with Xs on top.,0,77
It was while you could see through square.,The salt crystals are squares with Xs on top.,0,77
"They all look the same, but some of them look different and then really small.",The salt crystals are squares with Xs on top.,0,77
It is shaped like a diamond and it looks like a diamond.,The salt crystals are squares with Xs on top.,0,77
Squares with the Xs on them.,The salt crystals are squares with Xs on top.,1,77
Square has X on it little X.,The salt crystals are squares with Xs on top.,1,77
They are like little boxes with Xs on them.,The salt crystals are squares with Xs on top.,1,77
They are squared with Xs in them.,The salt crystals are squares with Xs on top.,1,77
They are squares with Xs in them.,The salt crystals are squares with Xs on top.,1,77
The salt was made of crystals because crystals have Xs.,The salt crystals are squares with Xs on top.,0,77
It is a square and Xs on it.,The salt crystals are squares with Xs on top.,1,77
The salt crystals has Xs in the middle of the square.,The salt crystals are squares with Xs on top.,1,77
The salt crystal is a square shape with a X in the middle.,The salt crystals are squares with Xs on top.,1,77
Is just tiny and big because of crystals.,The salt crystals are squares with Xs on top.,0,77
I do not know.,The salt crystals are squares with Xs on top.,0,77
I do not know.,The salt crystals are squares with Xs on top.,0,77
They have a square with a X in it.,The salt crystals are squares with Xs on top.,1,77
It is shaped as square and has an X in the middle.,The salt crystals are squares with Xs on top.,1,77
They have X in them.,The salt crystals are squares with Xs on top.,0,77
The salt has the letter X.,The salt crystals are squares with Xs on top.,0,77
The salt crystals are squares with Xs on top.,The salt crystals are squares with Xs on top.,1,77
