wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_pull,q_stemmed_has_system,q_stemmed_has_singl,q_stemmed_has_fix,q_stemmed_has_pulley,q_stemmed_has_direct,q_stemmed_has_advantag,q_stemmed_has_pull_system,q_stemmed_has_system_singl,q_stemmed_has_singl_fix,q_stemmed_has_fix_pulley,q_stemmed_has_pulley_system,q_stemmed_has_system_direct,q_stemmed_has_direct_advantag,q_stemmed_has_pull_system_singl,q_stemmed_has_system_singl_fix,q_stemmed_has_singl_fix_pulley,q_stemmed_has_fix_pulley_system,q_stemmed_has_pulley_system_direct,q_stemmed_has_system_direct_advantag,q_stem_ordered_has_advantag,q_stem_ordered_has_direct,q_stem_ordered_has_fix,q_stem_ordered_has_pull,q_stem_ordered_has_pulley,q_stem_ordered_has_singl,q_stem_ordered_has_system,q_stem_ordered_has_advantag_direct,q_stem_ordered_has_direct_fix,q_stem_ordered_has_fix_pull,q_stem_ordered_has_pull_pulley,q_stem_ordered_has_pulley_singl,q_stem_ordered_has_singl_system,q_stem_ordered_has_system_system,q_stem_ordered_has_advantag_direct_fix,q_stem_ordered_has_direct_fix_pull,q_stem_ordered_has_fix_pull_pulley,q_stem_ordered_has_pull_pulley_singl,q_stem_ordered_has_pulley_singl_system,q_stem_ordered_has_singl_system_system
0.7777777777777777,0.6666666666666666,0.4444444444444444,0.6172,0.6666666666666666,0.4444444444444444,0.6172,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1
0.2222222222222222,0.2857142857142857,0.2857142857142857,0.5345,0.2857142857142857,0.2857142857142857,0.5345,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7777777777777777,0.6666666666666666,0.4444444444444444,0.6172,0.6666666666666666,0.4444444444444444,0.6172,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1
0.0,0.14285714285714285,0.14285714285714285,0.378,0.14285714285714285,0.14285714285714285,0.378,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1111111111111111,0.2857142857142857,0.2857142857142857,0.5345,0.2857142857142857,0.2857142857142857,0.5345,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.8888888888888888,0.7777777777777778,0.5555555555555556,0.7143,0.7777777777777778,0.5555555555555556,0.7143,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.5555555555555556,0.6,0.3,0.4629,0.6,0.3,0.4629,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.2222222222222222,0.3333333333333333,0.1111111111111111,0.2182,0.3333333333333333,0.1111111111111111,0.2182,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1111111111111111,0.2222222222222222,0.0,0.0,0.2222222222222222,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7777777777777777,0.8,0.5,0.6682,0.8,0.5,0.6682,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
