wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_crystal,q_stemmed_has_squar,q_stemmed_has_xs,q_stemmed_has_surfac,q_stemmed_has_crystal_squar,q_stemmed_has_squar_xs,q_stemmed_has_xs_surfac,q_stemmed_has_crystal_squar_xs,q_stemmed_has_squar_xs_surfac,q_stem_ordered_has_crystal,q_stem_ordered_has_squar,q_stem_ordered_has_surfac,q_stem_ordered_has_xs,q_stem_ordered_has_crystal_squar,q_stem_ordered_has_squar_surfac,q_stem_ordered_has_surfac_xs,q_stem_ordered_has_crystal_squar_surfac,q_stem_ordered_has_squar_surfac_xs
0.9090909090909091,0.7333333333333333,0.0,0.0,0.7333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1818181818181818,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09090909090909091,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5454545454545454,0.6666666666666666,0.1111111111111111,0.2041,0.6666666666666666,0.1111111111111111,0.2041,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0,0.2,0.0,0.0,0.2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1818181818181818,0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.9090909090909091,0.7272727272727273,0.09090909090909091,0.1768,0.7272727272727273,0.09090909090909091,0.1768,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.09090909090909091,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09090909090909091,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1818181818181818,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9999999999999999,0.7857142857142857,0.07142857142857142,0.1508,0.7857142857142857,0.07142857142857142,0.1508,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.09090909090909091,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1818181818181818,0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.4545454545454545,0.6666666666666666,0.1111111111111111,0.2041,0.6666666666666666,0.1111111111111111,0.2041,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.36363636363636365,0.5555555555555556,0.0,0.0,0.5555555555555556,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.36363636363636365,0.625,0.125,0.2236,0.625,0.125,0.2236,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.1818181818181818,0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.09090909090909091,0.4,0.2,0.3536,0.4,0.2,0.3536,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.1818181818181818,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4545454545454545,0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.2727272727272727,0.5714285714285714,0.14285714285714285,0.25,0.5714285714285714,0.14285714285714285,0.25,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0,0.2,0.0,0.0,0.2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.2,0.0,0.0,0.2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.2,0.0,0.0,0.2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4545454545454545,0.6,0.0,0.0,0.6,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1818181818181818,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.36363636363636365,0.625,0.125,0.2236,0.625,0.125,0.2236,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.4545454545454545,0.6,0.0,0.0,0.6,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.36363636363636365,0.5555555555555556,0.0,0.0,0.5555555555555556,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09090909090909091,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1818181818181818,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1818181818181818,0.5,0.16666666666666666,0.2887,0.5,0.16666666666666666,0.2887,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.4545454545454545,0.625,0.125,0.2236,0.625,0.125,0.2236,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.1818181818181818,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.36363636363636365,0.625,0.125,0.2236,0.625,0.125,0.2236,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.09090909090909091,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2727272727272727,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
