student_answer,teacher_answer,label,question_id,q_answer,q_stopwords,q_stemmed,q_stem_ordered
It will change the pitch.,"When the string is tighter, the pitch will be higher.",0,12,It will change the pitch.,change pitch,chang pitch,chang pitch
The pitch will change by the way she plucks it.,"When the string is tighter, the pitch will be higher.",0,12,It will change the pitch.,pitch change way plucks,pitch chang way pluck,chang pitch pluck way
The pitch would be low.,"When the string is tighter, the pitch will be higher.",0,12,It will change the pitch.,pitch low,pitch low,low pitch
The pitch will get high.,"When the string is tighter, the pitch will be higher.",1,12,It will change the pitch.,pitch high,pitch high,high pitch
Higher pitch.,"When the string is tighter, the pitch will be higher.",1,12,It will change the pitch.,higher pitch,higher pitch,higher pitch
It would have a higher pitch.,"When the string is tighter, the pitch will be higher.",1,12,It will change the pitch.,higher pitch,higher pitch,higher pitch
It would make a higher pitch.,"When the string is tighter, the pitch will be higher.",1,12,It will change the pitch.,higher pitch,higher pitch,higher pitch
The pitch would be lower because it has less room to vibrate.,"When the string is tighter, the pitch will be higher.",0,12,It will change the pitch.,pitch lower room vibrate,pitch lower room vibrat,lower pitch room vibrat
The pitch would get higher.,"When the string is tighter, the pitch will be higher.",1,12,It will change the pitch.,pitch higher,pitch higher,higher pitch
It would be lower.,"When the string is tighter, the pitch will be higher.",0,12,It will change the pitch.,lower,lower,lower
It would make a higher pitch.,"When the string is tighter, the pitch will be higher.",1,12,It will change the pitch.,higher pitch,higher pitch,higher pitch
It would be a higher pitch.,"When the string is tighter, the pitch will be higher.",1,12,It will change the pitch.,higher pitch,higher pitch,higher pitch
It would sound louder.,"When the string is tighter, the pitch will be higher.",0,12,It will change the pitch.,sound louder,sound louder,louder sound
It would be lower.,"When the string is tighter, the pitch will be higher.",0,12,It will change the pitch.,lower,lower,lower
It would become a higher pitch from when she did not have it tight.,"When the string is tighter, the pitch will be higher.",1,12,It will change the pitch.,higher pitch tight,higher pitch tight,higher pitch tight
It would be a higher pitch.,"When the string is tighter, the pitch will be higher.",1,12,It will change the pitch.,higher pitch,higher pitch,higher pitch
It would be high pitch.,"When the string is tighter, the pitch will be higher.",1,12,It will change the pitch.,high pitch,high pitch,high pitch
High pitch.,"When the string is tighter, the pitch will be higher.",1,12,It will change the pitch.,high pitch,high pitch,high pitch
It would change to a high pitch.,"When the string is tighter, the pitch will be higher.",1,12,It will change the pitch.,change high pitch,chang high pitch,chang high pitch
It would be low.,"When the string is tighter, the pitch will be higher.",0,12,It will change the pitch.,low,low,low
It would be a high pitch.,"When the string is tighter, the pitch will be higher.",1,12,It will change the pitch.,high pitch,high pitch,high pitch
The string gets higher.,"When the string is tighter, the pitch will be higher.",0,12,It will change the pitch.,string gets higher,string get higher,get higher string
A high pitch.,"When the string is tighter, the pitch will be higher.",1,12,It will change the pitch.,high pitch,high pitch,high pitch
It would have a higher pitch.,"When the string is tighter, the pitch will be higher.",1,12,It will change the pitch.,higher pitch,higher pitch,higher pitch
It would make a higher pitch.,"When the string is tighter, the pitch will be higher.",1,12,It will change the pitch.,higher pitch,higher pitch,higher pitch
Medium.,"When the string is tighter, the pitch will be higher.",0,12,It will change the pitch.,medium,medium,medium
The pitch was higher.,"When the string is tighter, the pitch will be higher.",1,12,It will change the pitch.,pitch higher,pitch higher,higher pitch
The sound would be higher.,"When the string is tighter, the pitch will be higher.",1,12,It will change the pitch.,sound higher,sound higher,higher sound
It would be lower.,"When the string is tighter, the pitch will be higher.",0,12,It will change the pitch.,lower,lower,lower
The sound will be a high pitch.,"When the string is tighter, the pitch will be higher.",1,12,It will change the pitch.,sound high pitch,sound high pitch,high pitch sound
The pitch would go higher.,"When the string is tighter, the pitch will be higher.",1,12,It will change the pitch.,pitch higher,pitch higher,higher pitch
The pitch will go low.,"When the string is tighter, the pitch will be higher.",0,12,It will change the pitch.,pitch low,pitch low,low pitch
The volume changes.,"When the string is tighter, the pitch will be higher.",0,12,It will change the pitch.,volume changes,volum chang,chang volum
It would make a high pitch if Darla pull the string tighter.,"When the string is tighter, the pitch will be higher.",1,12,It will change the pitch.,high pitch darla pull string tighter,high pitch darla pull string tighter,darla high pitch pull string tighter
It will be higher pitch.,"When the string is tighter, the pitch will be higher.",1,12,It will change the pitch.,higher pitch,higher pitch,higher pitch
It would become higher.,"When the string is tighter, the pitch will be higher.",1,12,It will change the pitch.,higher,higher,higher
"When the string is tighter, the pitch will be higher.","When the string is tighter, the pitch will be higher.",1,12,It will change the pitch.,string tighter pitch higher,string tighter pitch higher,higher pitch string tighter
