wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_wendi,q_stemmed_has_hook,q_stemmed_has_end,q_stemmed_has_wire,q_stemmed_has_neg,q_stemmed_has_dcell,q_stemmed_has_batteri,q_stemmed_has_posit,q_stemmed_has_wendi_hook,q_stemmed_has_hook_end,q_stemmed_has_end_wire,q_stemmed_has_wire_neg,q_stemmed_has_neg_dcell,q_stemmed_has_dcell_batteri,q_stemmed_has_batteri_end,q_stemmed_has_end_posit,q_stemmed_has_posit_dcell,q_stemmed_has_wendi_hook_end,q_stemmed_has_hook_end_wire,q_stemmed_has_end_wire_neg,q_stemmed_has_wire_neg_dcell,q_stemmed_has_neg_dcell_batteri,q_stemmed_has_dcell_batteri_end,q_stemmed_has_batteri_end_posit,q_stemmed_has_end_posit_dcell,q_stemmed_has_posit_dcell_batteri,q_stem_ordered_has_batteri,q_stem_ordered_has_dcell,q_stem_ordered_has_end,q_stem_ordered_has_hook,q_stem_ordered_has_neg,q_stem_ordered_has_posit,q_stem_ordered_has_wendi,q_stem_ordered_has_wire,q_stem_ordered_has_batteri_batteri,q_stem_ordered_has_batteri_dcell,q_stem_ordered_has_dcell_dcell,q_stem_ordered_has_dcell_end,q_stem_ordered_has_end_end,q_stem_ordered_has_end_hook,q_stem_ordered_has_hook_neg,q_stem_ordered_has_neg_posit,q_stem_ordered_has_posit_wendi,q_stem_ordered_has_wendi_wire,q_stem_ordered_has_batteri_batteri_dcell,q_stem_ordered_has_batteri_dcell_dcell,q_stem_ordered_has_dcell_dcell_end,q_stem_ordered_has_dcell_end_end,q_stem_ordered_has_end_end_hook,q_stem_ordered_has_end_hook_neg,q_stem_ordered_has_hook_neg_posit,q_stem_ordered_has_neg_posit_wendi,q_stem_ordered_has_posit_wendi_wire
0.0,0.125,0.125,0.3536,0.125,0.125,0.3536,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.21428571428571427,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.7142857142857143,0.2857142857142857,0.4472,0.7142857142857143,0.2857142857142857,0.4472,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.6363636363636364,0.36363636363636365,0.5345,0.6363636363636364,0.36363636363636365,0.5345,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.07142857142857142,0.25,0.25,0.5,0.25,0.25,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.21428571428571427,0.4,0.2,0.3536,0.4,0.2,0.3536,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.14285714285714285,0.3,0.1,0.2041,0.3,0.1,0.2041,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.6153846153846154,0.23076923076923078,0.375,0.6153846153846154,0.23076923076923078,0.375,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.9285714285714286,0.6428571428571429,0.21428571428571427,0.3536,0.6428571428571429,0.21428571428571427,0.3536,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7857142857142857,0.5833333333333334,0.25,0.4009,0.5833333333333334,0.25,0.4009,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
