wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_dissolv,q_stemmed_has_salt,q_stemmed_has_particl,q_stemmed_has_small,q_stemmed_has_hole,q_stemmed_has_filter,q_stemmed_has_paper,q_stemmed_has_sand,q_stemmed_has_larg,q_stemmed_has_dissolv_salt,q_stemmed_has_salt_particl,q_stemmed_has_particl_small,q_stemmed_has_small_hole,q_stemmed_has_hole_filter,q_stemmed_has_filter_paper,q_stemmed_has_paper_sand,q_stemmed_has_sand_particl,q_stemmed_has_particl_larg,q_stemmed_has_dissolv_salt_particl,q_stemmed_has_salt_particl_small,q_stemmed_has_particl_small_hole,q_stemmed_has_small_hole_filter,q_stemmed_has_hole_filter_paper,q_stemmed_has_filter_paper_sand,q_stemmed_has_paper_sand_particl,q_stemmed_has_sand_particl_larg,q_stem_ordered_has_dissolv,q_stem_ordered_has_filter,q_stem_ordered_has_hole,q_stem_ordered_has_larg,q_stem_ordered_has_paper,q_stem_ordered_has_particl,q_stem_ordered_has_salt,q_stem_ordered_has_sand,q_stem_ordered_has_small,q_stem_ordered_has_dissolv_filter,q_stem_ordered_has_filter_hole,q_stem_ordered_has_hole_larg,q_stem_ordered_has_larg_paper,q_stem_ordered_has_paper_particl,q_stem_ordered_has_particl_particl,q_stem_ordered_has_particl_salt,q_stem_ordered_has_salt_sand,q_stem_ordered_has_sand_small,q_stem_ordered_has_dissolv_filter_hole,q_stem_ordered_has_filter_hole_larg,q_stem_ordered_has_hole_larg_paper,q_stem_ordered_has_larg_paper_particl,q_stem_ordered_has_paper_particl_particl,q_stem_ordered_has_particl_particl_salt,q_stem_ordered_has_particl_salt_sand,q_stem_ordered_has_salt_sand_small
0.07692307692307693,0.2222222222222222,0.2222222222222222,0.4714,0.2222222222222222,0.2222222222222222,0.4714,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07692307692307693,0.3,0.2,0.3849,0.3,0.2,0.3849,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.15384615384615385,0.4,0.3,0.5,0.4,0.3,0.5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.3076923076923077,0.4166666666666667,0.16666666666666666,0.2981,0.4166666666666667,0.16666666666666666,0.2981,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.15384615384615385,0.3333333333333333,0.08333333333333333,0.1667,0.3333333333333333,0.08333333333333333,0.1667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.46153846153846156,0.46153846153846156,0.15384615384615385,0.2722,0.46153846153846156,0.15384615384615385,0.2722,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7692307692307693,0.7692307692307693,0.46153846153846156,0.6325,0.7692307692307693,0.46153846153846156,0.6325,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0
0.15384615384615385,0.36363636363636365,0.18181818181818182,0.3333,0.36363636363636365,0.18181818181818182,0.3333,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.23076923076923078,0.5,0.4,0.5963,0.5,0.4,0.5963,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.3076923076923077,0.4166666666666667,0.16666666666666666,0.2981,0.4166666666666667,0.16666666666666666,0.2981,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6153846153846154,0.6923076923076923,0.38461538461538464,0.5556,0.6923076923076923,0.38461538461538464,0.5556,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.46153846153846156,0.5333333333333333,0.13333333333333333,0.2357,0.5333333333333333,0.13333333333333333,0.2357,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.9230769230769232,0.8125,0.375,0.5547,0.8125,0.375,0.5547,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
1.0,0.6842105263157895,0.15789473684210525,0.2774,0.6842105263157895,0.15789473684210525,0.2774,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07692307692307693,0.2727272727272727,0.09090909090909091,0.1925,0.2727272727272727,0.09090909090909091,0.1925,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15384615384615385,0.36363636363636365,0.18181818181818182,0.3333,0.36363636363636365,0.18181818181818182,0.3333,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07692307692307693,0.3,0.2,0.3849,0.3,0.2,0.3849,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.23076923076923078,0.36363636363636365,0.18181818181818182,0.3333,0.36363636363636365,0.18181818181818182,0.3333,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
0.15384615384615385,0.36363636363636365,0.18181818181818182,0.3333,0.36363636363636365,0.18181818181818182,0.3333,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.23076923076923078,0.3333333333333333,0.08333333333333333,0.1667,0.3333333333333333,0.08333333333333333,0.1667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3076923076923077,0.5,0.25,0.4082,0.5,0.25,0.4082,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.23076923076923078,0.3333333333333333,0.08333333333333333,0.1667,0.3333333333333333,0.08333333333333333,0.1667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.23076923076923078,0.5,0.4,0.5963,0.5,0.4,0.5963,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
0.23076923076923078,0.36363636363636365,0.18181818181818182,0.3333,0.36363636363636365,0.18181818181818182,0.3333,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.18181818181818182,0.0,0.0,0.18181818181818182,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15384615384615385,0.3,0.2,0.3849,0.3,0.2,0.3849,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.3076923076923077,0.5,0.25,0.4082,0.5,0.25,0.4082,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.15384615384615385,0.4,0.3,0.5,0.4,0.3,0.5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.23076923076923078,0.4166666666666667,0.16666666666666666,0.2981,0.4166666666666667,0.16666666666666666,0.2981,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.6923076923076924,0.5,0.25,0.4082,0.5,0.25,0.4082,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.46153846153846156,0.5714285714285714,0.21428571428571427,0.3536,0.5714285714285714,0.21428571428571427,0.3536,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
0.07692307692307693,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6153846153846154,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
