wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_complet,q_stemmed_has_circuit,q_stemmed_has_connect,q_stemmed_has_motor,q_stemmed_has_dcell,q_stemmed_has_batteri,q_stemmed_has_complet_circuit,q_stemmed_has_circuit_connect,q_stemmed_has_connect_motor,q_stemmed_has_motor_dcell,q_stemmed_has_dcell_batteri,q_stemmed_has_complet_circuit_connect,q_stemmed_has_circuit_connect_motor,q_stemmed_has_connect_motor_dcell,q_stemmed_has_motor_dcell_batteri,q_stem_ordered_has_batteri,q_stem_ordered_has_circuit,q_stem_ordered_has_complet,q_stem_ordered_has_connect,q_stem_ordered_has_dcell,q_stem_ordered_has_motor,q_stem_ordered_has_batteri_circuit,q_stem_ordered_has_circuit_complet,q_stem_ordered_has_complet_connect,q_stem_ordered_has_connect_dcell,q_stem_ordered_has_dcell_motor,q_stem_ordered_has_batteri_circuit_complet,q_stem_ordered_has_circuit_complet_connect,q_stem_ordered_has_complet_connect_dcell,q_stem_ordered_has_connect_dcell_motor
0.33333333333333337,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16666666666666666,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.4,0.0,0.0,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.5714285714285714,0.42857142857142855,0.6124,0.5714285714285714,0.42857142857142855,0.6124,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
0.33333333333333337,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8333333333333334,0.7142857142857143,0.5714285714285714,0.7303,0.7142857142857143,0.5714285714285714,0.7303,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0
0.0,0.16666666666666666,0.16666666666666666,0.4082,0.16666666666666666,0.16666666666666666,0.4082,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.33333333333333337,0.42857142857142855,0.2857142857142857,0.4714,0.42857142857142855,0.2857142857142857,0.4714,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
0.9999999999999999,0.6363636363636364,0.18181818181818182,0.3086,0.6363636363636364,0.18181818181818182,0.3086,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
0.16666666666666666,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
