wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_fruiti,q_stemmed_has_cream,q_stemmed_has_cooki,q_stemmed_has_pure,q_stemmed_has_sugar,q_stemmed_has_produc,q_stemmed_has_ga,q_stemmed_has_fruiti_cream,q_stemmed_has_cream_cooki,q_stemmed_has_cooki_pure,q_stemmed_has_pure_sugar,q_stemmed_has_sugar_cooki,q_stemmed_has_cooki_produc,q_stemmed_has_produc_ga,q_stemmed_has_ga_produc,q_stemmed_has_produc_pure,q_stemmed_has_fruiti_cream_cooki,q_stemmed_has_cream_cooki_pure,q_stemmed_has_cooki_pure_sugar,q_stemmed_has_pure_sugar_cooki,q_stemmed_has_sugar_cooki_produc,q_stemmed_has_cooki_produc_ga,q_stemmed_has_produc_ga_produc,q_stemmed_has_ga_produc_pure,q_stemmed_has_produc_pure_sugar,q_stem_ordered_has_cooki,q_stem_ordered_has_cream,q_stem_ordered_has_fruiti,q_stem_ordered_has_ga,q_stem_ordered_has_produc,q_stem_ordered_has_pure,q_stem_ordered_has_sugar,q_stem_ordered_has_cooki_cooki,q_stem_ordered_has_cooki_cream,q_stem_ordered_has_cream_fruiti,q_stem_ordered_has_fruiti_ga,q_stem_ordered_has_ga_produc,q_stem_ordered_has_produc_produc,q_stem_ordered_has_produc_pure,q_stem_ordered_has_pure_pure,q_stem_ordered_has_pure_sugar,q_stem_ordered_has_sugar_sugar,q_stem_ordered_has_cooki_cooki_cream,q_stem_ordered_has_cooki_cream_fruiti,q_stem_ordered_has_cream_fruiti_ga,q_stem_ordered_has_fruiti_ga_produc,q_stem_ordered_has_ga_produc_produc,q_stem_ordered_has_produc_produc_pure,q_stem_ordered_has_produc_pure_pure,q_stem_ordered_has_pure_pure_sugar,q_stem_ordered_has_pure_sugar_sugar
0.5833333333333333,0.8181818181818182,0.45454545454545453,0.6299,0.8181818181818182,0.45454545454545453,0.6299,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0.41666666666666663,0.5454545454545454,0.18181818181818182,0.3086,0.5454545454545454,0.18181818181818182,0.3086,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
0.5,0.6363636363636364,0.2727272727272727,0.4286,0.6363636363636364,0.2727272727272727,0.4286,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
0.5833333333333333,0.8,0.5,0.6682,0.8,0.5,0.6682,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1
0.5,0.8,0.5,0.6682,0.8,0.5,0.6682,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0.5,0.6,0.3,0.4629,0.6,0.3,0.4629,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
0.8333333333333333,0.8333333333333334,0.4166666666666667,0.5976,0.8333333333333334,0.4166666666666667,0.5976,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.41666666666666663,0.5454545454545454,0.18181818181818182,0.3086,0.5454545454545454,0.18181818181818182,0.3086,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
0.25,0.5454545454545454,0.18181818181818182,0.3086,0.5454545454545454,0.18181818181818182,0.3086,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08333333333333331,0.4444444444444444,0.2222222222222222,0.378,0.4444444444444444,0.2222222222222222,0.378,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.6666666666666666,0.7777777777777778,0.5555555555555556,0.7143,0.7777777777777778,0.5555555555555556,0.7143,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1
0.9166666666666665,0.8181818181818182,0.45454545454545453,0.6299,0.8181818181818182,0.45454545454545453,0.6299,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
0.5833333333333333,0.7777777777777778,0.5555555555555556,0.7143,0.7777777777777778,0.5555555555555556,0.7143,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1
0.25,0.6666666666666666,0.4444444444444444,0.6172,0.6666666666666666,0.4444444444444444,0.6172,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.33333333333333326,0.7777777777777778,0.5555555555555556,0.7143,0.7777777777777778,0.5555555555555556,0.7143,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.7777777777777778,0.5555555555555556,0.7143,0.7777777777777778,0.5555555555555556,0.7143,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.16666666666666663,0.625,0.5,0.6761,0.625,0.5,0.6761,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.41666666666666663,0.6153846153846154,0.15384615384615385,0.2673,0.6153846153846154,0.15384615384615385,0.2673,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08333333333333331,0.4444444444444444,0.2222222222222222,0.378,0.4444444444444444,0.2222222222222222,0.378,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.8333333333333333,0.8333333333333334,0.4166666666666667,0.5976,0.8333333333333334,0.4166666666666667,0.5976,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
