wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_peopl,q_stemmed_has_notic,q_stemmed_has_sound,q_stemmed_has_peopl_notic,q_stemmed_has_notic_sound,q_stemmed_has_peopl_notic_sound,q_stem_ordered_has_notic,q_stem_ordered_has_peopl,q_stem_ordered_has_sound,q_stem_ordered_has_notic_peopl,q_stem_ordered_has_peopl_sound,q_stem_ordered_has_notic_peopl_sound
0.5714285714285714,0.7142857142857143,0.14285714285714285,0.2582,0.7142857142857143,0.14285714285714285,0.2582,1,0,0,0,0,0,0,1,0,0,0,0
0.0,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,0,0,1,0,0,0,0,0,1,0,0,0
0.7142857142857142,0.7142857142857143,0.14285714285714285,0.2582,0.7142857142857143,0.14285714285714285,0.2582,1,0,0,0,0,0,0,1,0,0,0,0
0.42857142857142855,0.6666666666666666,0.16666666666666666,0.2887,0.6666666666666666,0.16666666666666666,0.2887,0,0,1,0,0,0,0,0,1,0,0,0
0.14285714285714285,0.5,0.25,0.4082,0.5,0.25,0.4082,1,0,0,0,0,0,0,1,0,0,0,0
0.42857142857142855,0.5714285714285714,0.0,0.0,0.5714285714285714,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.5714285714285714,0.7142857142857143,0.14285714285714285,0.2582,0.7142857142857143,0.14285714285714285,0.2582,1,0,0,0,0,0,0,1,0,0,0,0
0.0,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.42857142857142855,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.14285714285714285,0.5,0.25,0.4082,0.5,0.25,0.4082,1,0,0,0,0,0,0,1,0,0,0,0
0.7142857142857142,0.75,0.125,0.2357,0.75,0.125,0.2357,1,0,0,0,0,0,0,1,0,0,0,0
0.2857142857142857,0.6,0.2,0.3333,0.6,0.2,0.3333,1,0,0,0,0,0,0,1,0,0,0,0
0.14285714285714285,0.4,0.0,0.0,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.2857142857142857,0.6,0.2,0.3333,0.6,0.2,0.3333,1,0,0,0,0,0,0,1,0,0,0,0
0.5714285714285714,0.625,0.0,0.0,0.625,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.5714285714285714,0.625,0.0,0.0,0.625,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.14285714285714285,0.4,0.0,0.0,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.14285714285714285,0.5,0.25,0.4082,0.5,0.25,0.4082,1,0,0,0,0,0,0,1,0,0,0,0
0.14285714285714285,0.5,0.25,0.4082,0.5,0.25,0.4082,1,0,0,0,0,0,0,1,0,0,0,0
0.14285714285714285,0.5,0.25,0.4082,0.5,0.25,0.4082,1,0,0,0,0,0,0,1,0,0,0,0
0.14285714285714285,0.5,0.25,0.4082,0.5,0.25,0.4082,1,0,0,0,0,0,0,1,0,0,0,0
0.2857142857142857,0.6,0.2,0.3333,0.6,0.2,0.3333,1,0,0,0,0,0,0,1,0,0,0,0
0.8571428571428572,0.7777777777777778,0.1111111111111111,0.2182,0.7777777777777778,0.1111111111111111,0.2182,1,0,0,0,0,0,0,1,0,0,0,0
0.2857142857142857,0.6,0.2,0.3333,0.6,0.2,0.3333,1,0,0,0,0,0,0,1,0,0,0,0
0.2857142857142857,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.14285714285714285,0.4,0.0,0.0,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.42857142857142855,0.5714285714285714,0.0,0.0,0.5714285714285714,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.14285714285714285,0.5,0.25,0.4082,0.5,0.25,0.4082,1,0,0,0,0,0,0,1,0,0,0,0
0.5714285714285714,0.6,0.2,0.3333,0.6,0.2,0.3333,1,0,0,0,0,0,0,1,0,0,0,0
0.5714285714285714,0.6666666666666666,0.16666666666666666,0.2887,0.6666666666666666,0.16666666666666666,0.2887,1,0,0,0,0,0,0,1,0,0,0,0
1.0,0.875,0.25,0.4364,0.875,0.25,0.4364,1,0,1,0,0,0,0,1,1,0,0,0
0.14285714285714285,0.5,0.25,0.4082,0.5,0.25,0.4082,1,0,0,0,0,0,0,1,0,0,0,0
0.42857142857142855,0.6666666666666666,0.16666666666666666,0.2887,0.6666666666666666,0.16666666666666666,0.2887,1,0,0,0,0,0,0,1,0,0,0,0
0.14285714285714285,0.4,0.0,0.0,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0.2857142857142857,0.6,0.2,0.3333,0.6,0.2,0.3333,1,0,0,0,0,0,0,1,0,0,0,0
0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1
