student_answer,teacher_answer,label,question_id,q_answer,q_stopwords,q_stemmed,q_stem_ordered
2. Trace the model onto the overlay grid. 4. And copy the overlay grid onto the smaller grid that is in your notebook.,2: Trace the features from the photograph onto the overlay grid. 4: Transfer the features to the matching squares on the smaller grid in your notebook.,1,98,2. Trace the model onto the overlay grid. 4. And copy the overlay grid onto the smaller grid that is in your notebook.,2 trace model overlay grid 4 copy overlay grid smaller grid notebook,2 trace model overlay grid 4 copi overlay grid smaller grid notebook,2 4 copi grid grid grid model notebook overlay overlay smaller trace
2. And trace it but make it littler.,2: Trace the features from the photograph onto the overlay grid. 4: Transfer the features to the matching squares on the smaller grid in your notebook.,0,98,2. Trace the model onto the overlay grid. 4. And copy the overlay grid onto the smaller grid that is in your notebook.,2 trace littler,2 trace littler,2 littler trace
2. Copy it in the journal. 4. Draw any boundaries that you need.,2: Trace the features from the photograph onto the overlay grid. 4: Transfer the features to the matching squares on the smaller grid in your notebook.,0,98,2. Trace the model onto the overlay grid. 4. And copy the overlay grid onto the smaller grid that is in your notebook.,2 copy journal 4 draw boundaries need,2 copi journal 4 draw boundari need,2 4 boundari copi draw journal need
2. Trace the grid with a marker on the overlay grid. 4. Color the smaller grid.,2: Trace the features from the photograph onto the overlay grid. 4: Transfer the features to the matching squares on the smaller grid in your notebook.,0,98,2. Trace the model onto the overlay grid. 4. And copy the overlay grid onto the smaller grid that is in your notebook.,2 trace grid marker overlay grid 4 color smaller grid,2 trace grid marker overlay grid 4 color smaller grid,2 4 color grid grid grid marker overlay smaller trace
2. Draw your model on the overlay grid. 4. Draw it.,2: Trace the features from the photograph onto the overlay grid. 4: Transfer the features to the matching squares on the smaller grid in your notebook.,0,98,2. Trace the model onto the overlay grid. 4. And copy the overlay grid onto the smaller grid that is in your notebook.,2 draw model overlay grid 4 draw,2 draw model overlay grid 4 draw,2 4 draw draw grid model overlay
2. Trace every detail to the overlay grid. 4. Make the drawing of the overlay grid on the smaller grid with the same coordinates.,2: Trace the features from the photograph onto the overlay grid. 4: Transfer the features to the matching squares on the smaller grid in your notebook.,1,98,2. Trace the model onto the overlay grid. 4. And copy the overlay grid onto the smaller grid that is in your notebook.,2 trace detail overlay grid 4 drawing overlay grid smaller grid coordinates,2 trace detail overlay grid 4 draw overlay grid smaller grid coordin,2 4 coordin detail draw grid grid grid overlay overlay smaller trace
2. And trace it the into your book. 4. And a key.,2: Trace the features from the photograph onto the overlay grid. 4: Transfer the features to the matching squares on the smaller grid in your notebook.,0,98,2. Trace the model onto the overlay grid. 4. And copy the overlay grid onto the smaller grid that is in your notebook.,2 trace book 4 key,2 trace book 4 key,2 4 book key trace
2. Then trace it. 4. Then add detail.,2: Trace the features from the photograph onto the overlay grid. 4: Transfer the features to the matching squares on the smaller grid in your notebook.,0,98,2. Trace the model onto the overlay grid. 4. And copy the overlay grid onto the smaller grid that is in your notebook.,2 trace 4 add detail,2 trace 4 add detail,2 4 add detail trace
2. Do not put so much detail. 4. He can put on side on 2 pages and the other on the other 2 pages.,2: Trace the features from the photograph onto the overlay grid. 4: Transfer the features to the matching squares on the smaller grid in your notebook.,0,98,2. Trace the model onto the overlay grid. 4. And copy the overlay grid onto the smaller grid that is in your notebook.,2 detail 4 2 pages 2 pages,2 detail 4 2 page 2 page,2 2 2 4 detail page page
2. Copy it to his grid. 4. Copy that to the notebook.,2: Trace the features from the photograph onto the overlay grid. 4: Transfer the features to the matching squares on the smaller grid in your notebook.,0,98,2. Trace the model onto the overlay grid. 4. And copy the overlay grid onto the smaller grid that is in your notebook.,2 copy grid 4 copy notebook,2 copi grid 4 copi notebook,2 4 copi copi grid notebook
2. Put a compass rose on the map. 4. Trace the grid on the notebook.,2: Trace the features from the photograph onto the overlay grid. 4: Transfer the features to the matching squares on the smaller grid in your notebook.,0,98,2. Trace the model onto the overlay grid. 4. And copy the overlay grid onto the smaller grid that is in your notebook.,2 compass rose map 4 trace grid notebook,2 compass rose map 4 trace grid notebook,2 4 compass grid map notebook rose trace
2. Then trace the model. 4. You draw the map like the overlay grid.,2: Trace the features from the photograph onto the overlay grid. 4: Transfer the features to the matching squares on the smaller grid in your notebook.,0,98,2. Trace the model onto the overlay grid. 4. And copy the overlay grid onto the smaller grid that is in your notebook.,2 trace model 4 draw map like overlay grid,2 trace model 4 draw map like overlay grid,2 4 draw grid like map model overlay trace
2. The trace the things like the places. 4. The draw the thing on where it is.,2: Trace the features from the photograph onto the overlay grid. 4: Transfer the features to the matching squares on the smaller grid in your notebook.,0,98,2. Trace the model onto the overlay grid. 4. And copy the overlay grid onto the smaller grid that is in your notebook.,2 trace things like places 4 draw thing,2 trace thing like place 4 draw thing,2 4 draw like place thing thing trace
2. Copy all objects from a bird's eye view. 4. See what square has what in it and copy it in the same square on the smaller one.,2: Trace the features from the photograph onto the overlay grid. 4: Transfer the features to the matching squares on the smaller grid in your notebook.,0,98,2. Trace the model onto the overlay grid. 4. And copy the overlay grid onto the smaller grid that is in your notebook.,2 copy objects birds eye view 4 square copy square smaller,2 copi object bird eye view 4 squar copi squar smaller,2 4 bird copi copi eye object smaller squar squar view
2. Trace over with a marker or Sharpie. 4. Color it.,2: Trace the features from the photograph onto the overlay grid. 4: Transfer the features to the matching squares on the smaller grid in your notebook.,0,98,2. Trace the model onto the overlay grid. 4. And copy the overlay grid onto the smaller grid that is in your notebook.,2 trace marker sharpie 4 color,2 trace marker sharpi 4 color,2 4 color marker sharpi trace
2. Measure your photo and your notebook. 4. Then draw everything smaller onto your notebook paper.,2: Trace the features from the photograph onto the overlay grid. 4: Transfer the features to the matching squares on the smaller grid in your notebook.,0,98,2. Trace the model onto the overlay grid. 4. And copy the overlay grid onto the smaller grid that is in your notebook.,2 measure photo notebook 4 draw smaller notebook paper,2 measur photo notebook 4 draw smaller notebook paper,2 4 draw measur notebook notebook paper photo smaller
2. Copy the thing under the grid on the grid. 4. Actually draw it.,2: Trace the features from the photograph onto the overlay grid. 4: Transfer the features to the matching squares on the smaller grid in your notebook.,0,98,2. Trace the model onto the overlay grid. 4. And copy the overlay grid onto the smaller grid that is in your notebook.,2 copy thing grid grid 4 actually draw,2 copi thing grid grid 4 actual draw,2 4 actual copi draw grid grid thing
2. Trace over the objects on the model. Only trace the outline of the objects. 4. Redraw the traced figures on your small grid.,2: Trace the features from the photograph onto the overlay grid. 4: Transfer the features to the matching squares on the smaller grid in your notebook.,0,98,2. Trace the model onto the overlay grid. 4. And copy the overlay grid onto the smaller grid that is in your notebook.,2 trace objects model trace outline objects 4 redraw traced figures small grid,2 trace object model trace outlin object 4 redraw trace figur small grid,2 4 figur grid model object object outlin redraw small trace trace trace
2. Label the places on the grid. 4. And label them and then color them.,2: Trace the features from the photograph onto the overlay grid. 4: Transfer the features to the matching squares on the smaller grid in your notebook.,0,98,2. Trace the model onto the overlay grid. 4. And copy the overlay grid onto the smaller grid that is in your notebook.,2 label places grid 4 label color,2 label place grid 4 label color,2 4 color grid label label place
2. Trace the structures onto the overlay grid. 4. Look at the smaller grid and draw the structures in the notebook.,2: Trace the features from the photograph onto the overlay grid. 4: Transfer the features to the matching squares on the smaller grid in your notebook.,1,98,2. Trace the model onto the overlay grid. 4. And copy the overlay grid onto the smaller grid that is in your notebook.,2 trace structures overlay grid 4 look smaller grid draw structures notebook,2 trace structur overlay grid 4 look smaller grid draw structur notebook,2 4 draw grid grid look notebook overlay smaller structur structur trace
2. Get a writing utensil. 4. Trace the model.,2: Trace the features from the photograph onto the overlay grid. 4: Transfer the features to the matching squares on the smaller grid in your notebook.,0,98,2. Trace the model onto the overlay grid. 4. And copy the overlay grid onto the smaller grid that is in your notebook.,2 writing utensil 4 trace model,2 write utensil 4 trace model,2 4 model trace utensil write
2. Copy the pitcher onto the grid paper. 4. Make a little model that could maybe be flat then pop up.,2: Trace the features from the photograph onto the overlay grid. 4: Transfer the features to the matching squares on the smaller grid in your notebook.,0,98,2. Trace the model onto the overlay grid. 4. And copy the overlay grid onto the smaller grid that is in your notebook.,2 copy pitcher grid paper 4 little model maybe flat pop,2 copi pitcher grid paper 4 littl model mayb flat pop,2 4 copi flat grid littl mayb model paper pitcher pop
2. Put everything on scale and draw a map. 4. Draw the map to look like the previous one.,2: Trace the features from the photograph onto the overlay grid. 4: Transfer the features to the matching squares on the smaller grid in your notebook.,0,98,2. Trace the model onto the overlay grid. 4. And copy the overlay grid onto the smaller grid that is in your notebook.,2 scale draw map 4 draw map look like previous,2 scale draw map 4 draw map look like previou,2 4 draw draw like look map map previou scale
2. Draw everything on the big map on the overlay grid. 4. Copy the drawings from the overlay grid on to the grid on your notebook paper.,2: Trace the features from the photograph onto the overlay grid. 4: Transfer the features to the matching squares on the smaller grid in your notebook.,0,98,2. Trace the model onto the overlay grid. 4. And copy the overlay grid onto the smaller grid that is in your notebook.,2 draw big map overlay grid 4 copy drawings overlay grid grid notebook paper,2 draw big map overlay grid 4 copi draw overlay grid grid notebook paper,2 4 big copi draw draw grid grid grid map notebook overlay overlay paper
2. He can get a smaller picture of his neighbor.,2: Trace the features from the photograph onto the overlay grid. 4: Transfer the features to the matching squares on the smaller grid in your notebook.,0,98,2. Trace the model onto the overlay grid. 4. And copy the overlay grid onto the smaller grid that is in your notebook.,2 smaller picture neighbor,2 smaller pictur neighbor,2 neighbor pictur smaller
"2. Draw where everything is, on the overlay. 4. Try to copy the exact locations as the higher grid on the smaller grid.",2: Trace the features from the photograph onto the overlay grid. 4: Transfer the features to the matching squares on the smaller grid in your notebook.,0,98,2. Trace the model onto the overlay grid. 4. And copy the overlay grid onto the smaller grid that is in your notebook.,2 draw overlay 4 try copy exact locations higher grid smaller grid,2 draw overlay 4 tri copi exact locat higher grid smaller grid,2 4 copi draw exact grid grid higher locat overlay smaller tri
2. Use the blocks and draw the picture on the blocks of the overlay sheet. 4. Draw what you have on that sheet you just did in your notebook.,2: Trace the features from the photograph onto the overlay grid. 4: Transfer the features to the matching squares on the smaller grid in your notebook.,0,98,2. Trace the model onto the overlay grid. 4. And copy the overlay grid onto the smaller grid that is in your notebook.,2 use blocks draw picture blocks overlay sheet 4 draw sheet notebook,2 use block draw pictur block overlay sheet 4 draw sheet notebook,2 4 block block draw draw notebook overlay pictur sheet sheet use
2. Trace over with marker on overlay. 4. Then draw what is on your overlay in pencil in your notebook.,2: Trace the features from the photograph onto the overlay grid. 4: Transfer the features to the matching squares on the smaller grid in your notebook.,0,98,2. Trace the model onto the overlay grid. 4. And copy the overlay grid onto the smaller grid that is in your notebook.,2 trace marker overlay 4 draw overlay pencil notebook,2 trace marker overlay 4 draw overlay pencil notebook,2 4 draw marker notebook overlay overlay pencil trace
2. See how much square cubes on the overlay grid fit in the photograph. 2. Count how much fits in the smaller cubes.,2: Trace the features from the photograph onto the overlay grid. 4: Transfer the features to the matching squares on the smaller grid in your notebook.,0,98,2. Trace the model onto the overlay grid. 4. And copy the overlay grid onto the smaller grid that is in your notebook.,2 square cubes overlay grid fit photograph 2 count fits smaller cubes,2 squar cube overlay grid fit photograph 2 count fit smaller cube,2 2 count cube cube fit fit grid overlay photograph smaller squar
