wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_peopl,q_stemmed_has_know,q_stemmed_has_exactli,q_stemmed_has_measur,q_stemmed_has_mean,q_stemmed_has_standard,q_stemmed_has_necessari,q_stemmed_has_unit,q_stemmed_has_get,q_stemmed_has_peopl_know,q_stemmed_has_know_exactli,q_stemmed_has_exactli_measur,q_stemmed_has_measur_mean,q_stemmed_has_mean_standard,q_stemmed_has_standard_necessari,q_stemmed_has_necessari_measur,q_stemmed_has_measur_unit,q_stemmed_has_unit_get,q_stemmed_has_get_measur,q_stemmed_has_peopl_know_exactli,q_stemmed_has_know_exactli_measur,q_stemmed_has_exactli_measur_mean,q_stemmed_has_measur_mean_standard,q_stemmed_has_mean_standard_necessari,q_stemmed_has_standard_necessari_measur,q_stemmed_has_necessari_measur_unit,q_stemmed_has_measur_unit_get,q_stemmed_has_unit_get_measur,q_stem_ordered_has_exactli,q_stem_ordered_has_get,q_stem_ordered_has_know,q_stem_ordered_has_mean,q_stem_ordered_has_measur,q_stem_ordered_has_necessari,q_stem_ordered_has_peopl,q_stem_ordered_has_standard,q_stem_ordered_has_unit,q_stem_ordered_has_exactli_get,q_stem_ordered_has_get_know,q_stem_ordered_has_know_mean,q_stem_ordered_has_mean_measur,q_stem_ordered_has_measur_measur,q_stem_ordered_has_measur_necessari,q_stem_ordered_has_necessari_peopl,q_stem_ordered_has_peopl_standard,q_stem_ordered_has_standard_unit,q_stem_ordered_has_exactli_get_know,q_stem_ordered_has_get_know_mean,q_stem_ordered_has_know_mean_measur,q_stem_ordered_has_mean_measur_measur,q_stem_ordered_has_measur_measur_measur,q_stem_ordered_has_measur_measur_necessari,q_stem_ordered_has_measur_necessari_peopl,q_stem_ordered_has_necessari_peopl_standard,q_stem_ordered_has_peopl_standard_unit
0.09090909090909091,0.18181818181818182,0.0,0.0,0.18181818181818182,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1818181818181818,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1818181818181818,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4545454545454545,0.46153846153846156,0.15384615384615385,0.2722,0.46153846153846156,0.15384615384615385,0.2722,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.6363636363636364,0.4666666666666667,0.06666666666666667,0.126,0.4666666666666667,0.06666666666666667,0.126,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2727272727272727,0.3076923076923077,0.0,0.0,0.3076923076923077,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2727272727272727,0.3076923076923077,0.0,0.0,0.3076923076923077,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4545454545454545,0.5,0.25,0.4082,0.5,0.25,0.4082,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.09090909090909091,0.2,0.1,0.2357,0.2,0.1,0.2357,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1818181818181818,0.25,0.0,0.0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6363636363636364,0.5333333333333333,0.13333333333333333,0.2357,0.5333333333333333,0.13333333333333333,0.2357,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.09090909090909091,0.18181818181818182,0.0,0.0,0.18181818181818182,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4545454545454545,0.46153846153846156,0.15384615384615385,0.2722,0.46153846153846156,0.15384615384615385,0.2722,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2727272727272727,0.3076923076923077,0.0,0.0,0.3076923076923077,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09090909090909091,0.18181818181818182,0.0,0.0,0.18181818181818182,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
