wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_circuit,q_stemmed_has_parallel,q_stemmed_has_bulb,q_stemmed_has_pathway,q_stemmed_has_dcell,q_stemmed_has_batteri,q_stemmed_has_burn,q_stemmed_has_continu,q_stemmed_has_shine,q_stemmed_has_circuit_parallel,q_stemmed_has_parallel_bulb,q_stemmed_has_bulb_pathway,q_stemmed_has_pathway_dcell,q_stemmed_has_dcell_batteri,q_stemmed_has_batteri_bulb,q_stemmed_has_bulb_burn,q_stemmed_has_burn_continu,q_stemmed_has_continu_shine,q_stemmed_has_circuit_parallel_bulb,q_stemmed_has_parallel_bulb_pathway,q_stemmed_has_bulb_pathway_dcell,q_stemmed_has_pathway_dcell_batteri,q_stemmed_has_dcell_batteri_bulb,q_stemmed_has_batteri_bulb_burn,q_stemmed_has_bulb_burn_continu,q_stemmed_has_burn_continu_shine,q_stem_ordered_has_batteri,q_stem_ordered_has_bulb,q_stem_ordered_has_burn,q_stem_ordered_has_circuit,q_stem_ordered_has_continu,q_stem_ordered_has_dcell,q_stem_ordered_has_parallel,q_stem_ordered_has_pathway,q_stem_ordered_has_shine,q_stem_ordered_has_batteri_bulb,q_stem_ordered_has_bulb_bulb,q_stem_ordered_has_bulb_burn,q_stem_ordered_has_burn_circuit,q_stem_ordered_has_circuit_continu,q_stem_ordered_has_continu_dcell,q_stem_ordered_has_dcell_parallel,q_stem_ordered_has_parallel_pathway,q_stem_ordered_has_pathway_shine,q_stem_ordered_has_batteri_bulb_bulb,q_stem_ordered_has_bulb_bulb_burn,q_stem_ordered_has_bulb_burn_circuit,q_stem_ordered_has_burn_circuit_continu,q_stem_ordered_has_circuit_continu_dcell,q_stem_ordered_has_continu_dcell_parallel,q_stem_ordered_has_dcell_parallel_pathway,q_stem_ordered_has_parallel_pathway_shine
0.3333333333333333,0.36363636363636365,0.18181818181818182,0.3333,0.36363636363636365,0.18181818181818182,0.3333,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5555555555555556,0.5454545454545454,0.36363636363636365,0.5443,0.5454545454545454,0.36363636363636365,0.5443,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.1111111111111111,0.2222222222222222,0.2222222222222222,0.4714,0.2222222222222222,0.2222222222222222,0.4714,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6666666666666665,0.4,0.0,0.0,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5555555555555556,0.46153846153846156,0.15384615384615385,0.2722,0.46153846153846156,0.15384615384615385,0.2722,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3333333333333333,0.3333333333333333,0.08333333333333333,0.1667,0.3333333333333333,0.08333333333333333,0.1667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2222222222222222,0.3,0.2,0.3849,0.3,0.2,0.3849,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6666666666666665,0.4666666666666667,0.06666666666666667,0.126,0.4666666666666667,0.06666666666666667,0.126,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2222222222222222,0.3333333333333333,0.3333333333333333,0.5774,0.3333333333333333,0.3333333333333333,0.5774,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1111111111111111,0.2222222222222222,0.2222222222222222,0.4714,0.2222222222222222,0.2222222222222222,0.4714,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1111111111111111,0.2222222222222222,0.2222222222222222,0.4714,0.2222222222222222,0.2222222222222222,0.4714,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2222222222222222,0.3,0.2,0.3849,0.3,0.2,0.3849,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4444444444444445,0.38461538461538464,0.07692307692307693,0.1491,0.38461538461538464,0.07692307692307693,0.1491,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
