wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_tell,q_stemmed_has_know,q_stemmed_has_strength,q_stemmed_has_magnet,q_stemmed_has_weak,q_stemmed_has_second,q_stemmed_has_piec,q_stemmed_has_foam,q_stemmed_has_distanc,q_stemmed_has_2,q_stemmed_has_interact,q_stemmed_has_hold,q_stemmed_has_place,q_stemmed_has_strong,q_stemmed_has_stay,q_stemmed_has_tell_know,q_stemmed_has_know_strength,q_stemmed_has_strength_magnet,q_stemmed_has_magnet_magnet,q_stemmed_has_magnet_weak,q_stemmed_has_weak_second,q_stemmed_has_second_piec,q_stemmed_has_piec_foam,q_stemmed_has_foam_distanc,q_stemmed_has_distanc_2,q_stemmed_has_2_magnet,q_stemmed_has_magnet_interact,q_stemmed_has_interact_hold,q_stemmed_has_hold_magnet,q_stemmed_has_magnet_place,q_stemmed_has_place_magnet,q_stemmed_has_magnet_strong,q_stemmed_has_strong_magnet,q_stemmed_has_magnet_stay,q_stemmed_has_stay_place,q_stemmed_has_tell_know_strength,q_stemmed_has_know_strength_magnet,q_stemmed_has_strength_magnet_magnet,q_stemmed_has_magnet_magnet_weak,q_stemmed_has_magnet_weak_second,q_stemmed_has_weak_second_piec,q_stemmed_has_second_piec_foam,q_stemmed_has_piec_foam_distanc,q_stemmed_has_foam_distanc_2,q_stemmed_has_distanc_2_magnet,q_stemmed_has_2_magnet_interact,q_stemmed_has_magnet_interact_hold,q_stemmed_has_interact_hold_magnet,q_stemmed_has_hold_magnet_place,q_stemmed_has_magnet_place_magnet,q_stemmed_has_place_magnet_strong,q_stemmed_has_magnet_strong_magnet,q_stemmed_has_strong_magnet_stay,q_stemmed_has_magnet_stay_place,q_stem_ordered_has_2,q_stem_ordered_has_distanc,q_stem_ordered_has_foam,q_stem_ordered_has_hold,q_stem_ordered_has_interact,q_stem_ordered_has_know,q_stem_ordered_has_magnet,q_stem_ordered_has_piec,q_stem_ordered_has_place,q_stem_ordered_has_second,q_stem_ordered_has_stay,q_stem_ordered_has_strength,q_stem_ordered_has_strong,q_stem_ordered_has_tell,q_stem_ordered_has_weak,q_stem_ordered_has_2_distanc,q_stem_ordered_has_distanc_foam,q_stem_ordered_has_foam_hold,q_stem_ordered_has_hold_interact,q_stem_ordered_has_interact_know,q_stem_ordered_has_know_magnet,q_stem_ordered_has_magnet_magnet,q_stem_ordered_has_magnet_piec,q_stem_ordered_has_piec_place,q_stem_ordered_has_place_place,q_stem_ordered_has_place_second,q_stem_ordered_has_second_stay,q_stem_ordered_has_stay_strength,q_stem_ordered_has_strength_strong,q_stem_ordered_has_strong_tell,q_stem_ordered_has_tell_weak,q_stem_ordered_has_2_distanc_foam,q_stem_ordered_has_distanc_foam_hold,q_stem_ordered_has_foam_hold_interact,q_stem_ordered_has_hold_interact_know,q_stem_ordered_has_interact_know_magnet,q_stem_ordered_has_know_magnet_magnet,q_stem_ordered_has_magnet_magnet_magnet,q_stem_ordered_has_magnet_magnet_piec,q_stem_ordered_has_magnet_piec_place,q_stem_ordered_has_piec_place_place,q_stem_ordered_has_place_place_second,q_stem_ordered_has_place_second_stay,q_stem_ordered_has_second_stay_strength,q_stem_ordered_has_stay_strength_strong,q_stem_ordered_has_strength_strong_tell,q_stem_ordered_has_strong_tell_weak
0.05,0.11764705882352941,0.0,0.0,0.11764705882352941,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,0.125,0.0625,0.1826,0.125,0.0625,0.1826,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.10000000000000002,0.17647058823529413,0.058823529411764705,0.1491,0.17647058823529413,0.058823529411764705,0.1491,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0.2631578947368421,0.05263157894736842,0.1155,0.2631578947368421,0.05263157894736842,0.1155,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.45,0.4090909090909091,0.09090909090909091,0.1721,0.4090909090909091,0.09090909090909091,0.1721,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.30000000000000004,0.35,0.1,0.1952,0.35,0.1,0.1952,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6,0.4166666666666667,0.041666666666666664,0.0816,0.4166666666666667,0.041666666666666664,0.0816,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.25000000000000006,0.2777777777777778,0.1111111111111111,0.2309,0.2777777777777778,0.1111111111111111,0.2309,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0.2777777777777778,0.1111111111111111,0.2309,0.2777777777777778,0.1111111111111111,0.2309,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25000000000000006,0.3,0.05,0.1054,0.3,0.05,0.1054,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
