student_answer,teacher_answer,label,question_id,q_answer,q_stopwords,q_stemmed,q_stem_ordered
Blue is very attracted to the heat whether it is covered or not. Red is not attracted.,Solar water heaters with blue collectors heat up faster than solar water heaters with red collectors.,1,23,Blue is very attracted to the heat whether it is covered or not. Red is not attracted.,blue attracted heat covered red attracted,blue attract heat cover red attract,attract attract blue cover heat red
Blue will get hotter because it is a dark color and red is not.,Solar water heaters with blue collectors heat up faster than solar water heaters with red collectors.,1,23,Blue is very attracted to the heat whether it is covered or not. Red is not attracted.,blue hotter dark color red,blue hotter dark color red,blue color dark hotter red
The blue absorbs most of the sun and red did not absorb most of the sun.,Solar water heaters with blue collectors heat up faster than solar water heaters with red collectors.,1,23,Blue is very attracted to the heat whether it is covered or not. Red is not attracted.,blue absorbs sun red absorb sun,blue absorb sun red absorb sun,absorb absorb blue red sun sun
That blue it is more dark than red.,Solar water heaters with blue collectors heat up faster than solar water heaters with red collectors.,0,23,Blue is very attracted to the heat whether it is covered or not. Red is not attracted.,blue dark red,blue dark red,blue dark red
The blue covered got hotter and in the same amount of time than the red.,Solar water heaters with blue collectors heat up faster than solar water heaters with red collectors.,1,23,Blue is very attracted to the heat whether it is covered or not. Red is not attracted.,blue covered got hotter time red,blue cover got hotter time red,blue cover got hotter red time
Blue versus are warmer than red versus.,Solar water heaters with blue collectors heat up faster than solar water heaters with red collectors.,1,23,Blue is very attracted to the heat whether it is covered or not. Red is not attracted.,blue versus warmer red versus,blue versu warmer red versu,blue red versu versu warmer
Blue is more darker so it absorbs more heat and that is why it is bigger.,Solar water heaters with blue collectors heat up faster than solar water heaters with red collectors.,1,23,Blue is very attracted to the heat whether it is covered or not. Red is not attracted.,blue darker absorbs heat bigger,blue darker absorb heat bigger,absorb bigger blue darker heat
It warms better.,Solar water heaters with blue collectors heat up faster than solar water heaters with red collectors.,1,23,Blue is very attracted to the heat whether it is covered or not. Red is not attracted.,warms better,warm better,better warm
That the blue will heat up faster than the red because the blue is darker.,Solar water heaters with blue collectors heat up faster than solar water heaters with red collectors.,1,23,Blue is very attracted to the heat whether it is covered or not. Red is not attracted.,blue heat faster red blue darker,blue heat faster red blue darker,blue blue darker faster heat red
Because the blue uncovered and the red covered is like the same like the blue uncovered.,Solar water heaters with blue collectors heat up faster than solar water heaters with red collectors.,0,23,Blue is very attracted to the heat whether it is covered or not. Red is not attracted.,blue uncovered red covered like like blue uncovered,blue uncov red cover like like blue uncov,blue blue cover like like red uncov uncov
That the blue might be darker than the red.,Solar water heaters with blue collectors heat up faster than solar water heaters with red collectors.,0,23,Blue is very attracted to the heat whether it is covered or not. Red is not attracted.,blue darker red,blue darker red,blue darker red
Because blue uncovered does not attract that much heat like the red one does.,Solar water heaters with blue collectors heat up faster than solar water heaters with red collectors.,0,23,Blue is very attracted to the heat whether it is covered or not. Red is not attracted.,blue uncovered attract heat like red,blue uncov attract heat like red,attract blue heat like red uncov
"The blue collects more heat, because it is more darker than red.",Solar water heaters with blue collectors heat up faster than solar water heaters with red collectors.,1,23,Blue is very attracted to the heat whether it is covered or not. Red is not attracted.,blue collects heat darker red,blue collect heat darker red,blue collect darker heat red
The blue color is kind of a color black and darker than red so that why the blue heat more than the red one.,Solar water heaters with blue collectors heat up faster than solar water heaters with red collectors.,1,23,Blue is very attracted to the heat whether it is covered or not. Red is not attracted.,blue color kind color black darker red blue heat red,blue color kind color black darker red blue heat red,black blue blue color color darker heat kind red red
The blue gets hotter than the red maybe because the blue is darker than the red.,Solar water heaters with blue collectors heat up faster than solar water heaters with red collectors.,1,23,Blue is very attracted to the heat whether it is covered or not. Red is not attracted.,blue gets hotter red maybe blue darker red,blue get hotter red mayb blue darker red,blue blue darker get hotter mayb red red
The blue gathers more heat than the red.,Solar water heaters with blue collectors heat up faster than solar water heaters with red collectors.,1,23,Blue is very attracted to the heat whether it is covered or not. Red is not attracted.,blue gathers heat red,blue gather heat red,blue gather heat red
Blue heats water better.,Solar water heaters with blue collectors heat up faster than solar water heaters with red collectors.,1,23,Blue is very attracted to the heat whether it is covered or not. Red is not attracted.,blue heats water better,blue heat water better,better blue heat water
It is more better than using other colors.,Solar water heaters with blue collectors heat up faster than solar water heaters with red collectors.,0,23,Blue is very attracted to the heat whether it is covered or not. Red is not attracted.,better colors,better color,better color
If a color is dark it will heat up more than a light one so blue was dark red was light.,Solar water heaters with blue collectors heat up faster than solar water heaters with red collectors.,1,23,Blue is very attracted to the heat whether it is covered or not. Red is not attracted.,color dark heat light blue dark red light,color dark heat light blue dark red light,blue color dark dark heat light light red
