wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_dri,q_stemmed_has_soil,q_stemmed_has_heat,q_stemmed_has_quickli,q_stemmed_has_cool,q_stemmed_has_water,q_stemmed_has_graph,q_stemmed_has_show,q_stemmed_has_b,q_stemmed_has_dri_soil,q_stemmed_has_soil_heat,q_stemmed_has_heat_quickli,q_stemmed_has_quickli_cool,q_stemmed_has_cool_quickli,q_stemmed_has_quickli_water,q_stemmed_has_water_graph,q_stemmed_has_graph_show,q_stemmed_has_show_heat,q_stemmed_has_heat_cool,q_stemmed_has_quickli_b,q_stemmed_has_b_dri,q_stemmed_has_dri_soil_heat,q_stemmed_has_soil_heat_quickli,q_stemmed_has_heat_quickli_cool,q_stemmed_has_quickli_cool_quickli,q_stemmed_has_cool_quickli_water,q_stemmed_has_quickli_water_graph,q_stemmed_has_water_graph_show,q_stemmed_has_graph_show_heat,q_stemmed_has_show_heat_cool,q_stemmed_has_heat_cool_quickli,q_stemmed_has_cool_quickli_b,q_stemmed_has_quickli_b_dri,q_stemmed_has_b_dri_soil,q_stem_ordered_has_b,q_stem_ordered_has_cool,q_stem_ordered_has_dri,q_stem_ordered_has_graph,q_stem_ordered_has_heat,q_stem_ordered_has_quickli,q_stem_ordered_has_show,q_stem_ordered_has_soil,q_stem_ordered_has_water,q_stem_ordered_has_b_cool,q_stem_ordered_has_cool_cool,q_stem_ordered_has_cool_dri,q_stem_ordered_has_dri_dri,q_stem_ordered_has_dri_graph,q_stem_ordered_has_graph_heat,q_stem_ordered_has_heat_heat,q_stem_ordered_has_heat_quickli,q_stem_ordered_has_quickli_quickli,q_stem_ordered_has_quickli_show,q_stem_ordered_has_show_soil,q_stem_ordered_has_soil_soil,q_stem_ordered_has_soil_water,q_stem_ordered_has_b_cool_cool,q_stem_ordered_has_cool_cool_dri,q_stem_ordered_has_cool_dri_dri,q_stem_ordered_has_dri_dri_graph,q_stem_ordered_has_dri_graph_heat,q_stem_ordered_has_graph_heat_heat,q_stem_ordered_has_heat_heat_quickli,q_stem_ordered_has_heat_quickli_quickli,q_stem_ordered_has_quickli_quickli_quickli,q_stem_ordered_has_quickli_quickli_show,q_stem_ordered_has_quickli_show_soil,q_stem_ordered_has_show_soil_soil,q_stem_ordered_has_soil_soil_water
0.2222222222222222,0.46153846153846156,0.15384615384615385,0.2722,0.46153846153846156,0.15384615384615385,0.2722,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8888888888888888,0.7142857142857143,0.35714285714285715,0.527,0.7142857142857143,0.35714285714285715,0.527,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.1111111111111111,0.3076923076923077,0.0,0.0,0.3076923076923077,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16666666666666669,0.5,0.4,0.5963,0.5,0.4,0.5963,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3333333333333333,0.6363636363636364,0.45454545454545453,0.6299,0.6363636363636364,0.45454545454545453,0.6299,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2222222222222222,0.45454545454545453,0.2727272727272727,0.4472,0.45454545454545453,0.2727272727272727,0.4472,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16666666666666669,0.5,0.4,0.5963,0.5,0.4,0.5963,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6111111111111112,0.7333333333333333,0.3333333333333333,0.5025,0.7333333333333333,0.3333333333333333,0.5025,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.6666666666666665,0.6428571428571429,0.2857142857142857,0.4444,0.6428571428571429,0.2857142857142857,0.4444,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16666666666666669,0.38461538461538464,0.07692307692307693,0.1491,0.38461538461538464,0.07692307692307693,0.1491,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
