wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_topaz,q_stemmed_has_hardest,q_stemmed_has_4,q_stemmed_has_miner,q_stemmed_has_tool,q_stemmed_has_scratch,q_stemmed_has_topaz_hardest,q_stemmed_has_hardest_4,q_stemmed_has_4_miner,q_stemmed_has_miner_tool,q_stemmed_has_tool_scratch,q_stemmed_has_scratch_topaz,q_stemmed_has_topaz_tool,q_stemmed_has_scratch_miner,q_stemmed_has_topaz_hardest_4,q_stemmed_has_hardest_4_miner,q_stemmed_has_4_miner_tool,q_stemmed_has_miner_tool_scratch,q_stemmed_has_tool_scratch_topaz,q_stemmed_has_scratch_topaz_tool,q_stemmed_has_topaz_tool_scratch,q_stemmed_has_tool_scratch_miner,q_stem_ordered_has_4,q_stem_ordered_has_hardest,q_stem_ordered_has_miner,q_stem_ordered_has_scratch,q_stem_ordered_has_tool,q_stem_ordered_has_topaz,q_stem_ordered_has_4_hardest,q_stem_ordered_has_hardest_miner,q_stem_ordered_has_miner_miner,q_stem_ordered_has_miner_scratch,q_stem_ordered_has_scratch_scratch,q_stem_ordered_has_scratch_tool,q_stem_ordered_has_tool_tool,q_stem_ordered_has_tool_topaz,q_stem_ordered_has_topaz_topaz,q_stem_ordered_has_4_hardest_miner,q_stem_ordered_has_hardest_miner_miner,q_stem_ordered_has_miner_miner_scratch,q_stem_ordered_has_miner_scratch_scratch,q_stem_ordered_has_scratch_scratch_tool,q_stem_ordered_has_scratch_tool_tool,q_stem_ordered_has_tool_tool_topaz,q_stem_ordered_has_tool_topaz_topaz
0.15384615384615385,0.375,0.125,0.2357,0.375,0.125,0.2357,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3076923076923077,0.5,0.25,0.4082,0.5,0.25,0.4082,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.38461538461538464,0.6,0.2,0.3333,0.6,0.2,0.3333,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.38461538461538464,0.5454545454545454,0.09090909090909091,0.1667,0.5454545454545454,0.09090909090909091,0.1667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.38461538461538464,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.38461538461538464,0.6,0.2,0.3333,0.6,0.2,0.3333,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0000000000000002,0.7142857142857143,0.14285714285714285,0.2582,0.7142857142857143,0.14285714285714285,0.2582,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0.3076923076923077,0.625,0.375,0.5477,0.625,0.375,0.5477,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7692307692307694,0.6153846153846154,0.07692307692307693,0.1443,0.6153846153846154,0.07692307692307693,0.1443,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
