wordcount,stem_g_similarity,stem_j_similarity,stem_c_similarity,stem_ordered_g_similarity,stem_ordered_j_similarity,stem_ordered_c_similarity,q_stemmed_has_shorter,q_stemmed_has_string,q_stemmed_has_swing,q_stemmed_has_15,q_stemmed_has_second,q_stemmed_has_longer,q_stemmed_has_shorter_string,q_stemmed_has_string_string,q_stemmed_has_string_swing,q_stemmed_has_swing_15,q_stemmed_has_15_second,q_stemmed_has_second_longer,q_stemmed_has_longer_string,q_stemmed_has_shorter_string_string,q_stemmed_has_string_string_swing,q_stemmed_has_string_swing_15,q_stemmed_has_swing_15_second,q_stemmed_has_15_second_longer,q_stemmed_has_second_longer_string,q_stemmed_has_longer_string_string,q_stem_ordered_has_15,q_stem_ordered_has_longer,q_stem_ordered_has_second,q_stem_ordered_has_shorter,q_stem_ordered_has_string,q_stem_ordered_has_swing,q_stem_ordered_has_15_15,q_stem_ordered_has_15_longer,q_stem_ordered_has_longer_second,q_stem_ordered_has_second_second,q_stem_ordered_has_second_shorter,q_stem_ordered_has_shorter_string,q_stem_ordered_has_string_string,q_stem_ordered_has_string_swing,q_stem_ordered_has_swing_swing,q_stem_ordered_has_15_15_longer,q_stem_ordered_has_15_longer_second,q_stem_ordered_has_longer_second_second,q_stem_ordered_has_second_second_shorter,q_stem_ordered_has_second_shorter_string,q_stem_ordered_has_shorter_string_string,q_stem_ordered_has_string_string_string,q_stem_ordered_has_string_string_swing,q_stem_ordered_has_string_swing_swing
0.25,0.5,0.25,0.4082,0.5,0.25,0.4082,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.4166666666666667,0.5,0.0,0.0,0.5,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4166666666666667,0.6666666666666666,0.6666666666666666,0.8165,0.6666666666666666,0.6666666666666666,0.8165,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1
0.4166666666666667,0.5714285714285714,0.42857142857142855,0.6124,0.5714285714285714,0.42857142857142855,0.6124,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
0.25,0.5,0.5,0.7071,0.5,0.5,0.7071,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.6666666666666666,0.7,0.3,0.4629,0.7,0.3,0.4629,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
0.5833333333333333,0.75,0.5,0.6667,0.75,0.5,0.6667,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
0.16666666666666669,0.42857142857142855,0.2857142857142857,0.4714,0.42857142857142855,0.2857142857142857,0.4714,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3333333333333333,0.5,0.25,0.4082,0.5,0.25,0.4082,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.16666666666666669,0.375,0.125,0.2357,0.375,0.125,0.2357,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3333333333333333,0.6666666666666666,0.6666666666666666,0.8165,0.6666666666666666,0.6666666666666666,0.8165,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
0.49999999999999994,0.625,0.375,0.5477,0.625,0.375,0.5477,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
0.5833333333333333,0.6363636363636364,0.18181818181818182,0.3086,0.6363636363636364,0.18181818181818182,0.3086,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4166666666666667,0.5454545454545454,0.09090909090909091,0.1667,0.5454545454545454,0.09090909090909091,0.1667,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.9999999999999999,0.75,0.125,0.2357,0.75,0.125,0.2357,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.3333333333333333,0.5714285714285714,0.42857142857142855,0.6124,0.5714285714285714,0.42857142857142855,0.6124,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0
0.49999999999999994,0.6363636363636364,0.18181818181818182,0.3086,0.6363636363636364,0.18181818181818182,0.3086,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.16666666666666669,0.375,0.125,0.2357,0.375,0.125,0.2357,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16666666666666669,0.42857142857142855,0.2857142857142857,0.4714,0.42857142857142855,0.2857142857142857,0.4714,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.5714285714285714,0.42857142857142855,0.6124,0.5714285714285714,0.42857142857142855,0.6124,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
